NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
1,경상북도 포항시 북구 학잠동,255,255,0,포항자이애서턴,월세,101.9744,202605,31,"5,000",130,29,2026,양학로 58,202607~202807,신규,-,,,아파트,아파트,2026-05
2,전남광주통합특별시 순천시 용당동,748,748,0,대주피오레,전세,90.621,202605,31,"19,000",0,13,2012,삼산로 92-50,-,-,-,,,아파트,아파트,2026-05
3,전남광주통합특별시 순천시 용당동,748,748,0,대주피오레,전세,90.621,202605,31,"19,000",0,13,2012,삼산로 92-50,-,-,-,,,아파트,아파트,2026-05
4,전남광주통합특별시 순천시 용당동,748,748,0,대주피오레,전세,90.621,202605,31,"19,000",0,13,2012,삼산로 92-50,202606~202806,신규,-,,,아파트,아파트,2026-05
5,인천광역시 검단구 왕길동,697-1,697,1,드림파크어울림1단지,전세,101.9975,202605,31,"27,000",0,10,2010,봉화로 18,202608~202808,신규,-,,,아파트,아파트,2026-05
6,서울특별시 성동구 성수동1가,656-320,656,320,동아,전세,96.18,202605,31,"60,000",0,1,1983,왕십리로 80,202605~202802,신규,-,,,아파트,아파트,2026-05
7,충청북도 청주시 흥덕구 복대동,3379,3379,0,신영지웰시티1차,월세,99.126,202605,31,"5,000",220,29,2010,대농로 17,202607~202807,신규,-,,,아파트,아파트,2026-05
8,경상남도 거제시 아주동,993,993,0,거제아주KCC스위첸,전세,99.0691,202605,31,"22,000",0,11,2017,용소1길 17-10,202606~202806,신규,-,,,아파트,아파트,2026-05
9,대구광역시 북구 고성동1가,265,265,0,힐스테이트대구역오페라,월세,101.8094,202605,31,"3,000",145,40,2024,칠성남로 30,202607~202807,신규,-,,,아파트,아파트,2026-05
10,경기도 성남시 수정구 창곡동,529,529,0,위례아트리버푸르지오2단지,전세,101.0358,202605,31,"90,300",0,7,2016,위례순환로 130,-,-,-,,,아파트,아파트,2026-05
11,전북특별자치도 익산시 금강동,428-2,428,2,골드리버파크2단지,전세,93.636,202605,31,"5,000",0,8,2011,약촌로 25,202606~202706,신규,-,,,아파트,아파트,2026-05
12,경기도 평택시 고덕동,2618-1,2618,1,힐스테이트고덕스카이시티,전세,90.3115,202605,31,"29,400",0,39,2024,고덕국제대로 99,202609~202809,갱신,사용,"28,000",0.0,아파트,아파트,2026-05
13,대전광역시 유성구 봉명동,536-10,536,10,노블레스타워,전세,96.04,202605,31,"25,200",0,4,2006,대학로 34,202605~202805,갱신,-,"24,000",0.0,아파트,아파트,2026-05
14,경기도 부천시 소사구 옥길동,742-1,742,1,옥길한신더휴,전세,97.97,202605,31,"60,000",0,2,2017,양지로 234-10,202609~202809,신규,-,,,아파트,아파트,2026-05
15,경기도 남양주시 화도읍 마석우리,599,599,0,신마석서희스타힐스,전세,97.6668,202605,31,"22,000",0,11,2011,소래비로 130,202607~202807,신규,-,,,아파트,아파트,2026-05
16,경기도 남양주시 화도읍 마석우리,295-32,295,32,빌리브센트하이,전세,98.843,202605,31,"46,000",0,23,2025,마석로 33,202608~202808,신규,-,,,아파트,아파트,2026-05
17,경기도 고양시 일산서구 일산동,1069,1069,0,후곡마을(현대3),전세,101.86,202605,31,"45,000",0,15,1994,후곡로 60,202608~202808,갱신,사용,"45,000",0.0,아파트,아파트,2026-05
18,강원특별자치도 춘천시 퇴계동,430,430,0,퇴계우성,전세,101.91,202605,31,"22,900",0,7,1999,국사봉길 7,-,-,-,,,아파트,아파트,2026-05
19,강원특별자치도 춘천시 퇴계동,430,430,0,퇴계우성,전세,101.91,202605,31,"22,900",0,7,1999,국사봉길 7,202607~202807,신규,-,,,아파트,아파트,2026-05
20,경기도 하남시 선동,455,455,0,미사강변리버뷰자이,월세,98.6115,202605,31,"50,000",110,13,2017,미사강변한강로 10,202608~202808,신규,-,,,아파트,아파트,2026-05
21,세종특별자치시  도담동,858,858,0,도램마을 14단지(한림풀에버),전세,99.986,202605,31,"33,000",0,6,2015,보듬2로 42,202607~202807,신규,-,,,아파트,아파트,2026-05
22,서울특별시 강남구 일원동,718,718,0,샘터마을,월세,101.97,202605,30,"70,000",200,9,1994,일원로 120,202608~202808,신규,-,,,아파트,아파트,2026-05
23,경기도 김포시 운양동,1250-3,1250,3,한강신도시e편한세상,전세,101.906,202605,30,"42,000",0,1,2012,김포한강11로 287,202608~202808,갱신,사용,"40,000",0.0,아파트,아파트,2026-05
24,서울특별시 송파구 방이동,89,89,0,올림픽선수기자촌1단지,전세,100.82,202605,30,"110,000",0,12,1988,양재대로 1218,202608~202808,신규,-,,,아파트,아파트,2026-05
25,서울특별시 서초구 서초동,1487-144,1487,144,마샹스(2차),월세,100.71,202605,30,"66,000",45,2,2003,명달로6길 20,202608~202808,신규,-,,,아파트,아파트,2026-05
26,경기도 고양시 일산동구 마두동,734,734,0,백마마을(한양4),전세,101.82,202605,30,"50,000",0,10,1994,강촌로 191,202607~202807,신규,-,,,아파트,아파트,2026-05
27,서울특별시 강남구 자곡동,686,686,0,강남한양수자인(4단지),월세,101.18,202605,30,"10,000",340,1,2014,자곡로 260,202607~202807,신규,-,,,아파트,아파트,2026-05
28,세종특별자치시  새롬동,554,554,0,새뜸마을4단지(캐슬파밀리에),월세,100.1879,202605,30,"19,000",70,2,2017,새롬북로 13,202607~202807,신규,-,,,아파트,아파트,2026-05
29,경기도 성남시 수정구 창곡동,521,521,0,위례더힐55,월세,85.4621,202605,30,"10,000",253,14,2015,위례순환로 220,202607~202807,갱신,사용,"10,000",240.0,아파트,아파트,2026-05
30,경기도 안산시 단원구 초지동,731,731,0,호수마을풍림,월세,101.99,202605,30,"5,000",160,8,2000,광덕1로 80,202606~202806,신규,-,,,아파트,아파트,2026-05
31,경기도 파주시 동패동,2262,2262,0,운정자이시그니처,월세,96.9848,202605,30,"5,000",170,10,2026,물향기1로 160,202606~202806,신규,-,,,아파트,아파트,2026-05
32,경기도 하남시 학암동,635,635,0,위례포레자이,월세,101.8115,202605,30,"55,000",110,19,2021,위례대로6길 95,202609~202809,신규,-,,,아파트,아파트,2026-05
33,경기도 군포시 산본동,1092,1092,0,삼성장미,전세,101.7,202605,30,"46,000",0,16,1993,산본로386번길 21,202609~202809,신규,-,,,아파트,아파트,2026-05
34,전남광주통합특별시 여수시 웅천동,1889-1,1889,1,포레나여수웅천2단지,전세,100.1241,202605,30,"40,000",0,26,2019,웅천남8로 23,202607~202807,신규,-,,,아파트,아파트,2026-05
35,인천광역시 서해구 청라동,150-1,150,1,대우푸르지오,전세,94.919,202605,30,"45,000",0,5,2013,크리스탈로102번길 25,202607~202807,신규,-,,,아파트,아파트,2026-05
36,인천광역시 서해구 청라동,115-1,115,1,청라제일풍경채,전세,101.9831,202605,30,"40,000",0,5,2012,청라한울로 95,202608~202808,신규,-,,,아파트,아파트,2026-05
37,인천광역시 서해구 청라동,102-16,102,16,청라반도유보라2.0,전세,101.9765,202605,30,"34,650",0,7,2012,비즈니스로 10,202607~202807,갱신,-,"33,000",0.0,아파트,아파트,2026-05
38,인천광역시 검단구 당하동,1314-2,1314,2,호반써밋프라임뷰,전세,97.4814,202605,30,"33,000",0,10,2022,이음2로 70,202608~202712,신규,-,,,아파트,아파트,2026-05
39,서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,전세,99.967,202605,30,"170,000",0,13,2019,선릉로 8,202607~202807,신규,-,,,아파트,아파트,2026-05
40,경상남도 창원시 성산구 반림동,10,10,0,노블파크,전세,101.93,202605,30,"42,000",0,5,2007,원이대로 449,202606~202806,갱신,사용,"40,000",0.0,아파트,아파트,2026-05
41,서울특별시 강남구 수서동,795,795,0,강남데시앙포레,월세,101.88,202605,30,"60,000",230,7,2014,광평로34길 55,202607~202807,신규,-,,,아파트,아파트,2026-05
42,경기도 성남시 수정구 창곡동,521,521,0,위례더힐55,월세,85.4621,202605,30,"70,000",30,15,2015,위례순환로 220,202607~202807,신규,-,,,아파트,아파트,2026-05
43,서울특별시 용산구 이촌동,418,418,0,동부센트레빌,전세,100.92,202605,30,"140,000",0,23,2001,이촌로 174,202607~202807,갱신,사용,"135,000",0.0,아파트,아파트,2026-05
44,서울특별시 광진구 자양동,227-7,227,7,더샵스타시티,전세,96.98,202605,30,"120,000",0,16,2007,아차산로 262,202609~202809,신규,-,,,아파트,아파트,2026-05
45,경기도 부천시 소사구 심곡본동,566-1,566,1,부천극동,월세,86.02,202605,30,"5,000",70,2,1980,성주로 226,202607~202807,신규,-,,,아파트,아파트,2026-05
46,경기도 양주시 옥정동,885,885,0,e편한세상옥정리더스가든,전세,99.9924,202605,30,"30,000",0,6,2024,회천로 234,202608~202808,신규,-,,,아파트,아파트,2026-05
