NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
1,서울특별시 송파구 삼전동,102-1,102,1,(102-1),월세,98.62,202606,30,"5,000",148,5,2002,삼학사로13길 35,202608~202807,신규,-,,,연립다세대,연립다세대,2026-06
2,서울특별시 구로구 가리봉동,89-129,89,129,(89-129),월세,101.29,202606,30,300,40,1,1975,구로동로2길 15,202606~202806,신규,-,,,연립다세대,연립다세대,2026-06
3,경기도 오산시 원동,282-1,282,1,스마트하우스,월세,85.21,202606,29,500,90,5,2017,운천로 19,202607~202807,신규,-,,,연립다세대,연립다세대,2026-06
4,전북특별자치도 전주시 덕진구 금암동,751-6,751,6,비사벌,전세,90.72,202606,29,"9,500",0,3,1981,떡전3길 17,202609~202809,갱신,-,"8,500",5.0,연립다세대,연립다세대,2026-06
5,서울특별시 서초구 방배동,528-95,528,95,무궁화빌라,전세,91.41,202606,29,"47,000",0,1,1992,효령로 35-7,202610~202810,신규,-,,,연립다세대,연립다세대,2026-06
6,서울특별시 강남구 대치동,933-13,933,13,(933-13),월세,96.92,202606,29,"50,000",230,2,2003,도곡로77길 13,202609~202809,신규,-,,,연립다세대,연립다세대,2026-06
7,제주특별자치도 서귀포시 강정동,177,177,0,대림한숲빌라,월세,95.64,202606,29,"1,000",100,1,1995,신서귀로97번길 87,202608~202808,신규,-,,,연립다세대,연립다세대,2026-06
8,서울특별시 서초구 서초동,1697-35,1697,35,삼풍로얄빌라,전세,88.87,202606,29,"60,000",0,3,1991,서초대로55길 21,202608~202808,신규,-,,,연립다세대,연립다세대,2026-06
9,서울특별시 성북구 정릉동,792-1,792,1,상신빌라,전세,88.11,202606,28,"22,000",0,1,1984,보국문로 172-4,202607~202807,신규,-,,,연립다세대,연립다세대,2026-06
10,서울특별시 강동구 길동,345-4,345,4,대흥빌라,전세,87.3,202606,28,"36,000",0,2,1994,천중로49가길 16,202607~202807,갱신,-,"33,000",0.0,연립다세대,연립다세대,2026-06
11,대구광역시 수성구 황금동,838-13,838,13,황금청구6동,월세,96.32,202606,28,500,65,2,1994,동대구로29길 46,202606~202906,신규,-,,,연립다세대,연립다세대,2026-06
12,강원특별자치도 속초시 설악동,245-10,245,10,성수하우징,월세,98.42,202606,27,300,50,1,1978,청봉로 227,202606~202806,신규,-,,,연립다세대,연립다세대,2026-06
13,경기도 부천시 원미구 심곡동,374-2,374,2,현민빌리지C동,월세,93.66,202606,27,500,45,5,2004,부천로57번길 24,202607~202807,신규,-,,,연립다세대,연립다세대,2026-06
14,서울특별시 마포구 서교동,438-23,438,23,트인빌(438-23),월세,94.26,202606,27,"4,000",73,5,2003,성미산로6길 24,202609~202809,신규,-,,,연립다세대,연립다세대,2026-06
