NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
1,울산광역시 중구 장현동,1**,12m미만,101.91,전세,202605,31,"25,000",0,2024.0,종가27길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-05
2,경기도 여주시 금사면 궁리,2**,8m미만,85.8,월세,202605,31,500,30,,발림길,202606~202706,신규,-,,,단독다가구,단독다가구,2026-05
3,경기도 이천시 부발읍 마암리,7*,8m미만,98.41,월세,202605,31,"5,000",130,2022.0,중부대로1444번길,202605~202807,갱신,-,"10,000",100.0,단독다가구,단독다가구,2026-05
4,충청남도 천안시 동남구 신방동,1***,8m미만,89.0,월세,202605,31,"10,000",30,2018.0,통정5로,202606~202806,신규,-,,,단독다가구,단독다가구,2026-05
5,경기도 화성시 만세구 우정읍 화수리,4**,8m미만,88.6,월세,202605,31,"1,000",60,,원안길,202606~202805,신규,-,,,단독다가구,단독다가구,2026-05
6,서울특별시 동대문구 용두동,7**,8m미만,98.74,월세,202605,31,"30,000",49,2018.0,안암로6길,202607~202806,갱신,-,"33,000",24.0,단독다가구,단독다가구,2026-05
7,제주특별자치도 서귀포시 성산읍 신풍리,1***,8m미만,88.5,월세,202605,31,500,80,2018.0,성읍정의현로32번길,202605~202705,신규,-,,,단독다가구,단독다가구,2026-05
8,경기도 안산시 상록구 이동,6**,8m미만,90.0,월세,202605,31,"2,000",70,1995.0,이동2길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-05
9,울산광역시 중구 장현동,1**,12m미만,101.91,전세,202605,31,"25,000",0,2024.0,종가27길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-05
10,강원특별자치도 강릉시 연곡면 방내리,9*,8m미만,98.69,월세,202605,30,"6,000",50,2023.0,성안길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-05
11,대구광역시 수성구 범어동,6*,25m이상,89.03,전세,202605,30,"11,000",0,2003.0,청호로,202607~202807,신규,-,,,단독다가구,단독다가구,2026-05
12,경기도 양평군 양평읍 백안리,6**,8m미만,90.24,월세,202605,30,"2,000",70,2012.0,삼산길29번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-05
13,경기도 하남시 망월동,8**,25m미만,100.0,월세,202605,30,"15,000",210,2016.0,미사강변북로115번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-05
14,부산광역시 동래구 사직동,2*,8m미만,85.45,월세,202605,30,"7,000",20,1991.0,아시아드대로181번길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-05
15,부산광역시 북구 덕천동,4**,8m미만,95.37,월세,202605,30,200,30,2009.0,만덕대로102번가길,202605~202705,신규,-,,,단독다가구,단독다가구,2026-05
16,경기도 의정부시 고산동,6**,-,96.9,월세,202605,30,"1,000",65,1996.0,정자말2길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-05
17,충청북도 충주시 칠금동,6**,12m미만,93.48,월세,202605,30,"1,000",60,1996.0,칠금15길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-05
18,제주특별자치도 제주시 애월읍 수산리,9**,8m미만,92.79,월세,202605,30,"1,000",83,2014.0,수산서8길,202606~202706,신규,-,,,단독다가구,단독다가구,2026-05
19,서울특별시 광진구 중곡동,2**,25m미만,90.25,월세,202605,30,"10,000",70,1977.0,면목로,202609~202809,신규,-,,,단독다가구,단독다가구,2026-05
20,경상남도 창원시 의창구 명곡동,1**,-,99.0,월세,202605,30,200,40,,,202606~202806,신규,-,,,단독다가구,단독다가구,2026-05
