NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
1,강원특별자치도 춘천시 약사동,129,129,0,이화(129-0),월세,88.26,202603,31,"1,000",40,2,1985,춘천로81번길 36,202603~202803,신규,-,,,연립다세대,연립다세대,2026-03
2,서울특별시 금천구 시흥동,3-44,3,44,(3-44),전세,87.81,202603,31,"18,000",0,4,1997,독산로50길 189,202606~202806,신규,-,,,연립다세대,연립다세대,2026-03
3,서울특별시 서대문구 홍제동,156-350,156,350,서건빌라,월세,90.24,202603,31,"6,000",110,1,1991,모래내로24가길 14,202604~202804,신규,-,,,연립다세대,연립다세대,2026-03
4,경기도 구리시 수택동,456-82,456,82,(456-82),전세,86.04,202603,31,"20,000",0,2,1985,원수택로52번길 66,202603~202803,신규,-,,,연립다세대,연립다세대,2026-03
5,서울특별시 양천구 목동,318-246,318,246,청운빌라,월세,94.02,202603,30,"21,000",15,4,1993,목동중앙본로9길 23,202604~202804,갱신,사용,"24,000",0.0,연립다세대,연립다세대,2026-03
6,서울특별시 성북구 정릉동,175-7,175,7,대원맨션,전세,88.04,202603,29,"29,500",0,3,1998,정릉로29길 7,202606~202806,신규,-,,,연립다세대,연립다세대,2026-03
7,서울특별시 서초구 신원동,381-1,381,1,도담빌리지,월세,85.32,202603,29,"42,000",80,1,2008,본마을길 55-5,202603~202803,신규,-,,,연립다세대,연립다세대,2026-03
8,서울특별시 구로구 개봉동,265-5,265,5,동아연립(265-5),월세,87.11,202603,29,"3,000",80,2,1979,개봉로16길 18-17,202603~202803,갱신,-,"1,000",70.0,연립다세대,연립다세대,2026-03
9,서울특별시 송파구 풍납동,163-38,163,38,노아아크빌104동,전세,100.84,202603,28,"42,000",0,4,2003,풍성로25나길 11-6,202604~202804,갱신,-,"40,000",0.0,연립다세대,연립다세대,2026-03
10,경기도 고양시 일산동구 정발산동,1116,1116,0,밤가시마을5,월세,99.9,202603,28,"28,000",10,2,1996,산두로 228,202606~202806,신규,-,,,연립다세대,연립다세대,2026-03
