NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
1,전남광주통합특별시 광산구 수완동,327-3,327,3,수완한국아델리움57트리니티2단지,전세,91.39,202602,28,"38,000",0,2,2022,하완길 86-1,202604~202804,신규,-,,,연립다세대,연립다세대,2026-02
2,서울특별시 광진구 구의동,35-4,35,4,롯데빌라,전세,100.35,202602,28,"32,000",0,2,1983,자양로48길 50,202604~202804,신규,-,,,연립다세대,연립다세대,2026-02
3,경기도 안산시 상록구 본오동,872-4,872,4,(872-4),월세,86.82,202602,28,"1,000",80,5,2001,샘골로 184,202603~202803,신규,-,,,연립다세대,연립다세대,2026-02
4,서울특별시 서대문구 연희동,290-1,290,1,연세아크로폴리스,월세,94.64,202602,28,"3,000",50,3,2001,연희로8길 27,202603~202703,신규,-,,,연립다세대,연립다세대,2026-02
5,서울특별시 서대문구 연희동,290-1,290,1,연세아크로폴리스,월세,94.64,202602,28,"3,000",50,3,2001,연희로8길 27,202603~202703,신규,-,,,연립다세대,연립다세대,2026-02
6,서울특별시 구로구 온수동,45-31,45,31,대흥빌라,월세,90.24,202602,28,"3,000",65,1,1985,경인로3길 97,202605~202805,신규,-,,,연립다세대,연립다세대,2026-02
7,서울특별시 마포구 서교동,333-44,333,44,WhiteVille,월세,93.14,202602,27,"2,000",63,4,2002,와우산로29마길 15-6,202603~202803,신규,-,,,연립다세대,연립다세대,2026-02
8,서울특별시 서대문구 충정로3가,3-1,3,1,(3-1),전세,95.35,202602,27,"60,000",0,1,1996,경기대로7길 27,202602~202802,신규,-,,,연립다세대,연립다세대,2026-02
9,경기도 화성시 동탄구 송동,696,696,0,동탄레이크자이더테라스,월세,98.7637,202602,27,"30,000",57,1,2018,동탄순환대로1길 64,202603~202803,신규,-,,,연립다세대,연립다세대,2026-02
10,인천광역시 서해구 신현동,292-1,292,1,상례,전세,86.4,202602,26,"9,000",0,3,1984,가정로335번길 13,202602~202802,갱신,-,"12,000",0.0,연립다세대,연립다세대,2026-02
11,서울특별시 용산구 이태원동,258-62,258,62,(258-62),전세,99.17,202602,26,"52,000",0,3,1969,회나무로41길 52,202603~202803,신규,-,,,연립다세대,연립다세대,2026-02
12,경상남도 거제시 연초면 송정리,156-5,156,5,크라운빌,전세,97.4,202602,26,"6,500",0,4,2004,국산로 12,202603~202803,신규,-,,,연립다세대,연립다세대,2026-02
13,서울특별시 광진구 구의동,636-8,636,8,(636-8),월세,86.84,202602,26,"1,000",55,5,2004,광나루로30가길 24-7,202602~202802,신규,-,,,연립다세대,연립다세대,2026-02
14,경기도 고양시 일산동구 백석동,1191,1191,0,흰돌마을7(건영),전세,99.87,202602,26,"35,500",0,2,1996,강송로125번길 16,202604~202804,신규,-,,,연립다세대,연립다세대,2026-02
15,서울특별시 은평구 응암동,675-3,675,3,(675-3),월세,93.6,202602,26,"3,000",70,1,1984,가좌로6길 6,202603~202803,신규,-,,,연립다세대,연립다세대,2026-02
16,서울특별시 강남구 삼성동,121,121,0,벨르빌,전세,86.31,202602,26,"53,200",0,5,2001,삼성로107길 17,202604~202804,신규,-,,,연립다세대,연립다세대,2026-02
17,서울특별시 종로구 창신동,23-540,23,540,용호빌,전세,87.72,202602,26,"25,000",0,2,2006,창신10가길 8,202604~202804,신규,-,,,연립다세대,연립다세대,2026-02
18,경기도 안산시 상록구 이동,579-7,579,7,(579-7),월세,91.225,202602,25,500,48,5,2017,충장로 262,202603~202803,신규,-,,,연립다세대,연립다세대,2026-02
