NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
1,경기도 안산시 상록구 본오동,8**,12m미만,90.0,월세,202607,31,"2,000",80,1994.0,충장로3길,202609~202809,신규,-,,,단독다가구,단독다가구,2026-07
2,인천광역시 부평구 십정동,4**,8m미만,86.86,월세,202607,31,"1,000",65,1988.0,동암남로26번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-07
3,서울특별시 영등포구 당산동4가,3*,12m미만,93.78,전세,202607,31,"52,000",0,1992.0,당산로38길,202610~202810,신규,-,,,단독다가구,단독다가구,2026-07
4,서울특별시 성북구 동선동3가,6*,12m미만,92.6,월세,202607,31,450,40,1997.0,동소문로26가길,202608~202708,신규,-,,,단독다가구,단독다가구,2026-07
5,경상남도 창원시 진해구 여좌동,1**,8m미만,86.22,전세,202607,31,"9,000",0,1994.0,여좌로38번길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-07
6,제주특별자치도 제주시 애월읍 유수암리,2***,12m미만,95.96,월세,202607,31,"1,000",133,2019.0,항파두리로,202608~202708,신규,-,,,단독다가구,단독다가구,2026-07
7,경기도 수원시 영통구 이의동,1***,25m미만,92.68,전세,202607,31,"45,000",0,2016.0,대학1로64번길,202609~202809,신규,-,,,단독다가구,단독다가구,2026-07
8,인천광역시 영종구 운남동,*,8m미만,88.2,월세,202607,31,"1,000",50,2009.0,백운로107번길,202609~202610,신규,-,,,단독다가구,단독다가구,2026-07
9,전북특별자치도 전주시 완산구 교동,5*,12m미만,91.56,월세,202607,31,"2,000",60,1997.0,오목대길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-07
10,경상남도 창원시 진해구 여좌동,1**,8m미만,86.22,전세,202607,31,"9,500",0,1994.0,여좌로38번길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-07
11,전북특별자치도 전주시 완산구 서신동,9**,12m미만,91.0,월세,202607,31,"3,500",70,2012.0,고사평6길,202608~202708,신규,-,,,단독다가구,단독다가구,2026-07
12,경기도 안성시 죽산면 장원리,6**,8m미만,94.32,월세,202607,31,"1,000",150,1997.0,관음당길,202607~202707,신규,-,,,단독다가구,단독다가구,2026-07
13,경기도 성남시 분당구 분당동,1**,8m미만,99.87,월세,202607,31,"10,000",35,1997.0,분당로,202608~202908,신규,-,,,단독다가구,단독다가구,2026-07
14,경상남도 김해시 신문동,3**,8m미만,99.09,월세,202607,31,"10,000",25,1996.0,장유로337번길,202609~202809,신규,-,,,단독다가구,단독다가구,2026-07
15,충청북도 제천시 왕암동,7**,25m미만,97.42,월세,202607,31,"1,500",75,2018.0,소새로1길,202608~202907,신규,-,,,단독다가구,단독다가구,2026-07
16,경기도 부천시 원미구 중동,1***,25m미만,88.01,전세,202607,31,"19,000",0,2001.0,장말로237번길,202608~202808,갱신,-,"18,000",0.0,단독다가구,단독다가구,2026-07
17,서울특별시 광진구 자양동,6**,8m미만,91.18,월세,202607,31,"3,000",40,1997.0,뚝섬로54길,202607~202807,갱신,-,"3,000",30.0,단독다가구,단독다가구,2026-07
18,경기도 성남시 중원구 은행동,6**,8m미만,85.09,월세,202607,31,"10,000",60,2015.0,순환로457번길,202610~202810,신규,-,,,단독다가구,단독다가구,2026-07
19,경기도 성남시 수정구 수진동,2**,8m미만,85.83,전세,202607,31,"30,000",0,1973.0,수정남로50번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-07
20,서울특별시 강북구 수유동,7**,8m미만,87.02,월세,202607,31,"8,000",45,1986.0,노해로33길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-07
21,경기도 과천시 과천동,5**,12m미만,93.0,월세,202607,31,"20,000",170,2017.0,향나무로,202608~202808,신규,-,,,단독다가구,단독다가구,2026-07
22,경기도 평택시 오성면 양교리,2**,8m미만,99.67,월세,202607,31,500,40,1997.0,안화길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-07
23,서울특별시 강남구 세곡동,4**,8m미만,86.0,월세,202607,31,"3,000",250,2021.0,헌릉로571길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-07
24,경기도 수원시 팔달구 우만동,4**,12m미만,97.56,월세,202607,30,200,29,1990.0,월드컵로369번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-07
25,경기도 김포시 월곶면 고막리,2**,8m미만,96.21,전세,202607,30,"21,000",0,2013.0,용강로103번길,202609~202808,신규,-,,,단독다가구,단독다가구,2026-07
