NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
1,서울특별시 광진구 능동,283-24,283,24,에이스빌,월세,93.53,202604,30,"20,000",100,4,2001,천호대로110길 92,202608~202808,신규,-,,,연립다세대,연립다세대,2026-04
2,서울특별시 용산구 이태원동,194,194,0,RICHVILLAGE,월세,98.82,202604,30,"2,000",219,1,2004,녹사평대로46가길 27-40,202605~202705,갱신,사용,"2,000",208.0,연립다세대,연립다세대,2026-04
3,인천광역시 서해구 신현동,292-1,292,1,상례,전세,86.4,202604,30,"9,000",0,1,1984,가정로335번길 13,202605~202805,신규,-,,,연립다세대,연립다세대,2026-04
4,경기도 고양시 일산서구 일산동,553-13,553,13,중동아트빌라,월세,98.78,202604,30,"1,500",58,3,1994,일중로 67-9,202606~202806,신규,-,,,연립다세대,연립다세대,2026-04
5,경기도 과천시 문원동,115-419,115,419,나인캐슬,전세,88.73,202604,30,"49,000",0,2,2003,문원청계8길 58,202605~202805,신규,-,,,연립다세대,연립다세대,2026-04
6,서울특별시 용산구 후암동,244-79,244,79,하남리치빌,월세,96.89,202604,30,"3,000",130,3,1997,후암로28길 38,202605~202805,신규,-,,,연립다세대,연립다세대,2026-04
7,제주특별자치도 제주시 오라이동,1474-1,1474,1,남국하우스,월세,88.55,202604,30,500,79,1,2008,연사2길 8,202605~202804,신규,-,,,연립다세대,연립다세대,2026-04
8,제주특별자치도 서귀포시 안덕면 사계리,1516,1516,0,산방산코아루아이비타운,월세,99.7397,202604,30,"1,000",125,1,2019,사계북로 137,202605~202705,신규,-,,,연립다세대,연립다세대,2026-04
9,서울특별시 송파구 석촌동,55-2,55,2,아트하우스(55-2),전세,100.41,202604,30,"56,000",0,5,2002,석촌호수로18길 12-5,202604~202804,신규,-,,,연립다세대,연립다세대,2026-04
10,경기도 평택시 죽백동,766,766,0,평택소사벌해링턴코트,전세,93.84,202604,30,"35,500",0,1,2019,죽백8길 37,202606~202806,신규,-,,,연립다세대,연립다세대,2026-04
11,서울특별시 관악구 봉천동,1529-30,1529,30,월드빌라(1529-30),전세,87.66,202604,30,"39,500",0,3,2000,장군봉7길 31,202604~202804,신규,-,,,연립다세대,연립다세대,2026-04
12,서울특별시 은평구 갈현동,327-34,327,34,장원마을(A),전세,85.95,202604,30,"24,000",0,2,2003,서오릉로20길 20-9,202605~202805,갱신,-,"24,000",0.0,연립다세대,연립다세대,2026-04
13,경기도 광주시 신현동,138-6,138,6,오슬로5동,전세,100.73,202604,30,"58,000",0,3,2023,문형산길 154-5,202608~202808,신규,-,,,연립다세대,연립다세대,2026-04
14,제주특별자치도 서귀포시 대정읍 보성리,2549,2549,0,보성리라임힐,월세,97.8153,202604,29,"2,000",204,3,2019,영어도시로 77-6,202607~202707,신규,-,,,연립다세대,연립다세대,2026-04
15,서울특별시 송파구 잠실동,330-10,330,10,(330-10),전세,88.16,202604,29,"50,000",0,5,2004,백제고분로18길 23-13,202604~202804,갱신,-,"49,000",0.0,연립다세대,연립다세대,2026-04
16,서울특별시 강북구 우이동,161-35,161,35,(161-35),월세,98.18,202604,29,"1,000",45,1,1977,삼양로169길 34-1,202605~202805,신규,-,,,연립다세대,연립다세대,2026-04
17,제주특별자치도 서귀포시 대정읍 보성리,2549,2549,0,보성리라임힐,월세,97.8153,202604,29,"2,000",225,3,2019,영어도시로 77-6,202606~202706,신규,-,,,연립다세대,연립다세대,2026-04
