NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
1,경기도 안산시 상록구 사동,1***,8m미만,100.0,전세,202603,31,"15,000",0,2001.0,석호공원로4길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-03
2,인천광역시 서해구 가정동,6**,25m미만,98.4,월세,202603,31,"2,000",130,2018.0,염곡로498번안길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-03
3,서울특별시 용산구 후암동,1**,8m미만,86.14,전세,202603,31,"38,000",0,1989.0,한강대로96가길,202604~202804,신규,-,,,단독다가구,단독다가구,2026-03
4,충청남도 보령시 대천동,4*,12m미만,90.45,전세,202603,31,"8,000",0,1995.0,대천로,202604~202804,신규,-,,,단독다가구,단독다가구,2026-03
5,인천광역시 서해구 경서동,7**,25m미만,92.0,월세,202603,31,"2,000",90,2015.0,경서로,202605~202805,신규,-,,,단독다가구,단독다가구,2026-03
6,대구광역시 동구 도동,8*,8m미만,94.65,월세,202603,31,100,25,1991.0,팔공로24길,202604~202804,신규,-,,,단독다가구,단독다가구,2026-03
7,경기도 남양주시 호평동,1*,8m미만,89.06,월세,202603,31,500,55,2000.0,호평로,202603~202803,신규,-,,,단독다가구,단독다가구,2026-03
8,경기도 평택시 비전동,4**,12m미만,88.83,월세,202603,31,"2,500",55,1994.0,평택5로,202605~202805,신규,-,,,단독다가구,단독다가구,2026-03
9,제주특별자치도 제주시 구좌읍 김녕리,5***,8m미만,94.7,전세,202603,31,"18,000",0,2017.0,동김길,202604~202804,신규,-,,,단독다가구,단독다가구,2026-03
10,경상북도 영주시 가흥동,1***,12m미만,100.0,월세,202603,31,"1,000",72,2013.0,대학로187번길,202605~202704,신규,-,,,단독다가구,단독다가구,2026-03
11,경상북도 상주시 서문동,6*,12m미만,91.26,월세,202603,31,200,35,2018.0,문무3길,202604~202803,신규,-,,,단독다가구,단독다가구,2026-03
12,경기도 평택시 비전동,1**,8m미만,95.68,전세,202603,31,"7,000",0,2009.0,평남로,202604~202804,신규,-,,,단독다가구,단독다가구,2026-03
13,경기도 용인시 처인구 양지읍 송문리,5**,8m미만,99.54,전세,202603,31,"14,000",0,2022.0,송주로38번길,202604~202804,신규,-,,,단독다가구,단독다가구,2026-03
14,서울특별시 영등포구 대림동,6**,8m미만,100.7,월세,202603,31,"2,000",20,1984.0,가마산로46길,202603~202703,신규,-,,,단독다가구,단독다가구,2026-03
15,제주특별자치도 서귀포시 남원읍 수망리,9**,8m미만,88.5,월세,202603,31,200,33,2017.0,서성로,202604~202704,신규,-,,,단독다가구,단독다가구,2026-03
16,충청남도 공주시 반포면 학봉리,6**,8m미만,94.2,월세,202603,31,"3,000",65,1987.0,동학사1로,202604~202904,신규,-,,,단독다가구,단독다가구,2026-03
17,제주특별자치도 제주시 구좌읍 하도리,1***,8m미만,99.43,월세,202603,31,"1,000",183,2025.0,별방길,202604~202704,신규,-,,,단독다가구,단독다가구,2026-03
18,충청북도 증평군 증평읍 초중리,5**,12m미만,89.0,전세,202603,31,"6,000",0,2003.0,초중8길,202604~202803,신규,-,,,단독다가구,단독다가구,2026-03
19,경기도 평택시 서정동,6**,8m미만,92.93,월세,202603,31,"1,000",55,,국제로,202604~202704,신규,-,,,단독다가구,단독다가구,2026-03
20,경상남도 양산시 중부동,6**,12m미만,97.3,월세,202603,31,500,50,2001.0,양주3길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-03
21,제주특별자치도 제주시 삼도일동,5**,12m미만,99.0,월세,202603,31,50,67,2017.0,서광로13길,202604~202703,신규,-,,,단독다가구,단독다가구,2026-03
22,경기도 여주시 강천면 도전리,1***,8m미만,94.65,월세,202603,31,"2,000",80,2000.0,부평로,202604~202804,신규,-,,,단독다가구,단독다가구,2026-03
23,경기도 용인시 처인구 백암면 가창리,7**,8m미만,98.51,월세,202603,31,"1,000",80,2024.0,가창로,202603~202703,신규,-,,,단독다가구,단독다가구,2026-03
24,강원특별자치도 양구군 국토정중앙면 원리,1**,8m미만,97.91,전세,202603,31,"3,000",0,1996.0,삼팔선로,202603~202803,신규,-,,,단독다가구,단독다가구,2026-03
25,경기도 평택시 소사동,1**,8m미만,99.36,전세,202603,31,"7,500",0,1991.0,소사2길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-03
26,경기도 이천시 마장면 덕평리,1**,8m미만,90.0,전세,202603,31,"10,000",0,2014.0,덕평로,202604~202703,신규,-,,,단독다가구,단독다가구,2026-03
27,경기도 안산시 단원구 와동,9*,25m미만,100.0,월세,202603,31,"2,000",75,2003.0,선부로,202605~202805,신규,-,,,단독다가구,단독다가구,2026-03
28,경기도 고양시 일산동구 정발산동,1***,8m미만,97.99,전세,202603,31,"18,000",0,1996.0,무궁화로141번길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-03
