NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
1,경기도 파주시 탄현면 대동리,106-41,106,41,헤이리팰리스104동,월세,100.33,202607,31,"2,000",130,1,2014,새오리로 215-67,202608~202708,신규,-,,,연립다세대,연립다세대,2026-07
2,부산광역시 동구 수정동,969-14,969,14,화이트빌,월세,98.05,202607,31,"2,000",40,4,2006,망양로 688,202608~202808,신규,-,,,연립다세대,연립다세대,2026-07
3,서울특별시 용산구 이태원동,212-38,212,38,LUSVILL,월세,90.8,202607,31,"1,000",350,2,2001,회나무로28가길 18,202608~202708,신규,-,,,연립다세대,연립다세대,2026-07
4,서울특별시 종로구 명륜3가,1-87,1,87,(1-87),월세,85.59,202607,31,500,55,2,1997,명륜2길 44-1,202608~202707,신규,-,,,연립다세대,연립다세대,2026-07
5,서울특별시 성북구 정릉동,670-14,670,14,고려맨션,월세,99.3,202607,31,300,50,1,1982,정릉로15길 17,202608~202702,갱신,사용,300,50.0,연립다세대,연립다세대,2026-07
6,서울특별시 마포구 성산동,37-4,37,4,보영빌라,전세,89.3,202607,30,"34,000",0,2,1997,월드컵북로20길 34,202608~202808,갱신,사용,"32,500",0.0,연립다세대,연립다세대,2026-07
7,경상북도 포항시 남구 효자동,207,207,0,효자그린빌원룸,전세,99.69,202607,30,"8,800",0,4,2003,효자동길10번길 64,202607~202807,갱신,-,"8,800",0.0,연립다세대,연립다세대,2026-07
8,서울특별시 마포구 당인동,28-2,28,2,(28-2),전세,86.23,202607,30,"21,000",0,4,2008,와우산로3길 37-8,202609~202809,갱신,사용,"20,000",0.0,연립다세대,연립다세대,2026-07
9,서울특별시 서초구 반포동,728-2,728,2,대성주택,월세,95.06,202607,30,"3,000",70,4,1996,주흥길 31-31,202608~202808,신규,-,,,연립다세대,연립다세대,2026-07
10,서울특별시 강남구 일원동,649-14,649,14,(649-14),월세,89.91,202607,30,"4,000",20,-1,1987,양재대로49길 36,202608~202808,신규,-,,,연립다세대,연립다세대,2026-07
11,경상남도 거제시 고현동,1087,1087,0,신원아침도시헤리티지(203동),월세,93.1,202607,29,"2,000",70,2,2014,계룡로9길 21-3,202610~202810,신규,-,,,연립다세대,연립다세대,2026-07
12,제주특별자치도 제주시 애월읍 고성리,1594,1594,0,테라시티더숨,월세,99.38,202607,28,"2,500",225,3,2021,고성남길 51,202608~202708,신규,-,,,연립다세대,연립다세대,2026-07
13,서울특별시 종로구 신영동,188,188,0,진안빌라,월세,92.07,202607,28,700,68,2,1990,세검정로 259,202608~202708,신규,-,,,연립다세대,연립다세대,2026-07
14,서울특별시 강동구 성내동,537-14,537,14,늘푸른빌라트,월세,95.98,202607,26,"21,000",80,2,2004,성내로3길 28-4,202607~202807,갱신,-,"21,000",60.0,연립다세대,연립다세대,2026-07
15,서울특별시 강동구 암사동,512-8,512,8,서국빌리지,월세,90.94,202607,25,"1,000",45,5,2010,상암로6길 14,202608~202808,신규,-,,,연립다세대,연립다세대,2026-07
16,경기도 과천시 주암동,105-15,105,15,예인트,월세,88.3,202607,25,"31,500",6,3,2013,원주암길 6,202609~202809,신규,-,,,연립다세대,연립다세대,2026-07
17,서울특별시 성동구 행당동,1-72,1,72,(1-72),월세,89.98,202607,25,500,57,2,2004,마조로9길 8-3,202607~202807,신규,-,,,연립다세대,연립다세대,2026-07
18,제주특별자치도 제주시 연동,324-20,324,20,선덕빌리지,월세,87.11,202607,25,500,80,4,2002,선덕로8길 9,202607~202707,신규,-,,,연립다세대,연립다세대,2026-07
19,서울특별시 마포구 망원동,431-10,431,10,탑그린빌,전세,85.55,202607,25,"40,000",0,3,2002,월드컵로29길 114-10,202608~202808,신규,-,,,연립다세대,연립다세대,2026-07
20,제주특별자치도 제주시 애월읍 고성리,1594,1594,0,테라시티더숨,월세,99.38,202607,25,"2,800",233,4,2021,고성남길 51,202610~202810,신규,-,,,연립다세대,연립다세대,2026-07
21,서울특별시 송파구 석촌동,180-8,180,8,진아트빌,전세,86.14,202607,25,"36,279",0,4,2003,백제고분로39길 30-10,202608~202808,갱신,-,"36,700",0.0,연립다세대,연립다세대,2026-07
22,경기도 안양시 만안구 석수동,266-16,266,16,동원,월세,97.78,202607,24,"1,000",65,1,1978,안양로532번길 39-7,202608~202808,신규,-,,,연립다세대,연립다세대,2026-07
23,서울특별시 마포구 성산동,165-79,165,79,무지개빌라,월세,89.07,202607,23,100,30,1,1977,새터산11길 16,202608~202808,신규,-,,,연립다세대,연립다세대,2026-07
24,서울특별시 동작구 상도동,221-1,221,1,현진빌라(221-1),전세,86.4,202607,23,"35,000",0,1,1984,양녕로 177,202608~202808,갱신,-,"33,000",0.0,연립다세대,연립다세대,2026-07
25,경상북도 문경시 흥덕동,337-2,337,2,동신주택,전세,96.24,202607,23,"9,000",0,3,2002,흥덕5길 23-5,202608~202808,신규,-,,,연립다세대,연립다세대,2026-07
26,경기도 의정부시 신곡동,597-1,597,1,개나리맨숀,전세,89.91,202607,23,"16,000",0,2,1985,동일로 531,202610~202810,신규,-,,,연립다세대,연립다세대,2026-07
27,서울특별시 광진구 구의동,239-78,239,78,(239-78),월세,100.68,202607,23,"4,000",90,2,2004,자양로30길 64-10,202607~202712,신규,-,,,연립다세대,연립다세대,2026-07
28,서울특별시 성북구 정릉동,670-14,670,14,고려맨션,월세,99.3,202607,23,500,45,1,1982,정릉로15길 17,202608~202708,신규,-,,,연립다세대,연립다세대,2026-07
29,서울특별시 중랑구 면목동,1341,1341,0,(1341-0),월세,92.54,202607,22,500,29,1,1980,용마산로45길 66-5,202607~202712,갱신,-,500,28.0,연립다세대,연립다세대,2026-07
30,제주특별자치도 서귀포시 안덕면 사계리,1516,1516,0,산방산코아루아이비타운,전세,99.8301,202607,22,"29,000",0,1,2019,사계북로 137,202609~202809,신규,-,,,연립다세대,연립다세대,2026-07
31,경기도 용인시 기흥구 상갈동,479,479,0,금화주공그린빌2단지,월세,99.8,202607,22,"5,000",125,3,2001,금화로11번길 15,202609~202809,신규,-,,,연립다세대,연립다세대,2026-07
32,부산광역시 금정구 장전동,85-5,85,5,서호빌라,월세,88.83,202607,21,"1,000",70,2,1996,수림로 108,202608~202707,신규,-,,,연립다세대,연립다세대,2026-07
33,전북특별자치도 전주시 덕진구 송천동1가,464-10,464,10,송천동1가464-10공동주택(유한회사리안),전세,91.5526,202607,21,"25,000",0,6,2022,송천3길 15,202611~202811,신규,-,,,연립다세대,연립다세대,2026-07
34,서울특별시 동작구 사당동,89-12,89,12,도성빌딩,월세,90.64,202607,20,"46,000",30,4,2004,동작대로29가길 33,202610~202810,신규,-,,,연립다세대,연립다세대,2026-07
35,경기도 광주시 능평동,289,289,0,새미쉐르빌(A동),월세,88.715,202607,20,"2,500",75,2,2003,창뜰아랫길 41,202610~202809,신규,-,,,연립다세대,연립다세대,2026-07
36,충청북도 진천군 광혜원면 광혜원리,587-1,587,1,화랑102동,월세,93.562,202607,20,"1,000",65,2,1996,실원길 15-7,202608~202808,신규,-,,,연립다세대,연립다세대,2026-07
37,서울특별시 마포구 염리동,81-92,81,92,가원주택,월세,85.96,202607,18,"30,000",100,4,2002,백범로17길 30,202608~202808,신규,-,,,연립다세대,연립다세대,2026-07
38,경기도 광주시 신현동,506-129,506,129,더테라스319,월세,91.917,202607,18,"5,000",200,1,2023,새말길 319-14,202609~202809,신규,-,,,연립다세대,연립다세대,2026-07
39,서울특별시 강남구 역삼동,792-31,792,31,하이빌,월세,93.72,202607,18,"5,000",136,4,2002,논현로67길 38,202608~202808,신규,-,,,연립다세대,연립다세대,2026-07
40,서울특별시 강북구 미아동,133-82,133,82,삼정하이츠빌라,전세,90.62,202607,18,"35,000",0,1,1995,도봉로30길 47,202609~202809,갱신,사용,"34,000",0.0,연립다세대,연립다세대,2026-07
41,서울특별시 용산구 효창동,5-175,5,175,유진빌라,전세,94.41,202607,18,"40,000",0,4,1991,백범로47길 41,202609~202809,신규,-,,,연립다세대,연립다세대,2026-07
42,서울특별시 서대문구 충정로3가,3-1,3,1,(3-1),전세,95.35,202607,16,"55,000",0,1,1996,경기대로7길 27,202607~202807,신규,-,,,연립다세대,연립다세대,2026-07
43,제주특별자치도 서귀포시 대정읍 보성리,2549,2549,0,보성리라임힐,월세,97.8153,202607,15,"1,000",150,1,2019,영어도시로 77-6,202610~202806,신규,-,,,연립다세대,연립다세대,2026-07
44,제주특별자치도 서귀포시 대정읍 보성리,2549,2549,0,보성리라임힐,월세,97.8153,202607,15,"1,000",150,1,2019,영어도시로 77-6,202610~202810,신규,-,,,연립다세대,연립다세대,2026-07
45,대구광역시 동구 송정동,249-2,249,2,팔공더힐,월세,95.9628,202607,15,"1,500",55,1,2020,팔공산로 368-2,202607~202807,신규,-,,,연립다세대,연립다세대,2026-07
