NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
1,서울특별시 서대문구 연희동,3**,8m미만,100.82,전세,202602,28,"50,000",0,1995.0,연희로12길,202604~202804,신규,-,,,단독다가구,단독다가구,2026-02
2,경기도 안산시 상록구 이동,6**,12m미만,99.76,전세,202602,28,"20,000",0,2006.0,송호3길,202604~202804,신규,-,,,단독다가구,단독다가구,2026-02
3,서울특별시 강남구 수서동,7**,8m미만,101.32,월세,202602,28,"2,250",90,1995.0,광평로31길,202602~202802,갱신,-,"1,000",90.0,단독다가구,단독다가구,2026-02
4,충청북도 청주시 흥덕구 봉명동,1***,8m미만,89.5,월세,202602,28,"1,000",80,1989.0,천석로28번길,202603~202803,신규,-,,,단독다가구,단독다가구,2026-02
5,경기도 성남시 수정구 심곡동,3**,12m미만,88.0,전세,202602,28,"39,900",0,2015.0,심곡로50번길,202603~202803,갱신,사용,"38,000",0.0,단독다가구,단독다가구,2026-02
6,전남광주통합특별시 여수시 문수동,*,8m미만,99.24,월세,202602,28,200,20,1988.0,문수북5길,202603~202803,신규,-,,,단독다가구,단독다가구,2026-02
7,경기도 고양시 덕양구 행신동,1***,12m미만,98.72,월세,202602,28,"3,000",100,2009.0,서정마을2로7번길,202603~202803,신규,-,,,단독다가구,단독다가구,2026-02
8,경기도 부천시 오정구 작동,3**,12m미만,88.92,전세,202602,28,"23,500",0,1999.0,작동로62번길,202604~202804,신규,-,,,단독다가구,단독다가구,2026-02
9,부산광역시 사상구 주례동,1**,25m미만,96.7,월세,202602,28,300,30,2004.0,주례로,202602~202702,신규,-,,,단독다가구,단독다가구,2026-02
10,서울특별시 강동구 성내동,4**,12m미만,96.48,전세,202602,28,"38,000",0,2005.0,성내로17길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-02
11,전북특별자치도 전주시 완산구 효자동2가,1***,12m미만,93.0,월세,202602,28,"3,000",80,2010.0,범안2길,202603~202803,신규,-,,,단독다가구,단독다가구,2026-02
12,서울특별시 강동구 성내동,4**,12m미만,96.48,전세,202602,28,"38,000",0,2005.0,성내로17길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-02
13,경기도 고양시 덕양구 내곡동,6*,8m미만,95.56,월세,202602,28,"7,000",60,2011.0,내곡길,202603~202802,신규,-,,,단독다가구,단독다가구,2026-02
14,전북특별자치도 전주시 완산구 효자동3가,1***,12m미만,92.6,월세,202602,28,"11,000",25,2011.0,문학대6길,202603~202803,신규,-,,,단독다가구,단독다가구,2026-02
15,경기도 광주시 초월읍 무갑리,1**,8m미만,98.04,전세,202602,28,"15,000",0,2020.0,무갑길,202603~202803,신규,-,,,단독다가구,단독다가구,2026-02
16,서울특별시 강동구 성내동,4**,12m미만,96.48,전세,202602,28,"38,000",0,2005.0,성내로17길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-02
