NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
1,제주특별자치도 제주시 노형동,3***,8m미만,88.55,월세,202604,30,500,75,2005.0,월산북길,202604~202704,신규,-,,,단독다가구,단독다가구,2026-04
2,부산광역시 기장군 기장읍 대라리,4**,12m미만,90.24,월세,202604,30,200,27,2010.0,차성로277번길,202604~202704,신규,-,,,단독다가구,단독다가구,2026-04
3,강원특별자치도 원주시 반곡동,5**,8m미만,96.34,월세,202604,30,"2,000",70,1999.0,섭재삼보길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
4,전남광주통합특별시 순천시 가곡동,9**,8m미만,99.7,전세,202604,30,"34,000",0,2021.0,신용길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-04
5,충청남도 천안시 동남구 원성동,4**,12m미만,91.17,월세,202604,30,500,55,1991.0,원성2길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
6,전남광주통합특별시 목포시 산정동,1***,12m미만,92.76,월세,202604,30,"2,000",35,1998.0,죽산로16번길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
7,충청남도 천안시 동남구 원성동,4**,12m미만,91.17,월세,202604,30,500,55,1991.0,원성2길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
8,울산광역시 동구 방어동,9**,12m미만,89.22,월세,202604,30,"3,000",40,1997.0,월봉2길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
9,경기도 성남시 중원구 도촌동,5**,12m미만,95.34,전세,202604,30,"30,000",0,2008.0,도촌로7번길,202605~202805,갱신,-,"28,000",0.0,단독다가구,단독다가구,2026-04
10,경상남도 창원시 마산회원구 회원동,*,8m미만,91.5,월세,202604,30,"1,000",20,1977.0,회원동북로,202604~202804,신규,-,,,단독다가구,단독다가구,2026-04
11,경기도 화성시 만세구 우정읍 조암리,8**,12m미만,88.3,월세,202604,30,"3,000",95,2018.0,조암북로68번길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
12,충청남도 천안시 서북구 성거읍 소우리,1**,25m미만,99.0,월세,202604,30,500,20,2017.0,남산1길,202604~202804,신규,-,,,단독다가구,단독다가구,2026-04
13,경기도 의정부시 신곡동,8**,8m미만,99.17,월세,202604,30,"3,000",60,2008.0,추동로92번길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
14,서울특별시 양천구 신월동,2**,12m미만,95.88,월세,202604,30,"9,500",36,1985.0,월정로13길,202605~202805,갱신,사용,"9,500",32.0,단독다가구,단독다가구,2026-04
15,서울특별시 강남구 일원동,6**,8m미만,94.95,전세,202604,30,"32,500",0,1988.0,개포로136길,202605~202805,갱신,-,"31,000",0.0,단독다가구,단독다가구,2026-04
16,부산광역시 강서구 명지동,3***,12m미만,100.26,월세,202604,30,"7,000",40,2011.0,명지오션시티7로,202605~202804,갱신,-,"7,000",40.0,단독다가구,단독다가구,2026-04
17,제주특별자치도 서귀포시 안덕면 동광리,*,-,97.7,월세,202604,30,"2,000",150,2025.0,신화역사로,202605~202705,신규,-,,,단독다가구,단독다가구,2026-04
18,경기도 부천시 원미구 중동,1***,12m미만,96.35,전세,202604,30,"18,900",0,1994.0,계남로326번길,202604~202802,신규,-,,,단독다가구,단독다가구,2026-04
19,서울특별시 마포구 아현동,5**,8m미만,98.79,월세,202604,30,"1,000",75,2016.0,굴레방로9길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
20,경기도 하남시 하산곡동,1**,8m미만,99.0,전세,202604,30,"45,000",0,1996.0,검단산로34번길,202604~202804,갱신,-,"40,000",0.0,단독다가구,단독다가구,2026-04
21,서울특별시 서초구 방배동,8**,8m미만,94.55,전세,202604,30,"50,000",0,1978.0,서초대로32길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
22,제주특별자치도 서귀포시 남원읍 신흥리,5**,8m미만,101.88,월세,202604,30,300,120,1998.0,신흥앞동산로11번길,202605~203105,신규,-,,,단독다가구,단독다가구,2026-04
23,제주특별자치도 서귀포시 대정읍 영락리,1***,8m미만,100.04,월세,202604,30,0,85,2018.0,노을해안로,202604~202804,갱신,사용,0,125.0,단독다가구,단독다가구,2026-04
24,경기도 양주시 옥정동,1***,12m미만,98.66,월세,202604,30,"1,000",80,2021.0,옥정동로5아길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
25,서울특별시 은평구 갈현동,4**,12m미만,86.64,월세,202604,30,"5,000",60,2003.0,연서로29길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
26,경기도 고양시 일산동구 백석동,1***,12m미만,100.74,월세,202604,30,"3,000",110,2004.0,강송로87번길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
27,대전광역시 서구 도마동,6*,8m미만,96.51,월세,202604,30,"1,000",50,1982.0,용화7길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
28,경상북도 김천시 개령면 동부리,2**,8m미만,95.3,전세,202604,30,"1,000",0,,동부길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
29,충청남도 서산시 음암면 도당리,7**,12m미만,93.58,전세,202604,30,"9,000",0,2015.0,음암로,202605~202704,신규,-,,,단독다가구,단독다가구,2026-04
30,서울특별시 서초구 서초동,1***,8m미만,91.78,월세,202604,30,"6,000",65,2018.0,효령로74길,202607~202807,갱신,-,"5,000",65.0,단독다가구,단독다가구,2026-04
31,경기도 안양시 만안구 안양동,8**,8m미만,97.49,월세,202604,30,"10,000",50,1990.0,안양로417번길,202604~202704,갱신,-,"10,000",30.0,단독다가구,단독다가구,2026-04
32,대구광역시 수성구 두산동,1**,8m미만,94.73,전세,202604,30,"12,000",0,1989.0,동대구로7길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
33,경상북도 경주시 성건동,6**,12m미만,85.9,월세,202604,30,"1,000",70,2017.0,금성로396번길,202606~202805,신규,-,,,단독다가구,단독다가구,2026-04
34,울산광역시 남구 달동,5**,25m이상,93.64,월세,202604,30,"1,000",55,1989.0,돋질로,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
35,경상북도 상주시 성동동,1**,8m미만,100.38,월세,202604,30,50,20,1983.0,동문2길,202604~202702,신규,-,,,단독다가구,단독다가구,2026-04
36,경상남도 진주시 충무공동,5*,12m미만,100.19,월세,202604,30,"3,000",110,2019.0,범골로37번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-04
37,경기도 파주시 탄현면 갈현리,6**,8m미만,99.6,전세,202604,30,"13,500",0,1997.0,평화로,202607~202807,신규,-,,,단독다가구,단독다가구,2026-04
38,서울특별시 중랑구 망우동,6**,12m미만,88.29,월세,202604,30,"15,000",120,2021.0,양원역로14길,202606~202806,갱신,사용,"15,000",120.0,단독다가구,단독다가구,2026-04
39,울산광역시 울주군 청량읍 동천리,5**,8m미만,99.03,전세,202604,30,"28,000",0,2022.0,양동1길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
40,경기도 성남시 분당구 분당동,1**,8m미만,101.22,전세,202604,30,"30,000",0,1996.0,장안로56번길,202605~202805,갱신,사용,"30,000",0.0,단독다가구,단독다가구,2026-04
41,인천광역시 남동구 장수동,7**,8m미만,85.12,전세,202604,30,"16,000",0,2020.0,장자로6번길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
42,제주특별자치도 제주시 이도이동,1***,25m미만,86.0,월세,202604,30,100,55,1988.0,동고산로,202604~202704,신규,-,,,단독다가구,단독다가구,2026-04
43,제주특별자치도 서귀포시 대포동,1***,25m미만,90.07,전세,202604,30,"17,000",0,2003.0,대포중앙로,202606~202706,갱신,-,"17,000",0.0,단독다가구,단독다가구,2026-04
44,대구광역시 달성군 화원읍 명곡리,2**,12m미만,96.21,월세,202604,30,"1,000",10,1984.0,비슬로506길,202604~202804,신규,-,,,단독다가구,단독다가구,2026-04
45,인천광역시 강화군 강화읍 관청리,2**,12m미만,85.64,월세,202604,29,500,35,1979.0,동문안길,202604~202804,신규,-,,,단독다가구,단독다가구,2026-04
46,울산광역시 중구 다운동,5**,8m미만,91.94,월세,202604,29,500,50,1995.0,운곡7길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
47,경기도 성남시 분당구 분당동,1**,8m미만,94.18,전세,202604,29,"27,000",0,1999.0,분당로311번길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
48,경기도 용인시 수지구 성복동,6**,8m미만,99.99,월세,202604,29,"15,000",200,1998.0,성복2로,202604~202704,갱신,-,"25,000",140.0,단독다가구,단독다가구,2026-04
49,경기도 양평군 양평읍 백안리,1**,8m미만,97.92,월세,202604,29,"3,000",80,1993.0,백안큰골길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-04
50,강원특별자치도 강릉시 포남동,1***,8m미만,93.02,월세,202604,29,"10,000",20,1990.0,성덕포남로168번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-04
51,강원특별자치도 동해시 천곡동,5**,12m미만,87.58,월세,202604,29,"5,000",70,2025.0,항골2길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
52,경상남도 창원시 진해구 인사동,*,12m미만,101.49,월세,202604,29,"1,000",45,1991.0,인사로6번길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
53,부산광역시 부산진구 초읍동,1**,25m이상,101.31,월세,202604,29,"3,000",55,1987.0,성지로,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
54,경상남도 창원시 진해구 석동,1**,8m미만,100.0,월세,202604,29,"7,000",25,2012.0,진해대로874번길,202606~202805,신규,-,,,단독다가구,단독다가구,2026-04
55,전남광주통합특별시 서구 금호동,7**,12m미만,91.08,월세,202604,29,"3,000",43,1994.0,금부로99번길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
56,강원특별자치도 동해시 천곡동,5**,12m미만,87.58,월세,202604,29,"6,000",70,,항골2길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
57,경기도 양평군 양평읍 백안리,1**,8m미만,97.92,월세,202604,29,"3,000",80,1993.0,백안큰골길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-04
58,전남광주통합특별시 북구 일곡동,8**,25m미만,95.72,월세,202604,29,"3,000",70,1997.0,송해로,202605~202804,신규,-,,,단독다가구,단독다가구,2026-04
59,경상북도 경산시 옥산동,8**,12m미만,92.9,월세,202604,29,"1,000",55,2008.0,성암로3길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
60,경기도 파주시 문발동,5**,12m미만,86.36,월세,202604,29,"3,000",180,2020.0,유채꽃길,202605~202705,신규,-,,,단독다가구,단독다가구,2026-04
61,경기도 수원시 팔달구 화서동,7*,8m미만,87.24,월세,202604,29,"5,000",80,2006.0,팔달로,202607~202807,신규,-,,,단독다가구,단독다가구,2026-04
62,경기도 안산시 단원구 와동,7**,25m미만,85.8,월세,202604,29,"1,000",60,,와동로,202604~202804,신규,-,,,단독다가구,단독다가구,2026-04
63,울산광역시 동구 화정동,6**,8m미만,89.1,월세,202604,29,"10,000",30,2014.0,대송11길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
64,충청남도 아산시 용화동,1***,25m미만,92.0,전세,202604,29,"10,000",0,2014.0,용화로9번길,202604~202804,갱신,-,"10,000",0.0,단독다가구,단독다가구,2026-04
65,울산광역시 북구 연암동,3**,12m미만,102.0,월세,202604,29,"2,000",40,1997.0,상방6길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
66,서울특별시 동작구 대방동,3**,8m미만,85.41,전세,202604,29,"35,000",0,2004.0,여의대방로36길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
67,경기도 안산시 단원구 와동,7**,25m미만,85.8,월세,202604,29,"10,000",60,2019.0,와동로,202604~202804,신규,-,,,단독다가구,단독다가구,2026-04
68,경기도 안산시 상록구 일동,6**,8m미만,87.0,월세,202604,29,"1,000",60,1998.0,웃말6길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
69,제주특별자치도 제주시 조천읍 북촌리,2**,25m이상,93.64,월세,202604,29,"1,000",100,2017.0,북촌14길,202605~202705,신규,-,,,단독다가구,단독다가구,2026-04
70,대전광역시 서구 도마동,8*,8m미만,86.21,전세,202604,29,"10,000",0,1982.0,조달청길,202604~202804,신규,-,,,단독다가구,단독다가구,2026-04
71,경상남도 양산시 삼호동,1**,12m미만,92.27,월세,202604,29,"1,000",45,2001.0,연호9길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
72,경기도 평택시 지산동,1***,12m미만,98.16,전세,202604,29,"8,000",0,1995.0,지산3로1번길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
73,경기도 평택시 용이동,5**,25m미만,98.74,월세,202604,29,"1,000",85,2015.0,현촌3길,202606~202805,신규,-,,,단독다가구,단독다가구,2026-04
74,경기도 부천시 원미구 심곡동,9*,8m미만,94.74,월세,202604,29,200,15,1991.0,부천로115번길,202605~202804,신규,-,,,단독다가구,단독다가구,2026-04
75,서울특별시 강남구 도곡동,5**,8m미만,90.89,전세,202604,29,"20,000",0,1983.0,강남대로58길,202604~202804,신규,-,,,단독다가구,단독다가구,2026-04
76,경기도 구리시 아천동,9*,12m미만,95.58,월세,202604,29,"12,000",20,2002.0,아치울길,202604~202804,신규,-,,,단독다가구,단독다가구,2026-04
77,대전광역시 유성구 하기동,5**,12m미만,97.13,월세,202604,29,"27,000",10,2012.0,노은로426번길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
78,세종특별자치시  장군면 도계리,3*,8m미만,89.94,월세,202604,29,"1,000",65,,풍덕골길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
79,경기도 수원시 장안구 영화동,4**,8m미만,98.58,월세,202604,29,"10,000",50,2010.0,수성로304번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-04
80,서울특별시 은평구 불광동,*,8m미만,88.74,전세,202604,29,"20,000",0,1995.0,불광로,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
81,부산광역시 동래구 사직동,3**,8m미만,88.5,전세,202604,29,"9,000",0,1978.0,여고북로34번길,202605~202805,갱신,-,"9,000",0.0,단독다가구,단독다가구,2026-04
82,경기도 남양주시 별내동,1***,25m미만,90.16,월세,202604,29,"20,000",74,2019.0,식송1로,202604~202804,갱신,-,"38,000",0.0,단독다가구,단독다가구,2026-04
83,경기도 수원시 장안구 연무동,2**,8m미만,94.32,월세,202604,29,"3,000",83,2016.0,연무로7번길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
84,부산광역시 부산진구 개금동,5**,12m미만,88.29,월세,202604,29,"2,000",27,2018.0,복지로41번길,202604~202704,신규,-,,,단독다가구,단독다가구,2026-04
85,경기도 양주시 백석읍 오산리,1**,8m미만,99.16,월세,202604,29,"2,000",80,2012.0,중앙로254번길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
86,대구광역시 남구 대명동,1***,12m미만,97.2,월세,202604,28,"10,000",18,1997.0,도촌길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
87,경기도 수원시 영통구 매탄동,1**,8m미만,89.3,전세,202604,28,"18,500",0,1993.0,동수원로,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
88,경기도 부천시 소사구 심곡본동,8**,12m미만,93.06,월세,202604,28,300,41,1987.0,심곡로109번길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
89,경기도 성남시 중원구 여수동,5**,25m미만,100.79,월세,202604,28,"20,000",100,2012.0,여수울로29번길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
90,강원특별자치도 횡성군 안흥면 상안리,4**,-,92.07,전세,202604,28,"10,000",0,2026.0,서동로상안4길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
91,강원특별자치도 횡성군 안흥면 상안리,4**,-,92.07,전세,202604,28,"10,000",0,2026.0,서동로상안4길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
92,제주특별자치도 서귀포시 표선면 표선리,6**,8m미만,90.0,월세,202604,28,600,75,2015.0,표선중앙로96번길,202605~202705,신규,-,,,단독다가구,단독다가구,2026-04
93,제주특별자치도 서귀포시 성산읍 온평리,1***,8m미만,99.72,월세,202604,28,"1,000",83,2016.0,온평포구로,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
94,제주특별자치도 서귀포시 성산읍 온평리,1***,8m미만,99.72,월세,202604,28,"1,000",83,2016.0,온평포구로,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
95,제주특별자치도 제주시 구좌읍 송당리,1***,8m미만,99.5,월세,202604,28,"1,000",150,2017.0,송당2길,202605~202705,신규,-,,,단독다가구,단독다가구,2026-04
96,제주특별자치도 제주시 애월읍 하귀1리,2**,8m미만,88.24,월세,202604,28,"1,000",100,2018.0,하귀동남4길,202605~202705,신규,-,,,단독다가구,단독다가구,2026-04
97,경상남도 양산시 동면 금산리,1***,12m미만,90.0,월세,202604,28,"3,000",60,2015.0,금오7길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
98,충청남도 아산시 배방읍 북수리,1***,12m미만,90.0,월세,202604,28,500,63,2005.0,배방로187번길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
99,충청북도 충주시 노은면 가신리,2*,-,97.75,전세,202604,28,"14,000",0,2018.0,신흥1길,202604~202805,신규,-,,,단독다가구,단독다가구,2026-04
100,경기도 고양시 일산동구 백석동,1***,8m미만,97.2,전세,202604,28,"18,000",0,,일산로135번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-04
101,경기도 포천시 소흘읍 고모리,2**,8m미만,99.0,월세,202604,28,"2,000",80,1999.0,죽엽산로,202605~202804,신규,-,,,단독다가구,단독다가구,2026-04
102,서울특별시 강남구 논현동,1**,8m미만,88.0,월세,202604,28,"2,000",161,2008.0,강남대로128길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
103,경기도 성남시 분당구 정자동,2**,8m미만,88.4,전세,202604,28,"45,000",0,1997.0,불곡남로25번길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
104,울산광역시 울주군 온산읍 덕신리,1***,12m미만,96.03,월세,202604,28,"2,000",75,2004.0,서영남길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
105,울산광역시 울주군 온산읍 덕신리,4**,8m미만,86.5,월세,202604,28,500,90,2015.0,용방소3길,202604~202704,신규,-,,,단독다가구,단독다가구,2026-04
106,인천광역시 강화군 강화읍 남산리,4**,8m미만,99.11,전세,202604,28,"10,000",0,2013.0,충렬사로,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
107,인천광역시 서해구 청라동,1**,12m미만,86.0,전세,202604,28,"18,000",0,,청라루비로42번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-04
108,인천광역시 서해구 청라동,1**,12m미만,86.0,전세,202604,28,"18,000",0,2015.0,청라루비로42번길,-,-,-,,,단독다가구,단독다가구,2026-04
109,인천광역시 서해구 석남동,5**,12m미만,86.03,월세,202604,28,"1,000",85,1984.0,면개포로,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
110,전남광주통합특별시 순천시 해룡면 도롱리,1**,8m미만,98.46,월세,202604,28,"1,000",50,1995.0,도롱길,202604~202804,신규,-,,,단독다가구,단독다가구,2026-04
111,경기도 화성시 동탄구 방교동,7**,12m미만,95.0,월세,202604,28,"5,000",190,2014.0,동탄기흥로257번나길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-04
112,경기도 화성시 만세구 마도면 슬항리,5**,8m미만,94.26,월세,202604,28,"1,000",60,1997.0,절골안길,202605~202804,신규,-,,,단독다가구,단독다가구,2026-04
113,강원특별자치도 춘천시 퇴계동,9**,25m미만,92.32,전세,202604,28,"10,000",0,1995.0,행촌로32번길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
114,서울특별시 강남구 율현동,1**,8m미만,97.74,월세,202604,28,"13,000",200,2023.0,밤고개로23길,202604~202804,갱신,-,"10,000",150.0,단독다가구,단독다가구,2026-04
115,제주특별자치도 제주시 오라이동,6**,8m미만,98.93,월세,202604,28,"1,000",190,2023.0,정실남3길,202604~202704,신규,-,,,단독다가구,단독다가구,2026-04
116,제주특별자치도 제주시 이도일동,1***,8m미만,85.95,월세,202604,28,"2,000",50,,광양2길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
117,경상남도 거제시 아주동,1***,25m이상,89.3,월세,202604,28,300,50,2014.0,아주2로,202604~202704,신규,-,,,단독다가구,단독다가구,2026-04
118,서울특별시 도봉구 쌍문동,4**,8m미만,85.06,월세,202604,28,"3,000",130,1976.0,시루봉로1길,202606~202805,신규,-,,,단독다가구,단독다가구,2026-04
119,경상북도 경주시 시래동,1***,12m미만,90.0,월세,202604,28,"1,000",70,2013.0,구매2길,202605~202705,신규,-,,,단독다가구,단독다가구,2026-04
120,경기도 안성시 발화동,1**,8m미만,99.0,전세,202604,28,"10,000",0,1995.0,발화대길,202604~202804,신규,-,,,단독다가구,단독다가구,2026-04
121,서울특별시 서대문구 북아현동,*,8m미만,97.16,월세,202604,28,"2,000",100,1990.0,북아현로,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
122,경기도 시흥시 하중동,8**,12m미만,98.34,전세,202604,28,"16,000",0,2002.0,하중로221번길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-04
123,경기도 남양주시 다산동,3***,8m미만,99.99,월세,202604,28,"8,000",35,1998.0,경춘로476번길,202604~202804,신규,-,,,단독다가구,단독다가구,2026-04
124,울산광역시 북구 화봉동,4**,12m미만,97.07,전세,202604,28,"13,000",0,2006.0,송내15길,202605~202805,신규,-,,,단독다가구,단독다가구,2026-04
125,울산광역시 남구 달동,1***,8m미만,86.4,월세,202604,28,"10,000",28,2004.0,돋질로234번길,202604~202804,신규,-,,,단독다가구,단독다가구,2026-04
126,대전광역시 서구 내동,2*,8m미만,89.24,월세,202604,28,"1,000",85,2018.0,동서대로1021번길,202605~202804,신규,-,,,단독다가구,단독다가구,2026-04
