NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
32,전북특별자치도 전주시 덕진구 송천동1가,464-10,464,10,송천동1가464-10공동주택(유한회사리안),전세,96.9511,202605,23,"22,000",0,5,2022,송천3길 15,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
33,전북특별자치도 전주시 덕진구 송천동1가,464-10,464,10,송천동1가464-10공동주택(유한회사리안),전세,96.9511,202605,23,"22,000",0,5,2022,송천3길 15,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
34,경기도 화성시 병점구 진안동,525-107,525,107,청보주택B,전세,86.21,202605,23,"7,000",0,-1,2006,병점로 17-7,202605~202805,갱신,사용,"7,000",0.0,연립다세대,연립다세대,2026-05
35,경기도 용인시 기흥구 언남동,107-2,107,2,코팩테크노타운(1단지),전세,99.81,202605,23,"17,800",0,1,1999,언남로29번서길 19,202606~202706,갱신,-,"15,750",0.0,연립다세대,연립다세대,2026-05
36,서울특별시 송파구 오금동,23-5,23,5,오륜아트빌라(6차),전세,97.6,202605,23,"35,000",0,3,1990,마천로 79-11,202606~202806,갱신,사용,"35,000",0.0,연립다세대,연립다세대,2026-05
37,경기도 시흥시 정왕동,2771-13,2771,13,(2771-13),월세,96.01,202605,22,"3,000",115,4,2020,시화호수전원2길 22-42,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
38,제주특별자치도 제주시 한경면 청수리,3391,3391,0,제주국제학교아이비스127,월세,99.5746,202605,22,"1,000",125,2,2023,연명로 145,202607~202707,신규,-,,,연립다세대,연립다세대,2026-05
39,서울특별시 마포구 마포동,214,214,0,광성빌라,월세,87.59,202605,22,"40,000",20,4,2001,마포대로4나길 18-4,202607~202807,신규,-,,,연립다세대,연립다세대,2026-05
40,서울특별시 성북구 성북동,229,229,0,조이빌라,월세,91.02,202605,22,"8,000",100,1,1995,성북로 153,202605~202606,갱신,-,"8,000",100.0,연립다세대,연립다세대,2026-05
41,서울특별시 노원구 하계동,285,285,0,한신코아,전세,101.99,202605,22,"65,000",0,4,1994,노원로15길 51-10,202608~202808,신규,-,,,연립다세대,연립다세대,2026-05
42,서울특별시 강남구 논현동,32-9,32,9,베르사이유II,월세,95.54,202605,21,"40,000",250,1,2003,도산대로24길 31,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
43,인천광역시 영종구 운남동,319-6,319,6,하늘운빌리지B동,전세,90.63,202605,21,"5,000",0,4,2008,운중로48번길 66-27,202605~202805,갱신,사용,"5,000",0.0,연립다세대,연립다세대,2026-05
44,제주특별자치도 서귀포시 대정읍 보성리,2549,2549,0,보성리라임힐,월세,98.3953,202605,21,"2,000",300,2,2019,영어도시로 77-6,202607~202707,신규,-,,,연립다세대,연립다세대,2026-05
45,경기도 하남시 신장동,427-230,427,230,(427-230),월세,97.22,202605,21,"30,000",30,4,2002,신장1로21번길 70,202607~202807,신규,-,,,연립다세대,연립다세대,2026-05
46,경기도 남양주시 와부읍 도곡리,1074,1074,0,텔레오,월세,94.79,202605,21,"3,000",180,5,2025,덕소로284번길 20-1,202607~202707,신규,-,,,연립다세대,연립다세대,2026-05
47,경기도 고양시 덕양구 원흥동,375-12,375,12,HUNHOUSE,월세,99.84,202605,21,"31,400",8,2,2023,서오릉로716번길 64-11,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
48,서울특별시 강남구 역삼동,836-42,836,42,채선빌딩,전세,92.66,202605,21,"10,500",0,5,2021,도곡로7길 17-8,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
49,경기도 파주시 와동동,1411,1411,0,해솔마을8단지운정아이파크더테라스,전세,85.6885,202605,20,"43,500",0,2,2022,가온로 200,202608~202808,신규,-,,,연립다세대,연립다세대,2026-05
50,제주특별자치도 제주시 한경면 청수리,3391,3391,0,제주국제학교아이비스127,월세,99.5746,202605,20,"2,000",142,2,2023,연명로 145,202607~202707,신규,-,,,연립다세대,연립다세대,2026-05
51,전북특별자치도 전주시 덕진구 송천동1가,464-10,464,10,송천동1가464-10공동주택(유한회사리안),전세,96.9511,202605,20,"22,000",0,5,2022,송천3길 15,202607~202807,신규,-,,,연립다세대,연립다세대,2026-05
52,서울특별시 서초구 양재동,82-12,82,12,고은빌리지,전세,88.01,202605,20,"43,000",0,5,2002,논현로27길 56,202607~202807,신규,-,,,연립다세대,연립다세대,2026-05
53,서울특별시 서초구 잠원동,49-12,49,12,리버빌라,월세,87.12,202605,20,"55,000",20,2,1997,잠원로 213-26,202605~202805,갱신,-,"43,000",0.0,연립다세대,연립다세대,2026-05
54,서울특별시 서초구 양재동,82-12,82,12,고은빌리지,전세,88.01,202605,20,"43,000",0,5,2002,논현로27길 56,202607~202807,신규,-,,,연립다세대,연립다세대,2026-05
