NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
1,충청북도 청주시 흥덕구 복대동,3379,3379,0,신영지웰시티1차,전세,99.126,202608,21,"54,000",0,25,2010,대농로 17,202610~202810,신규,-,,,아파트,아파트,2026-08
2,경기도 화성시 동탄구 신동,740,740,0,동탄파크릭스A51-1BL아파트,월세,97.9688,202608,21,"20,000",60,1,2025,동탄신리천로5길 130,202610~202810,신규,-,,,아파트,아파트,2026-08
3,세종특별자치시  도담동,855,855,0,도램마을9단지(제일풍경채),전세,95.6231,202608,21,"39,000",0,20,2015,보람로 15,202611~202811,신규,-,,,아파트,아파트,2026-08
4,인천광역시 연수구 송도동,190-2,190,2,글로벌캠퍼스푸르지오,월세,101.25,202608,21,"5,000",230,8,2013,송도문화로28번길 28,202610~202802,신규,-,,,아파트,아파트,2026-08
5,인천광역시 영종구 중산동,1881-2,1881,2,스카이시티자이,월세,98.9437,202608,21,"13,000",110,11,2018,하늘별빛로 111,202609~202809,신규,-,,,아파트,아파트,2026-08
6,서울특별시 강서구 등촌동,694,694,0,대림,전세,89.975,202608,21,"63,000",0,14,1995,공항대로39길 100,202608~202708,갱신,-,"63,000",0.0,아파트,아파트,2026-08
7,서울특별시 중랑구 신내동,816,816,0,신내우디안1단지,전세,101.65,202608,21,"25,454",0,3,2014,신내역로1길 85,202609~202808,갱신,-,"24,242",0.0,아파트,아파트,2026-08
8,경상남도 진주시 충무공동,90,90,0,진주혁신도시중흥에스-클래스더프라임,전세,97.7268,202608,21,"48,000",0,13,2019,소호로19번길 11,202608~202808,신규,-,,,아파트,아파트,2026-08
9,경기도 화성시 동탄구 산척동,745,745,0,레이크힐 반도유보라 아이비파크 10.2,전세,96.7859,202608,21,"45,000",0,4,2018,동탄순환대로10길 88,202609~202809,신규,-,,,아파트,아파트,2026-08
10,경기도 고양시 일산서구 탄현동,1476,1476,0,탄현마을(동성),전세,101.85,202608,21,"28,500",0,15,1994,일현로 128,202611~202811,신규,-,,,아파트,아파트,2026-08
