NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
1,대전광역시 서구 관저동,990,990,0,대자연마을,월세,99.99,202607,31,"4,000",100,1,1998,관저북로 52,202610~202810,신규,-,,,아파트,아파트,2026-07
2,서울특별시 용산구 원효로4가,118-16,118,16,산호,전세,86.12,202607,31,"33,000",0,4,1977,원효로 66,202609~202809,신규,-,,,아파트,아파트,2026-07
3,경기도 화성시 동탄구 청계동,520,520,0,동탄역 시범한화 꿈에그린 프레스티지,전세,101.4,202607,31,"75,000",0,21,2015,동탄대로시범길 20,202610~202810,신규,-,,,아파트,아파트,2026-07
4,경기도 고양시 일산서구 주엽동,126,126,0,문촌마을19단지신우,전세,99.69,202607,31,"47,000",0,6,1994,킨텍스로 284,202610~202810,신규,-,,,아파트,아파트,2026-07
5,경기도 고양시 일산서구 덕이동,1535,1535,0,하이파크시티일산파밀리에4단지,월세,101.93,202607,31,"3,000",150,5,2011,하이파크3로 61,202608~202702,신규,-,,,아파트,아파트,2026-07
6,경기도 화성시 동탄구 장지동,1010,1010,0,동탄2아이파크1단지,월세,96.9237,202607,31,"4,000",160,15,2019,동탄대로4길 123,202608~202708,신규,-,,,아파트,아파트,2026-07
7,대구광역시 북구 침산동,269-10,269,10,명성푸르지오,월세,100.72,202607,31,"2,500",115,3,2006,침산로 153,202609~202809,신규,-,,,아파트,아파트,2026-07
8,경기도 화성시 동탄구 목동,494,494,0,호반베르디움센트럴포레,전세,98.1497,202607,31,"55,000",0,6,2017,동탄신리천로1길 74,202610~202810,신규,-,,,아파트,아파트,2026-07
9,경기도 안산시 단원구 초지동,741,741,0,서해그랑블,전세,100.994,202607,31,"33,000",0,3,2004,초지1로 78,202611~202811,신규,-,,,아파트,아파트,2026-07
10,경기도 성남시 분당구 수내동,24,24,0,양지마을(5단지)(한양515-529),전세,101.93,202607,31,"81,900",0,8,1992,내정로 151,202608~202808,갱신,사용,"78,000",0.0,아파트,아파트,2026-07
11,경기도 성남시 수정구 창곡동,519,519,0,위례센트럴푸르지오,월세,94.9942,202607,31,"73,000",20,3,2016,위례순환로 211,202608~202808,갱신,사용,"70,000",20.0,아파트,아파트,2026-07
12,인천광역시 서해구 청라동,164-1,164,1,청라 엑슬루타워,전세,92.43,202607,31,"33,000",0,48,2011,중봉대로586번길 22,202609~202809,갱신,사용,"32,000",0.0,아파트,아파트,2026-07
13,충청남도 당진시 송악읍 가학리,690,690,0,당진송악e편한세상,전세,99.888,202607,31,"18,000",0,5,2010,반촌로 103,202608~202808,신규,-,,,아파트,아파트,2026-07
14,충청북도 청주시 흥덕구 복대동,3379,3379,0,신영지웰시티1차,전세,99.126,202607,31,"60,000",0,21,2010,대농로 17,202610~202810,신규,-,,,아파트,아파트,2026-07
15,경기도 구리시 교문동,808,808,0,덕현,월세,101.86,202607,31,"30,000",115,16,1993,장자대로37번길 55,202610~202810,신규,-,,,아파트,아파트,2026-07
16,경기도 수원시 장안구 정자동,879-1,879,1,백설마을성지동양고속아파트,전세,99.89,202607,31,"47,000",0,5,1999,정자천로133번길 26,202610~202810,신규,-,,,아파트,아파트,2026-07
17,인천광역시 검단구 백석동,가-,0,0,검암역로열파크씨티푸르지오2단지,월세,101.9582,202607,31,"5,000",215,20,2023,한들로 73,202608~202708,신규,-,,,아파트,아파트,2026-07
18,경상북도 구미시 고아읍 원호리,834,834,0,구미푸르지오센트럴파크,전세,98.9334,202607,31,"30,450",0,22,2024,신원대로 7-60,202607~202807,갱신,사용,"29,000",0.0,아파트,아파트,2026-07
19,경기도 용인시 기흥구 신갈동,165,165,0,도현마을현대,전세,99.793,202607,31,"55,000",0,1,2001,구갈로 115-16,202611~202812,신규,-,,,아파트,아파트,2026-07
20,경기도 하남시 풍산동,486,486,0,미사강변더샵센트럴포레,전세,93.362,202607,31,"84,000",0,14,2017,미사강변대로 55,202610~202810,신규,-,,,아파트,아파트,2026-07
21,경기도 고양시 일산동구 마두동,796,796,0,강촌마을(코오롱),전세,101.94,202607,31,"48,000",0,9,1993,강석로 152,202608~202808,신규,-,,,아파트,아파트,2026-07
22,경기도 고양시 일산동구 중산동,1566-2,1566,2,중산마을9단지두산한성,전세,101.82,202607,31,"28,000",0,8,1996,탄중로 416,202609~202809,신규,-,,,아파트,아파트,2026-07
23,세종특별자치시  아름동,1276,1276,0,범지기마을12단지(중흥S-에코타운),전세,96.252,202607,31,"30,500",0,5,2015,보듬3로 74,202608~202808,신규,-,,,아파트,아파트,2026-07
