NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
36,경기도 수원시 영통구 원천동,5**,12m미만,100.0,월세,202606,29,"3,000",150,2014.0,광교중앙로37번길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
37,충청북도 진천군 진천읍 벽암리,3*,8m미만,99.88,월세,202606,29,500,50,,포석안길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
38,경기도 광명시 소하동,1***,12m미만,87.07,전세,202606,29,"37,000",0,2013.0,한내로13번길,202607~202807,갱신,-,"40,000",0.0,단독다가구,단독다가구,2026-06
39,경기도 김포시 마산동,6**,12m미만,90.0,월세,202606,29,"3,000",115,2021.0,영터길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
40,경기도 평택시 동삭동,7**,12m미만,90.0,월세,202606,29,500,110,2015.0,서재4길,202607~202707,신규,-,,,단독다가구,단독다가구,2026-06
41,서울특별시 강북구 우이동,7*,12m미만,99.14,월세,202606,29,"5,000",110,1997.0,삼양로139가길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
42,부산광역시 서구 서대신동2가,1**,8m미만,87.0,전세,202606,29,"11,000",0,1933.0,대영로45번길,202607~202807,갱신,-,"6,000",50.0,단독다가구,단독다가구,2026-06
43,제주특별자치도 제주시 화북일동,1***,12m미만,95.76,월세,202606,29,500,83,2015.0,진남로8길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
44,경기도 광주시 초월읍 늑현리,9*,8m미만,98.01,월세,202606,29,"3,000",100,2003.0,산수로,202607~202806,신규,-,,,단독다가구,단독다가구,2026-06
45,대구광역시 동구 신서동,1***,12m미만,100.0,월세,202606,29,"1,000",70,2014.0,신서로22길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
46,경상남도 사천시 사남면 화전리,1**,8m미만,85.95,월세,202606,29,500,40,,구룡길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
47,경기도 의정부시 민락동,7**,25m미만,99.13,월세,202606,29,"14,300",10,2003.0,승지로,202608~202808,갱신,-,"14,000",0.0,단독다가구,단독다가구,2026-06
48,경상남도 창원시 의창구 동읍 화양리,6**,8m미만,97.3,월세,202606,29,"1,000",65,2014.0,동읍로359번길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
49,경기도 용인시 수지구 신봉동,4**,8m미만,88.49,월세,202606,29,"21,000",5,2018.0,신봉1로248번길,202608~202808,갱신,사용,"20,500",3.0,단독다가구,단독다가구,2026-06
50,경기도 평택시 이충동,4**,8m미만,90.0,월세,202606,29,500,90,2019.0,둥구재길,202606~202706,신규,-,,,단독다가구,단독다가구,2026-06
51,서울특별시 송파구 송파동,1**,8m미만,89.91,월세,202606,29,"3,000",60,,가락로21길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
52,충청남도 천안시 서북구 성정동,6**,12m미만,98.94,월세,202606,29,500,60,1989.0,서부8길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
53,경상남도 사천시 사남면 죽천리,7*,12m미만,99.42,월세,202606,29,"2,000",50,1997.0,상죽길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
54,부산광역시 사상구 주례동,5*,8m미만,85.61,월세,202606,29,"4,000",45,1977.0,진사로28번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
55,경상북도 포항시 남구 효자동,2**,8m미만,99.0,월세,202606,29,"2,000",75,2012.0,효자동길10번길,202607~202707,신규,-,,,단독다가구,단독다가구,2026-06
56,경기도 부천시 소사구 송내동,6**,12m미만,95.8,전세,202606,29,"25,000",0,2004.0,송내대로39번길,202610~202810,신규,-,,,단독다가구,단독다가구,2026-06
57,부산광역시 서구 서대신동2가,1**,8m미만,87.0,전세,202606,29,"11,000",0,1933.0,대영로45번길,202607~202807,갱신,-,"6,000",50.0,단독다가구,단독다가구,2026-06
58,경기도 부천시 원미구 중동,1***,12m미만,98.8,전세,202606,29,"21,000",0,1995.0,부흥로296번길,202609~202809,신규,-,,,단독다가구,단독다가구,2026-06
59,경기도 안산시 상록구 본오동,8**,8m미만,90.0,전세,202606,29,"15,000",0,1995.0,충장로3안길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-06
60,서울특별시 광진구 중곡동,7*,8m미만,97.64,월세,202606,28,"5,500",175,2026.0,긴고랑로46길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
61,경기도 고양시 일산서구 대화동,2***,12m미만,90.68,전세,202606,28,"24,000",0,1999.0,성저로46번길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-06
62,대전광역시 중구 유천동,2**,25m이상,99.0,전세,202606,28,"2,000",0,2021.0,유천로38번길,202607~202802,신규,-,,,단독다가구,단독다가구,2026-06
63,대전광역시 서구 관저동,1***,12m미만,86.9,전세,202606,28,"10,000",0,2018.0,관저남로12번길,202608~202808,갱신,-,"10,000",100.0,단독다가구,단독다가구,2026-06
