NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
1,서울특별시 강남구 대치동,984-9,984,9,경일빌라비동,전세,86.05,202608,21,"44,100",0,2,1987,도곡로99길 8,202610~202810,신규,-,,,연립다세대,연립다세대,2026-08
2,경기도 양주시 남면 상수리,375-5,375,5,너른마당빌리지,월세,87.59,202608,20,500,55,2,2004,감악산로52번길 99-3,202608~202708,신규,-,,,연립다세대,연립다세대,2026-08
3,경기도 광주시 목현동,40-8,40,8,하나빌라,월세,94.12,202608,20,"1,000",100,3,1995,이배재로 216-8,202609~202810,신규,-,,,연립다세대,연립다세대,2026-08
4,서울특별시 강남구 삼성동,94-3,94,3,효성빌라(A동),전세,99.45,202608,20,"73,500",0,2,1990,영동대로118길 38,202609~202809,갱신,사용,"70,000",0.0,연립다세대,연립다세대,2026-08
5,경기도 광주시 신현동,398-75,398,75,더율,전세,100.01,202608,19,"34,500",0,3,2022,문형산길47번길 78-3,202610~202810,신규,-,,,연립다세대,연립다세대,2026-08
6,경기도 안양시 만안구 박달동,154-4,154,4,"아카데미테마타운(5,6동)",월세,96.9,202608,18,"5,000",70,-1,1993,박달로 428,202610~202810,신규,-,,,연립다세대,연립다세대,2026-08
7,서울특별시 송파구 석촌동,17-20,17,20,(17-20),전세,87.7,202608,17,"47,400",0,4,2005,삼학사로14길 23-1,202610~202810,갱신,-,"45,150",0.0,연립다세대,연립다세대,2026-08
8,경기도 화성시 만세구 향남읍 장짐리,284-15,284,15,하연마을(103동),월세,96.42,202608,17,"9,000",40,4,2006,푸른들판로257번길 20-3,202608~202808,신규,-,,,연립다세대,연립다세대,2026-08
9,서울특별시 용산구 서계동,251-40,251,40,(251-40),전세,90.47,202608,17,"12,000",0,3,2003,효창원로104라길 9-5,202608~202808,갱신,-,"10,000",0.0,연립다세대,연립다세대,2026-08
10,부산광역시 부산진구 당감동,480-13,480,13,무궁화122동,월세,93.911,202608,15,"1,500",63,4,1985,당감로17번길 90,202609~202809,신규,-,,,연립다세대,연립다세대,2026-08
11,제주특별자치도 제주시 조천읍 신촌리,4009,4009,0,트라움제주더힐,월세,89.6114,202608,15,"3,000",125,3,2023,신조로 74,202608~202808,신규,-,,,연립다세대,연립다세대,2026-08
12,서울특별시 성북구 보문동2가,34,34,0,(34-0),월세,93.36,202608,15,"9,000",45,3,2002,지봉로23길 38,202608~202808,갱신,-,"9,000",45.0,연립다세대,연립다세대,2026-08
13,경기도 남양주시 퇴계원읍 퇴계원리,294-3,294,3,화이트빌,전세,96.2,202608,15,"18,000",0,1,2002,퇴계원로26번길 7-5,202610~202810,갱신,-,"17,000",0.0,연립다세대,연립다세대,2026-08
14,서울특별시 송파구 석촌동,259-10,259,10,승원아트빌,월세,96.08,202608,15,"44,000",7,5,2003,가락로11길 9-8,202608~202808,갱신,-,"42,000",7.0,연립다세대,연립다세대,2026-08
15,서울특별시 구로구 온수동,45-31,45,31,대흥빌라,전세,90.24,202608,13,"15,000",0,3,1985,경인로3길 97,202608~202808,갱신,사용,"15,000",0.0,연립다세대,연립다세대,2026-08
16,서울특별시 마포구 연남동,246-24,246,24,연남동엠티빌,전세,90.24,202608,12,"51,000",0,4,2003,성미산로23안길 6,202610~202810,갱신,사용,"49,000",0.0,연립다세대,연립다세대,2026-08
17,서울특별시 동작구 사당동,141-109,141,109,삼성(141-109),월세,93.3,202608,12,"15,000",90,4,1993,사당로29다길 20,202608~202808,갱신,사용,"15,000",90.0,연립다세대,연립다세대,2026-08
18,경기도 화성시 동탄구 송동,696,696,0,동탄레이크자이더테라스,월세,98.7637,202608,12,"30,000",62,1,2018,동탄순환대로1길 64,202610~202810,갱신,-,"30,000",57.0,연립다세대,연립다세대,2026-08
19,경기도 성남시 중원구 상대원동,2020,2020,0,목화맨션,전세,91.1,202608,12,"24,000",0,3,2001,희망로318번길 5,202610~202810,신규,-,,,연립다세대,연립다세대,2026-08
