NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
1,경상남도 진주시 충무공동,5*,12m미만,85.8,전세,202608,21,"25,000",0,2021.0,범골로37번길,202609~202809,신규,-,,,단독다가구,단독다가구,2026-08
2,전북특별자치도 전주시 덕진구 만성동,1***,12m미만,98.14,전세,202608,21,"10,000",0,2018.0,월방4길,202609~202809,갱신,-,"10,000",0.0,단독다가구,단독다가구,2026-08
3,서울특별시 송파구 거여동,5**,8m미만,91.42,월세,202608,21,"3,616",8,1992.0,오금로66길,202609~202808,갱신,-,"3,862",12.0,단독다가구,단독다가구,2026-08
4,부산광역시 금정구 서동,2**,8m미만,99.7,월세,202608,21,"1,000",30,1992.0,서동로176번길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-08
5,경기도 시흥시 장현동,6**,12m미만,92.2,월세,202608,21,"11,000",110,2021.0,장현서2길,202610~202810,신규,-,,,단독다가구,단독다가구,2026-08
6,서울특별시 동대문구 용두동,3*,8m미만,93.48,월세,202608,21,"2,000",60,1985.0,천호대로45나길,202608~202808,갱신,-,"2,000",50.0,단독다가구,단독다가구,2026-08
7,경기도 성남시 수정구 신촌동,1**,12m미만,91.56,전세,202608,21,"35,000",0,2006.0,신촌남로,202609~202809,신규,-,,,단독다가구,단독다가구,2026-08
8,충청남도 보령시 청라면 소양리,7**,8m미만,88.32,월세,202608,20,"1,000",80,2025.0,원모루길,202608~202708,신규,-,,,단독다가구,단독다가구,2026-08
9,제주특별자치도 제주시 애월읍 고성리,9**,8m미만,99.08,월세,202608,20,"1,000",117,2016.0,고성남4길,202608~202708,신규,-,,,단독다가구,단독다가구,2026-08
10,서울특별시 관악구 신림동,2**,8m미만,100.0,월세,202608,20,"3,000",150,2002.0,호암로20길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-08
11,강원특별자치도 강릉시 포남동,1***,12m미만,92.47,월세,202608,20,"2,000",70,2003.0,경강로2301번길,202609~202809,신규,-,,,단독다가구,단독다가구,2026-08
