NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
1,경기도 의왕시 포일동,685,685,0,인덕원푸르지오엘센트로,전세,99.8536,202604,30,"86,000",0,20,2019,안양판교로 100,202607~202807,신규,-,,,아파트,아파트,2026-04
2,경기도 용인시 수지구 상현동,1113,1113,0,광교더힐,전세,101.72,202604,30,"90,000",0,18,2014,광교마을로 11,202607~202801,신규,-,,,아파트,아파트,2026-04
3,경기도 하남시 풍산동,471,471,0,미사강변센트럴풍경채,전세,97.2839,202604,30,"73,500",0,26,2019,미사강변서로 65,202606~202806,갱신,사용,"70,000",0.0,아파트,아파트,2026-04
4,서울특별시 송파구 잠실동,101-1,101,1,우성아파트,전세,96.65,202604,30,"64,000",0,8,1981,올림픽로4길 42,202606~202806,신규,-,,,아파트,아파트,2026-04
5,경기도 고양시 일산동구 식사동,1510,1510,0,위시티블루밍3단지,전세,101.9,202604,30,"45,000",0,23,2010,위시티4로 79,202604~202804,갱신,-,"50,000",0.0,아파트,아파트,2026-04
6,경기도 의왕시 포일동,685,685,0,인덕원푸르지오엘센트로,전세,99.8536,202604,30,"86,000",0,20,2019,안양판교로 100,-,-,-,,,아파트,아파트,2026-04
7,경기도 하남시 창우동,520,520,0,은행한신,전세,102.0,202604,30,"60,000",0,11,1994,대청로116번길 30,202608~202808,신규,-,,,아파트,아파트,2026-04
8,경기도 부천시 소사구 옥길동,780-1,780,1,옥길호반베르디움,전세,97.9853,202604,30,"61,000",0,3,2017,범안로 220,202608~202808,갱신,사용,"59,000",0.0,아파트,아파트,2026-04
9,서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,월세,99.967,202604,30,"100,000",280,29,2019,선릉로 8,202607~202807,신규,-,,,아파트,아파트,2026-04
10,경기도 부천시 원미구 중동,1182,1182,0,그린타운(삼성),전세,101.7,202604,30,"47,000",0,2,1993,중동로 204,202605~202805,갱신,사용,"45,000",0.0,아파트,아파트,2026-04
11,대구광역시 중구 동산동,916,916,0,청라언덕역서한포레스트,전세,99.8754,202604,30,"41,000",0,4,2022,달구벌대로 2021,202606~202806,신규,-,,,아파트,아파트,2026-04
12,경기도 안성시 공도읍 만정리,880,880,0,디자인시티블루밍,전세,101.6545,202604,30,"22,000",0,16,2010,공도로 142,202606~202806,신규,-,,,아파트,아파트,2026-04
13,대구광역시 북구 고성동1가,265,265,0,힐스테이트대구역오페라,월세,101.8094,202604,30,"2,000",135,9,2024,칠성남로 30,202606~202806,신규,-,,,아파트,아파트,2026-04
14,경기도 화성시 동탄구 산척동,718,718,0,동탄 더 레이크 팰리스,전세,88.0279,202604,30,"62,000",0,5,2018,동탄대로8길 35,202605~202705,신규,-,,,아파트,아파트,2026-04
15,대구광역시 수성구 수성동2가,1-3,1,3,롬바드,월세,97.9396,202604,30,"10,000",70,13,2011,들안로 325,202605~202805,신규,-,,,아파트,아파트,2026-04
16,충청남도 아산시 배방읍 세교리,1600,1600,0,힐스테이트자이아산센텀,월세,96.0696,202604,30,"15,000",140,3,2026,동방로 169,202604~202804,신규,-,,,아파트,아파트,2026-04
17,대구광역시 달서구 대곡동,1123,1123,0,수목원제일풍경채,월세,99.94,202604,30,"2,000",110,3,2018,갈밭남로 12,202605~202805,신규,-,,,아파트,아파트,2026-04
18,인천광역시 영종구 중산동,1881-2,1881,2,스카이시티자이,월세,91.8393,202604,30,"5,000",130,10,2018,하늘별빛로 111,202606~202806,신규,-,,,아파트,아파트,2026-04
19,서울특별시 영등포구 당산동5가,42,42,0,당산삼성래미안4차,전세,97.27,202604,30,"38,000",0,18,2003,당산로 214,202605~202804,갱신,-,"38,000",0.0,아파트,아파트,2026-04
