품목코드,품목명,Tier,가중치,pred,보정치,pred_corr
A011010,쌀,A,4.2,109.78028980924799,-1.0249985823909782,110.39528895868257
A011020,현미,A,0.4,131.50890279954055,-1.2474867356675456,132.2573948409411
A011030,찹쌀,A,0.5,148.01199994380477,0.0,148.01199994380477
A011040,보리쌀,A,0.2,188.87414662640072,0.0,188.87414662640072
A011050,콩,A,0.5,108.46121627333726,0.0,108.46121627333726
A011060,땅콩,A,0.1,122.58287337616783,0.0,122.58287337616783
A011070,혼식곡,A,0.4,120.56966783780011,0.0,120.56966783780011
A011080,밀가루,A,0.1,135.73825658806163,-0.2430530916656437,135.88408844306102
A011090,국수,A,0.7,145.7403930556014,0.0,145.7403930556014
A011100,라면,A,2.4,124.00139936409822,0.0,124.00139936409822
A011110,당면,A,0.2,137.77023035531727,0.0,137.77023035531727
A011120,두부,A,1.2,111.07943052145214,0.0,111.07943052145214
A011130,시리얼,A,0.4,138.82563135689566,0.0,138.82563135689566
A011140,부침가루,A,0.6,144.299144898098,0.0,144.299144898098
A011150,케이크,A,1.6,131.56,0.0,131.56
A011160,빵,A,6.8,138.55,0.0,138.55
A011170,떡,A,1.9,125.29249667611103,0.0,125.29249667611103
A011180,파스타면,A,0.1,131.94760946162492,0.0,131.94760946162492
A012010,국산쇠고기,A,8.6,104.68001628553522,0.0,104.68001628553522
A012020,수입쇠고기,A,3.1,132.66625870449892,0.0,132.66625870449892
A012030,돼지고기,A,9.8,130.43462097126763,0.0,130.43462097126763
A012040,닭고기,A,1.5,132.91665788775893,-0.6308411957812202,133.29516260522766
A012050,소시지,A,2.0,119.52538470867684,0.0,119.52538470867684
A012060,햄및베이컨,A,2.7,123.24845171131278,0.0,123.24845171131278
A012070,기타육류가공품,A,0.9,133.581918677995,0.0,133.581918677995
A013110,마른멸치,A,0.5,111.18692786062495,0.0,111.18692786062495
A013120,마른오징어,A,0.2,127.30484405287653,-0.33149107881032097,127.50373870016273
A013140,오징어채,A,0.2,153.67302698166216,0.0,153.67302698166216
A013150,북어채,A,0.4,119.38518677858575,0.0,119.38518677858575
A013160,어묵,A,0.8,131.44189874226458,0.0,131.44189874226458
A013170,맛살,A,0.2,143.7430260795112,-1.4132856914802687,144.59099749439935
A013180,수산물통조림,A,0.7,123.63744325067069,0.0,123.63744325067069
A013190,젓갈,A,0.7,114.3953598918531,-1.1346207301002877,115.07613232991328
A014010,우유,A,3.4,124.35303887460304,0.13790732816973872,124.2702944777012
A014020,분유,A,0.5,112.411488754751,0.0,112.411488754751
A014030,치즈,A,0.7,142.4814903624092,0.0,142.4814903624092
A014040,발효유,A,2.0,129.02672278832023,0.0,129.02672278832023
A014050,달걀,A,3.0,144.9070399555678,0.0,144.9070399555678
A015010,참기름,A,0.6,152.01077129378393,1.0780786448204698,151.36392410689166
A015020,식용유,A,0.8,159.6400853680268,0.0,159.6400853680268
A016190,아몬드,A,0.2,107.36688132898166,0.0,107.36688132898166
A016200,과일가공품,A,1.0,142.40343528340588,0.0,142.40343528340588
A017250,고사리,A,0.1,122.998201067986,0.1077380069026906,122.93355826384439
A017270,단무지,A,0.2,119.91501199808717,-1.5861217902936222,120.86668507226334
A017280,김,A,0.5,151.89990406263718,0.0,151.89990406263718
A017290,맛김,A,0.5,130.6261087033646,0.0,130.6261087033646
A017300,미역,A,0.3,131.77413570254836,0.0,131.77413570254836
A018010,초콜릿,A,0.5,165.1101593376495,0.0,165.1101593376495
A018020,사탕,A,0.8,115.81954352632755,0.0,115.81954352632755
A018030,껌,A,0.1,116.5306818496568,0.0,116.5306818496568
A018040,아이스크림,A,2.6,128.59341694976206,0.0,128.59341694976206
A018050,비스킷,A,1.9,133.46466494305122,0.0,133.46466494305122
A018060,스낵과자,A,2.9,118.97306651370417,-1.0094756252163535,119.57875188883398
A018070,파이,A,0.6,116.27710103910896,0.0,116.27710103910896
A018080,설탕,A,0.3,148.14032232341637,0.0,148.14032232341637
A018090,잼,A,0.1,171.81388280488792,0.0,171.81388280488792
A018100,꿀,A,0.4,116.44917521715603,0.18538157641902112,116.33794627130462
A018110,물엿,A,0.2,138.95124931772952,0.0,138.95124931772952
A019010,고춧가루,A,1.6,114.49,0.0,114.49
A019020,참깨,A,0.6,134.39007106710577,0.25418499259468774,134.23756007154896
A019040,소금,A,0.2,176.6253908374438,0.0,176.6253908374438
A019050,간장,A,0.4,130.06103288091077,0.0,130.06103288091077
A019060,된장,A,0.4,130.71910647877894,-0.612918329450776,131.0868574764494
A019070,양념소스,A,0.5,135.65178666250384,-4.473936668419204,138.33614866355535
A019080,고추장,A,0.3,133.6188128600659,-2.409172827046542,135.06431655629382
A019090,카레,A,0.2,131.7223135027366,0.0,131.7223135027366
A019100,식초,A,0.1,147.6497554672833,0.0,147.6497554672833
A019110,드레싱,A,0.2,161.5725659507613,0.0,161.5725659507613
A019120,혼합조미료,A,0.3,134.83493569089404,0.0,134.83493569089404
A019130,스프,A,0.3,129.89713480927392,0.0,129.89713480927392
