품목명,Tier,모델,가중치,평균오차%,표준편차%,방향일치개월
탄산음료,A,비계절ETS,1.6,0.08785772415024763,2.4576809582800574,4
기타음료,A,비계절ETS,0.6,0.1283980120444349,1.4105479573903592,6
소주,A,비계절ETS,1.7,0.014766858504887294,0.11151465869590241,8
과실주,A,비계절ETS,0.8,-0.013692276682702417,2.44634705116556,5
맥주,A,비계절ETS,3.0,0.10853913771430508,0.1330856560312395,10
막걸리,A,비계절ETS,0.5,-0.05587404906464383,0.15026976595619926,8
양주,A,비계절ETS,0.4,-0.7738649649639299,3.7504351889887686,7
약주,A,비계절ETS,0.1,-0.030141856715801742,0.07908379039137309,9
남자외의,A,비계절ETS,4.4,0.16361436975880775,0.129881860083445,11
남자상의,A,비계절ETS,1.5,-0.02202426113851105,0.47831694063770336,1
남자하의,A,비계절ETS,1.3,0.17722634096409384,0.016786621873092617,12
남자내의,A,비계절ETS,0.7,-0.05302424611780126,0.2042175752480891,5
여자외의,A,비계절ETS,6.2,-0.21429014147580963,1.086837199536786,1
원피스,A,비계절ETS,1.8,-0.30437576611981915,1.5987071966837256,3
여자상의,A,비계절ETS,1.5,-0.15919235354690808,0.6663674383999486,2
여자하의,A,비계절ETS,2.4,-0.20159801430944035,1.077315306521338,1
여자내의,A,비계절ETS,1.8,-0.00694727792266384,0.17768810539366853,4
점퍼,A,비계절ETS,3.3,-0.41815113018516786,1.4141496500480577,2
티셔츠,A,비계절ETS,4.6,0.1525320630243196,0.012046014805416597,12
스웨터,A,비계절ETS,0.6,0.12932474511356964,0.2139105304303345,12
청바지,A,비계절ETS,1.6,-0.26355425983382924,0.924256949418982,2
운동복,A,비계절ETS,2.3,-0.11617113071560782,0.7284802374724445,1
등산복,A,비계절ETS,0.5,-0.28468076790991803,0.9054757111999105,2
유아동복,A,비계절ETS,4.6,-0.06599211163024883,0.6723284251803534,2
양말,A,비계절ETS,0.9,-0.03463403700539227,0.14543059190138347,6
모자,A,비계절ETS,0.6,0.05279878276570125,0.0010003065468112374,12
장갑,A,비계절ETS,0.2,-0.22330571506624255,1.4489336060346134,2
의복수선료,A,비계절ETS,0.2,-0.27958944792192714,0.6193843211635964,9
세탁료,A,비계절ETS,1.1,-0.3762069018401492,0.9736042512474957,6
아동화,A,비계절ETS,0.9,0.16239795879473984,0.0024326389199907407,12
구두,A,비계절ETS,2.0,0.8135929204496427,0.34048662442851146,12
운동화,A,비계절ETS,4.4,-0.2854807703897914,0.8679860503477883,10
실내화,A,비계절ETS,0.2,0.013782007482064798,0.1797777159554117,7
전세,A,비계절ETS,54.2,-0.01498186113785585,0.042059537613356394,8
월세,A,비계절ETS,44.9,-0.014320483812900789,0.02693826951031668,7
