월,분류,방식,예측,실제,오차,오차%,채택,가중치
2024-08,"04 주택, 수도, 전기 및 연료",탑다운,113.49779161758714,113.92,-0.4222083824128617,-0.3706183132135373,탑다운,171.6
2024-08,06 보건,탑다운,104.3272610391002,104.37,-0.0427389608998112,-0.0409494691001353,탑다운,84.0
2024-08,09 오락 및 문화,탑다운,109.74962378155558,109.35,0.3996237815555901,0.3654538468729676,탑다운,62.9
2024-08,01 식료품 및 비주류음료,바텀업,122.93763378877397,122.99,-0.0523662112260296,-0.0425776170632,바텀업,142.0
2024-08,02 주류 및 담배,바텀업,104.5305780452634,104.59,-0.0594219547365924,-0.0568141837045534,바텀업,15.8
2024-08,03 의류 및 신발,바텀업,114.3796266701039,114.44,-0.0603733298960946,-0.0527554438099394,바텀업,49.6
2024-08,05 가정용품 및 가사 서비스,바텀업,115.72419894344247,115.35,0.3741989434424795,0.3244030719050537,바텀업,45.6
2024-08,07 교통,바텀업,116.31246719849456,116.17,0.1424671984945718,0.1226368240462871,바텀업,110.60000000000001
2024-08,08 통신,바텀업,101.20729408717143,101.32,-0.1127059128285594,-0.1112375768146066,바텀업,46.6
2024-08,10 교육,바텀업,106.63475226792248,106.41,0.2247522679224687,0.2112134836222805,바텀업,73.9
2024-08,11 음식 및 숙박,바텀업,121.55077266704755,121.65,-0.099227332952438,-0.0815678856986748,바텀업,144.7
2024-08,12 기타 상품 및 서비스,바텀업,119.89019024161058,119.23,0.6601902416105787,0.5537115169089816,바텀업,52.7
2024-09,"04 주택, 수도, 전기 및 연료",탑다운,115.44734112098176,115.36,0.0873411209817476,0.0757117900327215,탑다운,171.6
2024-09,06 보건,탑다운,104.38786245463233,104.5,-0.1121375453676734,-0.1073086558542329,탑다운,84.0
2024-09,09 오락 및 문화,탑다운,108.79003254903274,108.86,-0.0699674509672547,-0.0642728743039268,탑다운,62.9
2024-09,01 식료품 및 비주류음료,바텀업,123.39184305120295,124.72,-1.3281569487970444,-1.064910959587111,바텀업,142.0
2024-09,02 주류 및 담배,바텀업,104.55695906324507,104.48,0.07695906324507,0.0736591340400747,바텀업,15.8
2024-09,03 의류 및 신발,바텀업,114.388007702426,114.44,-0.051992297574003,-0.0454319272754308,바텀업,49.6
2024-09,05 가정용품 및 가사 서비스,바텀업,115.72088049272249,114.95,0.7708804927224691,0.6706224382100644,바텀업,45.6
2024-09,07 교통,바텀업,114.3071139783424,113.9,0.4071139783423803,0.3574310608800529,바텀업,110.60000000000001
2024-09,08 통신,바텀업,101.21175509122445,101.32,-0.1082449087755605,-0.1068346908562579,바텀업,46.6
2024-09,10 교육,바텀업,106.8090409846623,106.51,0.2990409846622981,0.2807632942092743,바텀업,73.9
2024-09,11 음식 및 숙박,바텀업,121.5406922110895,121.02,0.5206922110895107,0.4302530251937784,바텀업,144.7
