품목코드,품목명,Tier,가중치,pred,보정치,pred_corr
A011010,쌀,A,4.2,124.29585719156431,0.0,124.29585719156431
A011020,현미,A,0.4,135.65432918298092,0.0,135.65432918298092
A011030,찹쌀,A,0.5,146.81000012881157,0.0,146.81000012881157
A011040,보리쌀,A,0.2,201.08727804639284,0.0,201.08727804639284
A011050,콩,A,0.5,109.18794781080103,0.0,109.18794781080103
A011060,땅콩,A,0.1,122.20996123620054,0.0,122.20996123620054
A011070,혼식곡,A,0.4,120.36484914855572,0.0,120.36484914855572
A011080,밀가루,A,0.1,135.28775724623236,0.0,135.28775724623236
A011090,국수,A,0.7,152.91692752316726,0.0,152.91692752316726
A011100,라면,A,2.4,126.9514702293882,0.0,126.9514702293882
A011110,당면,A,0.2,133.03918382798747,0.0,133.03918382798747
A011120,두부,A,1.2,110.1978735834263,0.0,110.1978735834263
A011130,시리얼,A,0.4,121.16008298350681,0.0,121.16008298350681
A011140,부침가루,A,0.6,140.68325953449659,0.0,140.68325953449659
A011150,케이크,A,1.6,131.92,0.26358412203480935,131.7618495267791
A011160,빵,A,6.8,138.68,0.4531033395570603,138.40813799626576
A011170,떡,A,1.9,126.69984634073688,0.0,126.69984634073688
A011180,파스타면,A,0.1,133.26123174495805,0.0,133.26123174495805
A012010,국산쇠고기,A,8.6,109.26122351022124,0.0,109.26122351022124
A012020,수입쇠고기,A,3.1,138.62409146107714,0.0,138.62409146107714
A012030,돼지고기,A,9.8,131.87848082272802,0.0,131.87848082272802
A012040,닭고기,A,1.5,130.92430029897926,0.0,130.92430029897926
A012050,소시지,A,2.0,120.5550029329156,0.0,120.5550029329156
A012060,햄및베이컨,A,2.7,123.8015273278233,0.0,123.8015273278233
A012070,기타육류가공품,A,0.9,127.7537707009594,0.0,127.7537707009594
A013110,마른멸치,A,0.5,110.86740467286803,0.0,110.86740467286803
A013120,마른오징어,A,0.2,123.8342289150227,0.0,123.8342289150227
A013140,오징어채,A,0.2,149.8757266765018,2.5441318234733075,148.34924758241783
A013150,북어채,A,0.4,120.34259935674774,0.0,120.34259935674774
A013160,어묵,A,0.8,128.83720386587214,0.0,128.83720386587214
A013170,맛살,A,0.2,140.0785299553152,0.0,140.0785299553152
A013180,수산물통조림,A,0.7,124.35244466905262,0.0,124.35244466905262
A013190,젓갈,A,0.7,115.45146977720427,-0.46792883019475556,115.73222707532112
A014010,우유,A,3.4,124.56498798563449,0.11806560350904978,124.49414862352906
A014020,분유,A,0.5,111.57188199142634,0.0,111.57188199142634
A014030,치즈,A,0.7,144.8211405062226,-0.9715282294649749,145.4040574439016
A014040,발효유,A,2.0,128.3931659661277,0.0,128.3931659661277
A014050,달걀,A,3.0,144.73505045713955,-1.1571219654032963,145.42932363638153
A015010,참기름,A,0.6,150.20348371042826,1.1908967659591714,149.48894565085277
A015020,식용유,A,0.8,159.804234179838,0.0,159.804234179838
A016190,아몬드,A,0.2,108.84433017658972,0.0,108.84433017658972
A016200,과일가공품,A,1.0,141.17167485408018,0.0,141.17167485408018
A017250,고사리,A,0.1,124.25862981348713,0.0,124.25862981348713
A017270,단무지,A,0.2,117.98393274152863,0.0,117.98393274152863
A017280,김,A,0.5,154.35460861334292,-0.5600044435458594,154.69061127947043
A017290,맛김,A,0.5,129.04255122210586,0.0,129.04255122210586
A017300,미역,A,0.3,131.97165081097984,0.0,131.97165081097984
A018010,초콜릿,A,0.5,164.33771725520404,0.0,164.33771725520404
A018020,사탕,A,0.8,115.52681153650242,0.0,115.52681153650242
A018030,껌,A,0.1,116.58754409737465,0.09622235121438649,116.52981068664602
A018040,아이스크림,A,2.6,128.30757706036042,0.0,128.30757706036042
A018050,비스킷,A,1.9,133.74360251768235,0.0,133.74360251768235
A018060,스낵과자,A,2.9,119.1741587589244,0.0,119.1741587589244
