품목코드,품목명,Tier,가중치,변동횟수,최다월,최다월횟수,집중도
C015010,양말,A,0.9,264,8,24,0.09090909090909091
C015020,모자,A,0.6,39,5,5,0.1282051282051282
C015030,장갑,A,0.2,278,4,26,0.09352517985611511
C016010,의복수선료,A,0.2,197,3,23,0.116751269035533
C016020,세탁료,A,1.1,248,4,25,0.10080645161290322
C021010,아동화,A,0.9,29,11,8,0.27586206896551724
C021020,구두,A,2.0,122,7,14,0.11475409836065574
C021030,운동화,A,4.4,167,7,17,0.10179640718562874
C021040,실내화,A,0.2,246,4,23,0.09349593495934959
D011010,전세,A,54.2,300,7,27,0.09
D011020,월세,A,44.9,285,2,26,0.0912280701754386
D031010,주택수선재료,A,3.4,269,3,25,0.09293680297397769
D031020,설비수리비,A,5.9,296,3,27,0.09121621621621621
D041010,상수도료,A,4.5,202,2,27,0.13366336633663367
D042010,공동주택관리비,A,21.8,312,2,27,0.08653846153846154
E011010,장롱,A,1.3,89,1,12,0.1348314606741573
E011020,침대,A,2.7,64,8,9,0.140625
E011030,거실장,A,0.4,79,3,10,0.12658227848101267
E011040,소파,A,1.3,94,3,10,0.10638297872340426
E011050,책상,A,0.4,94,1,12,0.1276595744680851
E011060,의자,A,0.4,245,4,23,0.09387755102040816
E011070,식탁,A,0.9,89,1,11,0.12359550561797752
E011080,싱크대,A,1.3,142,2,15,0.1056338028169014
E021010,침구,A,2.6,56,3,9,0.16071428571428573
E021020,커튼,A,0.4,268,2,24,0.08955223880597014
E031010,전기밥솥,A,0.5,290,2,26,0.0896551724137931
E031020,가스레인지,A,0.4,287,8,27,0.09407665505226481
E031030,전자레인지,A,0.1,284,7,25,0.0880281690140845
E031040,전기레인지,A,0.2,116,2,11,0.09482758620689655
E031050,냉장고,A,2.4,295,7,27,0.09152542372881356
E031060,김치냉장고,A,1.1,201,2,26,0.12935323383084577
E031070,에어컨,A,1.5,173,6,27,0.15606936416184972
E031080,선풍기,A,0.4,161,8,27,0.16770186335403728
E031090,공기청정기,A,0.6,238,3,21,0.08823529411764706
E031100,세탁기,A,1.0,299,7,27,0.0903010033444816
E031110,의류건조기,A,1.1,77,2,7,0.09090909090909091
E031120,식기세척기,A,0.2,77,2,7,0.09090909090909091
E031130,청소기,A,1.1,292,7,27,0.09246575342465753
E031140,소형주방가전,A,0.8,284,6,25,0.0880281690140845
E031150,보온매트,A,0.4,22,11,9,0.4090909090909091
E032010,가전제품수리비,A,2.4,35,1,12,0.34285714285714286
E032020,가전제품렌탈비,A,2.5,32,1,6,0.1875
E041010,식기,A,0.8,310,2,27,0.08709677419354839
E041020,컵,A,0.5,313,2,27,0.08626198083067092
E041030,솥,A,0.2,290,5,25,0.08620689655172414
E041040,프라이팬,A,0.6,283,5,27,0.09540636042402827
E041050,냄비,A,0.5,282,3,26,0.09219858156028368
E041060,수저,A,0.3,252,2,23,0.09126984126984126
E041070,밀폐용기,A,0.7,268,4,25,0.09328358208955224
E041080,부엌용용구,A,0.4,247,2,22,0.08906882591093117
E051010,보일러,A,1.5,226,1,24,0.10619469026548672
E051020,건전지,A,0.3,306,6,27,0.08823529411764706
E051030,소형가사용품,A,1.3,134,1,14,0.1044776119402985
E061010,세탁세제,A,1.7,316,2,27,0.08544303797468354
E061020,섬유유연제,A,0.1,314,3,27,0.08598726114649681
E061030,전구,A,0.2,284,6,25,0.0880281690140845
E061040,부엌용세제,A,0.6,295,2,27,0.09152542372881356
E061050,청소용세제,A,0.2,244,4,22,0.09016393442622951
E061060,살충제,A,0.3,284,6,27,0.09507042253521127
E061070,가정용비닐용품,A,0.6,298,2,27,0.09060402684563758
E061080,키친타월,A,1.0,256,2,22,0.0859375
E061090,방향제,A,0.3,249,2,22,0.08835341365461848
E061100,습기제거제,A,0.1,311,2,27,0.08681672025723473
E062010,가사도우미료,A,2.4,204,3,25,0.12254901960784313
E062020,간병도우미료,A,2.6,217,3,21,0.0967741935483871
F011010,감기약,A,0.4,280,4,27,0.09642857142857143
F011020,진통제,A,0.4,288,3,27,0.09375
F011030,소화제,A,0.3,278,4,25,0.08992805755395683
F011040,위장약,A,0.2,290,4,26,0.0896551724137931
F011050,진해거담제,A,0.2,211,7,20,0.0947867298578199
F011060,소염진통제,A,0.6,287,4,26,0.09059233449477352
F011070,피부질환제,A,0.3,273,2,26,0.09523809523809523
F011080,치과구강용약,A,0.3,124,5,12,0.0967741935483871
F011090,조제약,A,5.8,133,1,20,0.15037593984962405
F011100,한방약,A,2.7,218,4,20,0.09174311926605505
F011110,인삼,A,0.3,314,5,27,0.08598726114649681
F011120,홍삼,A,1.1,25,10,4,0.16
F011130,비타민제,A,1.2,284,2,26,0.09154929577464789
F011140,건강기능식품,A,6.5,53,1,9,0.16981132075471697
F011150,유산균,A,1.2,74,5,7,0.0945945945945946
F011160,병원약품,A,3.5,82,9,9,0.10975609756097561
F012010,종이기저귀,A,1.4,311,2,27,0.08681672025723473
F012020,생리대,A,1.0,305,2,27,0.08852459016393442
F012030,마스크,A,1.6,69,3,7,0.10144927536231885
F012040,반창고,A,0.1,69,4,7,0.10144927536231885
F012050,안경,A,1.0,223,3,21,0.09417040358744394
F012060,콘택트렌즈,A,1.4,178,4,18,0.10112359550561797
F012070,의료측정기,A,0.2,193,2,17,0.08808290155440414
F012080,보청기,A,0.6,7,5,2,0.2857142857142857
F012090,건강기기렌탈비,A,1.5,13,1,2,0.15384615384615385
F012100,치료재료,A,1.5,27,1,6,0.2222222222222222
F021020,건강검진비,A,1.2,162,4,22,0.13580246913580246
F022020,치과보철료,A,6.8,268,4,25,0.09328358208955224
F031020,병원검사료,A,1.1,175,1,21,0.12
G011010,소형승용차,A,1.0,153,1,17,0.1111111111111111
G011020,중형승용차,A,1.0,171,1,20,0.11695906432748537
G011030,대형승용차,A,3.2,153,1,22,0.1437908496732026
G011040,경승용차,A,0.6,125,1,15,0.12
G011050,다목적승용차,A,7.7,187,1,20,0.10695187165775401
G011060,수입승용차,A,9.3,151,1,16,0.10596026490066225
G011070,전기동력차,A,5.1,47,7,6,0.1276595744680851
G011080,자전거,A,0.5,270,3,26,0.0962962962962963
G022010,자동차용품,A,0.9,193,2,17,0.08808290155440414
G022020,블랙박스,A,0.2,133,2,12,0.09022556390977443
G022030,자동차타이어,A,0.9,282,7,26,0.09219858156028368
G022040,자동차수리비,A,6.3,224,3,22,0.09821428571428571
G022050,엔진오일교체료,A,1.0,286,3,26,0.09090909090909091
G022060,세차료,A,0.5,289,4,26,0.08996539792387544
G023010,자동차학원비,A,0.5,272,3,26,0.09558823529411764
G023020,주차료,A,1.2,140,1,19,0.1357142857142857
G023040,승용차임차료,B,3.2,178,7,27,0.15168539325842698
G023050,대리운전이용료,A,0.4,191,1,21,0.1099476439790576
G023060,자동차검사료,A,0.3,4,5,1,0.25
G033010,국내항공료,B,1.0,248,8,26,0.10483870967741936
G033030,여객선료,A,0.2,202,7,20,0.09900990099009901
G034010,이삿짐운송료,A,1.0,304,3,27,0.08881578947368421
G034020,택배이용료,A,1.9,204,3,25,0.12254901960784313
H021010,휴대전화기,A,10.4,143,3,16,0.11188811188811189
H031040,휴대전화기수리비,A,0.4,27,1,5,0.18518518518518517
I011010,TV,A,1.9,307,6,27,0.08794788273615635
I011020,영상음향기기,A,0.9,296,8,26,0.08783783783783784
I012010,컴퓨터,A,3.0,307,2,27,0.08794788273615635
I012020,컴퓨터수리비,A,0.1,15,4,3,0.2
I012030,휴대용멀티미디어기기,A,1.2,108,6,11,0.10185185185185185
I012040,컴퓨터소모품,A,0.7,197,6,19,0.09644670050761421
I012050,저장장치,A,0.1,288,2,27,0.09375
I021010,악기,A,0.3,291,4,26,0.08934707903780069
I021020,헬스기구,A,1.1,134,2,12,0.08955223880597014
I031010,장난감,A,2.9,268,4,25,0.09328358208955224
I031020,레저용품,A,1.6,270,5,26,0.0962962962962963
I031030,운동용품,A,2.1,275,3,25,0.09090909090909091
I031040,화초,A,0.7,318,2,27,0.08490566037735849
I031050,원예용품,A,0.4,152,2,16,0.10526315789473684
I031060,반려동물용품,A,3.3,287,7,26,0.09059233449477352
I031070,반려동물관리비,A,2.6,198,1,21,0.10606060606060606
I041010,수영장이용료,A,0.2,206,7,23,0.11165048543689321
I041020,볼링장이용료,A,0.2,275,2,26,0.09454545454545454
I041030,헬스클럽이용료,A,1.5,271,3,25,0.09225092250922509
I041040,골프연습장이용료,A,2.3,279,4,27,0.0967741935483871
I041050,골프장이용료,A,3.0,198,9,20,0.10101010101010101
I041060,당구장이용료,A,0.5,273,3,25,0.09157509157509157
I041070,노래방이용료,A,0.5,206,2,23,0.11165048543689321
I041080,PC방이용료,A,0.3,294,5,26,0.08843537414965986
I041090,놀이시설이용료,A,2.3,268,4,26,0.09701492537313433
I041100,운동경기관람료,A,0.2,129,3,23,0.17829457364341086
I042010,영화관람료,A,1.0,116,1,14,0.1206896551724138
I042020,공연예술관람료,A,0.7,65,1,16,0.24615384615384617
I042030,관람시설이용료,A,0.6,90,1,18,0.2
I042040,독서실비,A,0.8,274,3,27,0.09854014598540146
I042050,문화강습료,A,0.9,164,6,17,0.10365853658536585
I042060,온라인콘텐츠이용료,A,8.0,21,1,4,0.19047619047619047
I042080,사진서비스료,A,1.7,284,2,27,0.09507042253521127
I051010,유아용학습교재,A,0.3,21,3,4,0.19047619047619047
I051020,초등학교학습서,A,0.6,56,12,10,0.17857142857142858
I051030,중학교학습서,A,0.6,38,2,10,0.2631578947368421
I051040,고등학교학습서,A,0.6,51,1,12,0.23529411764705882
I051050,대학교재,A,0.2,32,3,7,0.21875
I051060,서적,A,1.5,176,2,21,0.11931818181818182
I052010,신문,A,0.4,12,2,3,0.25
I053010,종이문구,A,0.5,288,7,26,0.09027777777777778
I053020,기타문구,A,0.1,194,3,17,0.08762886597938144
I053030,필기구,A,0.4,260,3,24,0.09230769230769231
I053040,회화용구,A,0.2,275,3,27,0.09818181818181818
I061010,국내단체여행비,A,2.0,275,4,26,0.09454545454545454
I061020,해외단체여행비,A,5.5,300,2,26,0.08666666666666667
J041010,초등학생학원비,A,7.6,252,3,27,0.10714285714285714
J041020,중학생학원비,A,13.8,219,2,22,0.1004566210045662
J041030,고등학생학원비,A,13.8,257,2,27,0.10505836575875487
J041040,음악학원비,A,3.0,253,3,27,0.1067193675889328
J041050,미술학원비,A,2.6,247,2,27,0.10931174089068826
J041060,운동학원비,A,5.7,247,3,26,0.10526315789473684
J041070,전산학원비,A,0.5,263,2,25,0.09505703422053231
J041080,가정학습지,A,3.5,29,1,6,0.20689655172413793
J041090,이러닝이용료,A,0.7,25,1,13,0.52
J041100,학교보충교육비,A,1.4,230,3,26,0.11304347826086956
J041110,기타학원비,A,0.2,98,3,11,0.11224489795918367
J042010,취업학원비,A,2.0,267,2,27,0.10112359550561797
J042020,외국어학원비,A,0.5,283,2,27,0.09540636042402827
J042030,운동강습료,A,3.7,246,2,25,0.1016260162601626
K011010,김치찌개백반,A,4.8,250,3,23,0.092
K011020,된장찌개백반,A,4.3,244,1,24,0.09836065573770492
