품목명,Tier,가중치,모델,MAPE%
상수도료,A,4.5,비계절ETS,0.215329448385518
공동주택관리비,A,21.8,비계절ETS,0.6535087496198269
장롱,A,1.3,비계절ETS,0.3631768317589139
침대,A,2.7,비계절ETS,0.5510049734026069
거실장,A,0.4,비계절ETS,0.29192818064918286
소파,A,1.3,비계절ETS,1.526612119114845
책상,A,0.4,비계절ETS,0.2941833231234037
의자,A,0.4,비계절ETS,0.6073411498197794
식탁,A,0.9,비계절ETS,0.6903442232457034
싱크대,A,1.3,비계절ETS,1.0469257224542077
침구,A,2.6,비계절ETS,0.1548796296391795
커튼,A,0.4,비계절ETS,0.4020708769632848
전기밥솥,A,0.5,비계절ETS,1.4446592280166428
가스레인지,A,0.4,비계절ETS,0.9673510633130663
전자레인지,A,0.1,비계절ETS,0.9802893025183687
전기레인지,A,0.2,비계절ETS,0.885535842186005
냉장고,A,2.4,비계절ETS,2.329370521090794
김치냉장고,A,1.1,비계절ETS,1.4171818568177896
에어컨,A,1.5,비계절ETS,0.7828088301019114
선풍기,A,0.4,비계절ETS,2.2972252467254584
공기청정기,A,0.6,비계절ETS,0.8608270029548781
세탁기,A,1.0,비계절ETS,0.6657845153978734
의류건조기,A,1.1,비계절ETS,1.2045262424077883
식기세척기,A,0.2,비계절ETS,1.056056866338887
청소기,A,1.1,비계절ETS,0.9530542755594303
소형주방가전,A,0.8,비계절ETS,2.012040101681692
보온매트,A,0.4,비계절ETS,0.4436053620618085
가전제품수리비,A,2.4,비계절ETS,2.5039936192327596
가전제품렌탈비,A,2.5,비계절ETS,0.15313295331923524
식기,A,0.8,비계절ETS,2.2675178151164936
컵,A,0.5,비계절ETS,1.0039601226893493
솥,A,0.2,비계절ETS,2.561373678373626
프라이팬,A,0.6,비계절ETS,2.9372279360731177
냄비,A,0.5,비계절ETS,2.399491889174397
수저,A,0.3,비계절ETS,1.6733913935021203
밀폐용기,A,0.7,비계절ETS,2.632727004947799
부엌용용구,A,0.4,비계절ETS,1.1498153814911645
보일러,A,1.5,비계절ETS,0.025926612989311898
건전지,A,0.3,비계절ETS,0.8966027401335827
소형가사용품,A,1.3,비계절ETS,1.6960186935690549
세탁세제,A,1.7,비계절ETS,2.2424241217778507
섬유유연제,A,0.1,비계절ETS,1.4984439326261507
전구,A,0.2,비계절ETS,1.2537677344857945
부엌용세제,A,0.6,비계절ETS,1.421606769612177
청소용세제,A,0.2,비계절ETS,0.1501801774814318
살충제,A,0.3,비계절ETS,1.0886189989001627
가정용비닐용품,A,0.6,비계절ETS,1.4062548094530527
키친타월,A,1.0,비계절ETS,1.5147124243716104
방향제,A,0.3,비계절ETS,1.0802164276133703
습기제거제,A,0.1,비계절ETS,1.7106060521867645
가사도우미료,A,2.4,비계절ETS,0.1645819183703038
간병도우미료,A,2.6,비계절ETS,0.3460038356461857
감기약,A,0.4,비계절ETS,0.06922460274994081
진통제,A,0.4,비계절ETS,0.09328544009129995
소화제,A,0.3,비계절ETS,0.07220819350297904
위장약,A,0.2,비계절ETS,0.10781739673351987
진해거담제,A,0.2,비계절ETS,0.1749858535793142
소염진통제,A,0.6,비계절ETS,0.0505001146252082
피부질환제,A,0.3,비계절ETS,0.12064878632965388
치과구강용약,A,0.3,비계절ETS,0.04717923128491438
조제약,A,5.8,비계절ETS,0.0877817118289299
한방약,A,2.7,비계절ETS,0.13537642795594082
인삼,A,0.3,비계절ETS,0.8451932842336075
