품목코드,품목명,가중치,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,정확히0인달수,0.00%반올림달수,전체달수,정확히0_비율
A011010,쌀,4.2,,4.969064191802008,-1.9985264321237817,-0.5826520063903717,-0.7845732110785653,-1.6196646341463339,-1.9562269998063209,-3.546029237455539,2.7956989247311714,0.16935644550708506,-0.19890601690701892,-1.5645241654210218,-0.4353107916582388,0.843924758515513,0.7057874571485989,-0.5006007208650409,-0.6138055946870558,1.1238230231851665,1.0112134561473862,1.1497670730498566,0.6957373836354863,1.8781627092253617,3.09485146623365,1.6306865561011685,3.91102197100921,5.553605895771185,-1.5709417338542142,-0.7768957946292843,-0.5617021276595691,0.5905511811023612,-0.7657619331234655,0.060018863071253925,-0.05998286203942049,0.26579782217268644,-0.37626133059688316,0.008583690987129522,0,0,35,0.0
A011020,현미,0.4,,1.197788697788682,1.102680829539704,0.42025215129077864,1.614188919888404,0.4608746813100639,0.3123474865788012,-0.0973046608932493,0.8571150287328244,-0.1255432158377534,0.12570102494682267,0.5794302269435114,-0.019203072491613682,-0.12484394506866447,1.2307692307692353,3.0680091185410374,1.658833287254624,1.7314839996373843,2.6020317234004553,2.4318221295813736,0.7291843310157642,1.7340067340067433,5.262286943571071,1.705706649897798,1.870314552902097,1.6538957590471082,-1.1568027464736286,-1.6233766233766267,-0.36073374779338474,-0.023108920043135583,-0.724246860312816,0.10089251067131322,0.13180338036906658,-0.1626016260162677,-0.9927097874980584,-0.7363308788970735,0,0,35,0.0
A011030,찹쌀,0.5,,1.3439153439153362,1.9734781246736999,1.1775547818963839,0.7995142192085636,-0.14056224899597902,1.297003820631426,-0.1290322580645098,1.142913933611589,-0.8450427434410934,-0.9414329600634264,-0.2901160464185648,1.7256947928163013,-0.049314528059962726,3.3057035721334005,6.31387907154457,3.980233602875116,2.0565108442063273,3.9962746592159926,3.850850769356029,0.7133897773596631,4.506888767805717,5.6904513630269715,2.2692036645524993,2.094818081587646,-0.5062095032397407,-4.674038396309599,-3.3091374893253644,-1.023036726282489,-0.14128494943486114,-0.28296969245662495,0.44059442909416546,0.15613382899628547,-0.04454012322767653,-1.559598960267361,-0.3998491135420612,0,0,35,0.0
A011040,보리쌀,0.2,,0.9062152688723568,0.16944844531052716,0.10995517212213368,0.3717472118959009,-0.06734006734006037,1.0781671159029615,1.3833333333333364,0.47673845142199855,1.0225785340314042,5.773746862094109,5.3437452151278375,3.6991279069767513,0.805942953255312,3.6985539488320285,6.208098685974783,2.7079914152253526,2.4460696945485694,2.057711920331151,2.750999294615575,1.0983981693363676,0.8488003621548224,3.7818426663674076,3.135813148788924,2.1964772488991313,1.3182867401898113,0.5012150668286752,-0.0856380031232673,0.04033477866289825,0.1814333232537102,-0.5684676526813592,-0.5363015431318008,-0.5035861437509559,-2.5357873210633985,-4.128199748216521,-3.6603381298900284,0,0,35,0.0
A011050,콩,0.5,,1.5845953264467028,0.621976503109889,0.5690737833594861,-0.7219512195121847,2.083333333333326,-0.49095109742008924,-0.15478378639838253,0.6976068210444941,0.14432791301837167,0.4515757109915475,1.0903873744619874,-0.018923266155734808,0.03785369546700501,0.10405827263266776,0.7654507654507592,0.04689111882210106,0.19685039370078705,0.6361680232014111,0.24170307706610217,-0.8346471297412505,0.028055737398280378,1.0284218399401635,0.4441976679622428,-0.285608992076658,0.6282916012196216,-0.25709301257919037,-1.2151339409002926,-0.5498089646817639,-1.1712893553223358,-0.8438418507632495,-0.09562057754828324,0.3732771822358316,0.5721369314389158,-0.8722859580923448,-0.44954567192730943,0,0,35,0.0
A011060,땅콩,0.1,,0.8832635221271312,2.0308692120227567,1.362349610757252,-0.5411066503752893,0.3510003510003523,1.2242042672263143,0.7342778161713914,0.37732612983449876,0.931225971806926,-0.16929067208396598,0.245887739528583,-0.008458090163243615,0.3891050583657574,0.7246376811594235,0.7528860632424195,0.39853869146462273,0.620244789943758,-0.07397057614859648,-0.2549761473926604,0.7338995629586842,0.1800916830386301,0.06537015852263739,0.22048015678590716,0.06518373665769239,-0.39084765084277384,-1.005476988473808,-0.32204789430223535,-0.6958826940601348,0.15850504713439406,0.6580043311677386,-0.3061646669424878,-0.05810092961487934,0.19101403537913342,0.19893899204244114,-0.04136333553937943,0,0,35,0.0
A011070,혼식곡,0.4,,1.2369974697779007,0.24067388688326918,0.18468926031949273,0.08295695455802221,0.14735678762203275,0.4046349089571466,0.21066129327713679,-0.16451878256100727,0.5676096310537337,-0.5461993627674078,0.6132723112128202,0.0,0.9734352256186352,0.2612848004324819,0.6200575125808738,1.6611592390818997,2.319248001405616,1.1161672533699596,0.8321304237072225,-0.02526315789473932,1.2466307277628097,0.04159733777038266,-0.49064449064449844,0.008357011532678094,0.4345282861201616,0.5907313420417726,-0.5707196029776762,0.1247816321437556,-0.36556995679627446,0.2751834556370847,0.282744282744285,-0.04975536943362391,0.7632954451173957,0.09057225195554519,-0.3537347811780278,1,1,35,2.857142857142857
A011080,밀가루,0.1,,-0.8056321672231137,0.7536401551181626,-0.07988380537399253,-3.4086779562468195,2.7389014296463454,0.6005566134466234,-1.041059988351778,0.5296843963804809,-0.029271862422242112,-0.7759314837859632,0.33198081888601294,-2.5808823529411717,2.203939919993947,1.8167048223912685,-0.3191412199898491,-2.0665065851706355,0.41607846050970565,0.21457639659636651,0.4430005906674417,-0.860041164363412,0.3781419144361253,0.2437583099423879,-0.022105961240881378,0.32429245283018826,-0.5803702615339357,0.1773442695632843,1.6817880061960722,-0.09430540442509905,-2.425210572175429,-1.525524631641606,-2.7733696062873237,0.31866936110678257,-0.07747733787866196,0.0,-0.14732108242226927,1,1,35,2.857142857142857
A011090,국수,0.7,,2.497675036535152,2.158133506156834,-2.2521093700437644,1.869158878504673,-0.17201834862385912,-0.14040462058841907,-1.6041413689525053,-3.2021304234866266,-1.154130040931356,2.457402756092586,-0.08613264427217437,-0.2652519893899252,2.1874999999999867,2.45949638883467,1.282784022353467,-1.5674963947582943,0.4267787757181951,-2.765444627679803,0.580560991519885,-1.9910500032427447,-2.0645844362096377,-1.4391891891891828,0.13710838417768656,-0.287533374409521,5.1767936834878014,0.49611593446046154,-0.8379343942838569,2.135464430761158,-0.24371472550025475,-0.13501350135012302,-6.920749372304124,-0.9821552081892504,-1.0407935177423888,4.4610715041999205,12.129197918778289,0,0,35,0.0
A011100,라면,2.4,,-0.5438813349814553,-0.7705692269450615,-0.7014028056112287,-0.7231752438614181,0.5929188548195796,-0.6399461098012815,-0.36440677966101953,-0.17861699413115328,0.07668711656441118,-0.9025117071094102,-0.30930492310335955,1.6719813841247877,0.24582520979909983,0.6426517842042845,0.12602923878339833,-0.1762188470252668,0.0756556825823873,-0.33599328013439456,4.121365360303408,0.8903998704872906,0.7702182284980763,-1.3375796178343946,-0.08069722401550239,1.356808270069454,1.0916334661354554,0.2049341845983932,0.3303704869031643,0.9094472755782235,-0.6060135187631155,-1.0396310482295057,-0.15797788309636074,0.24525316455694668,-0.007892036934720181,0.20520915548538632,0.51984877126654,0,0,35,0.0
