품목코드,품목명,Tier,가중치,pred_2026-01,actual_2026-01,pred_2026-02,actual_2026-02,pred_2026-03,actual_2026-03,pred_2026-04,actual_2026-04,pred_2026-05,actual_2026-05,pred_2026-06,actual_2026-06,pred_2026-07,actual_2026-07
D041010,상수도료,A,4.5,117.52449827338907,117.89,118.04340272935656,118.54,118.70668997453083,118.55,118.71005646213094,118.55,118.70364593636481,118.87,119.02670734809291,118.87,119.02062984711252,119.5
D042010,공동주택관리비,A,21.8,128.10071323103654,128.3,128.54937640315313,131.63,131.07729841127212,131.33,131.6139439844769,130.76,131.34959958457526,131.7,131.94062558998874,131.06,131.64771887322317,130.91
E011010,장롱,A,1.3,124.82253126526987,124.61,124.81708489247318,124.61,124.81183528137115,124.61,124.80677258206453,127.74,127.14025338938511,127.74,127.76924625256504,127.74,127.93295564476796,127.74
E011020,침대,A,2.7,128.01872770878308,127.77,128.01355342109375,127.77,128.0085765318885,127.77,128.0037836685197,127.77,127.99916208091686,127.77,127.99470094800049,133.99,134.2082245043627,133.99
E011030,거실장,A,0.4,126.26164812044638,125.94,126.25521414514641,125.94,126.24863680505781,125.94,126.2421504785562,127.83,127.559737386444,127.83,127.9709907626593,127.83,128.0956472597395,127.83
E011040,소파,A,1.3,132.3364139198988,133.29,133.24567583230473,133.29,133.36703753479114,133.29,133.38328465152796,137.23,136.7842557004431,137.23,137.25340681134807,137.23,137.31676574364442,137.23
E011050,책상,A,0.4,129.76161604998632,129.65,129.7600703109258,129.65,129.75924327822818,129.65,129.7585939969107,131.12,130.87332465179304,131.12,131.14241869236324,131.12,131.20692080642814,131.12
E011060,의자,A,0.4,116.52485915157139,116.43,116.4944912705248,116.36,116.42410752482495,116.36,116.423758334905,116.6,116.66351787007,116.51,116.57313260524217,116.5,116.56278531065813,120.19
E011070,식탁,A,0.9,126.35369610919902,126.55,126.69774031584934,126.55,126.76015344479566,126.55,126.76871519278583,130.42,129.93195928058583,130.42,130.5506369833249,130.42,130.66369436379856,130.42
E011080,싱크대,A,1.3,157.01569640612266,157.51,157.96086017002796,157.67,158.42814959649152,157.37,158.41400897873558,157.43,158.42182876136684,157.27,158.30370816089163,157.43,158.33413086861896,157.43
E021010,침구,A,2.6,117.25002619810154,117.05,117.24584182608034,117.05,117.24129412284539,117.05,117.2367676937153,117.05,117.23252114171108,117.05,117.22856605580931,117.05,117.21911688549677,117.05
E021020,커튼,A,0.4,107.15235812230166,107.25,107.20453241346542,107.36,107.28358351151337,107.64,107.45612393952082,107.13,107.31129121420108,107.19,107.26162602441224,107.68,107.4626914034393,108.55
E031010,전기밥솥,A,0.5,101.92507005780077,101.97,101.89990047926699,104.28,103.75985256859988,102.6,102.77432627908695,99.72,100.26094075478204,100.37,100.28552612410712,95.81,96.63093384032517,98.5
E031020,가스레인지,A,0.4,108.57621138821308,109.16,109.00391937523254,109.02,109.02561283481728,106.38,107.14344649214671,106.75,106.87081286624311,105.16,105.65397362000914,108.47,107.67490079010662,104.96
E031030,전자레인지,A,0.1,99.57060953207602,99.48,99.49705685611721,98.98,99.07725173001089,99.36,99.3067469814452,101.11,100.77140099990615,100.79,100.78654079675,104.98,104.20453933517527,107.62
