품목코드,품목명,Tier,가중치,pred,보정치,pred_corr
A011010,쌀,A,4.2,103.3318776339486,0.0,103.3318776339486
A011020,현미,A,0.4,119.7351639313391,0.0,119.7351639313391
A011030,찹쌀,A,0.5,129.19800012272003,0.0,129.19800012272003
A011040,보리쌀,A,0.2,179.69786613701064,0.0,179.69786613701064
A011050,콩,A,0.5,106.66489351776661,0.0,106.66489351776661
A011060,땅콩,A,0.1,122.45065122950061,0.0,122.45065122950061
A011070,혼식곡,A,0.4,119.06487660508235,0.0,119.06487660508235
A011080,밀가루,A,0.1,134.78118953415378,0.0,134.78118953415378
A011090,국수,A,0.7,151.21665943406933,0.0,151.21665943406933
A011100,라면,A,2.4,124.72265416123687,0.0,124.72265416123687
A011110,당면,A,0.2,136.94375659513184,0.0,136.94375659513184
A011120,두부,A,1.2,111.050186225689,0.0,111.050186225689
A011130,시리얼,A,0.4,127.44579973789111,0.0,127.44579973789111
A011140,부침가루,A,0.6,145.18657503269495,0.0,145.18657503269495
A011150,케이크,A,1.6,131.57,0.0,131.57
A011160,빵,A,6.8,138.48,0.0,138.48
A011170,떡,A,1.9,124.52392126807091,0.0,124.52392126807091
A011180,파스타면,A,0.1,131.5773253859793,0.5033316571282805,131.27532639170232
A012010,국산쇠고기,A,8.6,106.04505934030158,0.0,106.04505934030158
A012020,수입쇠고기,A,3.1,135.40240750457852,0.0,135.40240750457852
A012030,돼지고기,A,9.8,130.3704385122683,0.0,130.3704385122683
A012040,닭고기,A,1.5,134.56843341170205,-1.539845411386627,135.49234065853403
A012050,소시지,A,2.0,119.69044204596491,0.0,119.69044204596491
A012060,햄및베이컨,A,2.7,122.5640390615529,0.0,122.5640390615529
A012070,기타육류가공품,A,0.9,135.04876703944524,0.0,135.04876703944524
A013110,마른멸치,A,0.5,111.85321306978553,0.0,111.85321306978553
A013120,마른오징어,A,0.2,125.05902774896632,0.0,125.05902774896632
A013140,오징어채,A,0.2,163.20506791095005,0.0,163.20506791095005
A013150,북어채,A,0.4,117.2660273686634,0.0,117.2660273686634
A013160,어묵,A,0.8,129.95545335548854,0.0,129.95545335548854
A013170,맛살,A,0.2,139.80456135993865,-0.994499267157399,140.40126092023309
A013180,수산물통조림,A,0.7,124.1007163834878,0.0,124.1007163834878
A013190,젓갈,A,0.7,112.56491280198453,-1.181253983366112,113.2736651920042
A014010,우유,A,3.4,124.28056806334307,0.0,124.28056806334307
A014020,분유,A,0.5,109.69680391120252,0.0,109.69680391120252
A014030,치즈,A,0.7,141.7724720606814,0.0,141.7724720606814
A014040,발효유,A,2.0,125.31927908338699,0.0,125.31927908338699
A014050,달걀,A,3.0,139.47564316685848,0.0,139.47564316685848
A015010,참기름,A,0.6,152.36506555201638,0.0,152.36506555201638
A015020,식용유,A,0.8,171.33977013377185,3.777688167064999,169.07315723353284
A016190,아몬드,A,0.2,105.82792301696828,-1.4607802134852317,106.70439114505942
A016200,과일가공품,A,1.0,146.08472175193182,-1.1682431637327966,146.7856676501715
A017250,고사리,A,0.1,123.70958536310683,0.0,123.70958536310683
A017270,단무지,A,0.2,116.1469933806154,0.0,116.1469933806154
A017280,김,A,0.5,150.13489460574866,0.0,150.13489460574866
A017290,맛김,A,0.5,128.62227793286516,0.8661555789393987,128.10258458550152
A017300,미역,A,0.3,130.3120586851067,0.0,130.3120586851067
A018010,초콜릿,A,0.5,155.64752601761984,0.0,155.64752601761984
A018020,사탕,A,0.8,116.00377170591962,0.0,116.00377170591962
A018030,껌,A,0.1,116.34698533952975,0.0,116.34698533952975
A018040,아이스크림,A,2.6,129.543049202215,-0.8976862065214775,130.08166092612788
A018050,비스킷,A,1.9,134.9899837273117,0.0,134.9899837273117
A018060,스낵과자,A,2.9,118.56418323911696,0.0,118.56418323911696
A018070,파이,A,0.6,115.77348710502586,0.0,115.77348710502586
A018080,설탕,A,0.3,148.2739622141003,0.0,148.2739622141003
A018090,잼,A,0.1,166.07410264556324,0.0,166.07410264556324
A018100,꿀,A,0.4,116.55978270243533,0.0,116.55978270243533
A018110,물엿,A,0.2,141.2058847436372,0.0,141.2058847436372
A019010,고춧가루,A,1.6,115.71,0.0,115.71
A019020,참깨,A,0.6,134.33330412006154,0.21847648957788124,134.2022182263148
A019040,소금,A,0.2,175.44385398891046,0.0,175.44385398891046
A019050,간장,A,0.4,129.53734525340485,0.0,129.53734525340485
A019060,된장,A,0.4,126.50562081354933,0.0,126.50562081354933
A019070,양념소스,A,0.5,131.08690889528285,-3.7923992512684515,133.3623484460439
A019080,고추장,A,0.3,127.5705409021756,-1.2636562422000093,128.3287346474956
A019090,카레,A,0.2,131.66098583584943,0.0,131.66098583584943
A019100,식초,A,0.1,146.95423135415484,0.0,146.95423135415484
A019110,드레싱,A,0.2,162.97595060574073,0.0,162.97595060574073
A019120,혼합조미료,A,0.3,132.81997687423686,0.0,132.81997687423686
A019130,스프,A,0.3,129.67617743796902,0.3328156695681817,129.47648803622812
A019140,이유식,A,0.3,111.22331129848962,0.0,111.22331129848962
A019150,김치,A,1.3,135.29426616047488,0.0,135.29426616047488
A019160,밑반찬,A,3.1,115.24556910245326,0.0,115.24556910245326
A019170,냉동식품,A,1.9,120.7716386637378,0.0,120.7716386637378
A019180,즉석식품,A,3.1,125.08185597311531,-0.6082462859629297,125.44680374469307
A019190,편의점도시락,A,0.4,117.63597928918605,0.0,117.63597928918605
A019200,삼각김밥,A,0.4,111.33130957203926,0.10428498738234045,111.26873857960986
A021010,커피,A,2.6,135.18961813164427,0.0,135.18961813164427
A021020,차,A,0.9,128.14356037496296,0.0,128.14356037496296
A022010,주스,A,1.4,131.13137748670061,0.0,131.13137748670061
A022020,두유,A,0.8,124.90562358934042,0.6336991868184162,124.52540407724938
A022030,생수,A,1.3,117.37947720104808,0.0,117.37947720104808
A022040,기능성음료,A,0.5,121.37864087996017,-0.793253319549431,121.85459287168983
A022050,탄산음료,A,1.6,118.609819320828,0.0,118.609819320828
A022060,기타음료,A,0.6,123.24877566760397,0.0,123.24877566760397
B011010,소주,A,1.7,108.5799627753915,0.0,108.5799627753915
B011020,과실주,A,0.8,103.14827519249947,0.0,103.14827519249947
B011030,맥주,A,3.0,115.10682355858918,0.0,115.10682355858918
B011040,막걸리,A,0.5,123.26914713830979,0.0,123.26914713830979
B011050,양주,A,0.4,114.54921101293263,0.0,114.54921101293263
B011060,약주,A,0.1,105.09962125365216,0.0,105.09962125365216
C011010,남자외의,A,4.4,119.65,0.27647267794909425,119.48411639323055
C011020,남자상의,A,1.5,113.23826400806695,0.0,113.23826400806695
C011030,남자하의,A,1.3,122.85840569883413,0.0,122.85840569883413
C011040,남자내의,A,0.7,109.50843349841149,0.0,109.50843349841149
C012010,여자외의,A,6.2,111.2278468291742,0.10585912073077945,111.16433135673573
C012020,원피스,A,1.8,126.92,0.4092005533851027,126.67447966796894
C012030,여자상의,A,1.5,114.65217224671653,0.0,114.65217224671653
C012040,여자하의,A,2.4,119.01558006428776,0.1654129637763262,118.91633228602197
C012050,여자내의,A,1.8,109.46248974577335,0.0,109.46248974577335
C013010,점퍼,A,3.3,113.28253525302422,0.0665938489321339,113.24257894366494
C013020,티셔츠,A,4.6,123.99671828963788,0.2532205651272103,123.84478595056156
C013030,스웨터,A,0.6,119.72729561187857,0.07225622817304611,119.68394187497475
C013040,청바지,A,1.6,118.3742916176922,0.2062752833240443,118.25052644769777
C013050,운동복,A,2.3,105.04,0.0878984959228788,104.98726090244628
C013060,등산복,A,0.5,106.58900204460919,0.0,106.58900204460919
C014010,유아동복,A,4.6,117.7172996438687,0.0,117.7172996438687
C015010,양말,A,0.9,103.88930618773375,0.10272095515802704,103.82767361463894
C015020,모자,A,0.6,113.34232885836352,0.06354716498942044,113.30420055936986
C015030,장갑,A,0.2,148.23515824746812,0.39810576769366435,147.99629478685193
C016010,의복수선료,A,0.2,123.81206249948536,0.0,123.81206249948536
C016020,세탁료,A,1.1,134.63708278014914,0.0,134.63708278014914
C021010,아동화,A,0.9,116.33061734171056,0.0,116.33061734171056
C021020,구두,A,2.0,113.86,0.8390888492761874,113.35654669043429
