월,실제총지수,하이브리드총지수,탑다운총지수(카테고리재구성),바텀업총지수(카테고리재구성),하이브리드오차%,탑다운오차%,바텀업오차%
2024-08,114.54,114.56927919037125,114.55575404367428,114.53938849434032,0.025562415201013856,0.013754185153027584,-0.0005338795701860898
2024-09,114.65,114.69784142079222,114.99469260848834,114.51755070074138,0.04172823444588747,0.30064771782671623,-0.11552490122863006
2024-10,114.69,114.5498861903492,114.71120095338411,114.50878385594591,-0.12216741620960783,0.018485441960161973,-0.15800518271348024
2024-11,114.4,114.41259615964096,114.43101777258491,114.55504142413807,0.011010629056774145,0.02711343757421592,0.13552572040040403
2024-12,114.91,114.67131576949457,114.54726791671845,114.75560406708226,-0.20771406361972614,-0.315666246002561,-0.13436248622203195
2025-01,115.71,115.55200824134725,115.3963357129082,115.54471503757004,-0.13654114480402862,-0.2710779423488002,-0.1428441469449059
2025-02,116.08,116.18442319864205,116.01749743571766,116.15946645358255,0.08995795885772978,-0.05384438687313942,0.06845835077752814
2025-03,116.29,116.13963840552884,116.25297732905416,116.20760198077456,-0.12929881715638836,-0.03183650438201478,-0.07085563610409405
2025-04,116.38,116.20937774995625,116.45816193554032,116.22944087046908,-0.1466078793983065,0.06716096884372079,-0.12936855948695547
2025-05,116.27,116.43768471377118,116.55108936176302,116.44102531245707,0.14422010301124996,0.24175570806142843,0.14709324198595986
2025-06,116.31,116.25134762142513,116.3310665653945,116.31629883494197,-0.050427631824328696,0.018112428333326006,0.005415557511798286
2025-07,116.52,116.45052235294062,116.37407066329634,116.6694568704994,-0.05962722885287703,-0.12523973283870526,0.12826713911723875
2025-08,116.45,117.0470874560531,116.98691986642864,116.98653942146692,0.5127414822267952,0.46107330736679514,0.4607466049522648
2025-09,117.06,117.25850222126371,117.27643449373717,117.08048420074168,0.16957305763173508,0.18489193040933544,0.017498890091984645
2025-10,117.42,117.06167721193336,117.00977763995077,117.04957756239908,-0.3051633350933778,-0.34936327716677934,-0.3154679250561422
2025-11,117.2,117.24398421727155,117.097590553308,117.35266729130417,0.03752919562418345,-0.08738007396928975,0.13026219394553698
2025-12,117.57,117.54097942138355,117.33914601424574,117.63788934132634,-0.024683659621025138,-0.1963545000886717,0.057743762291698135
2026-01,118.03,117.91032969404506,118.05506861682065,117.91841387671424,-0.10138973646949137,0.021239190731718288,-0.09454047554499799
2026-02,118.4,118.2758230922923,118.28725526987898,118.26219559989431,-0.10487914502340086,-0.09522358962924196,-0.1163888514406195
2026-03,118.8,119.02544473117356,118.52435456007458,119.1730586734217,0.18976829223364264,-0.23202478108199703,0.3140224523751766
2026-04,119.37,119.41383004645336,118.96545317404619,119.4803633763519,0.03671780719892033,-0.3389015883000883,0.09245486835209728
2026-05,119.92,119.6903576232004,119.54809984821888,119.7368984294707,-0.19149631154069646,-0.3101235421790522,-0.15268643306312762
2026-06,119.99,120.0156077240305,120.00465207209838,120.11015266362455,0.021341548487796885,0.012211077671794163,0.1001355643174863
2026-07,119.77,119.89601457043295,120.1626835532896,120.13051094641749,0.10521380181427518,0.32786470175302723,0.30100271054311734
