품목코드,품목명,Tier,가중치,모델,pred_2026-09,보정치(레벨),보정후_pred_2026-09
J041050,미술학원비,A,2.6,비계절ETS,121.42008728820248,0.0,121.42008728820248
J041060,운동학원비,A,5.7,계절ETS,125.10934090906912,0.0,125.10934090906912
J041070,전산학원비,A,0.5,비계절ETS,115.40916004013303,0.10715493031691163,115.34486708194288
J041080,가정학습지,A,3.5,완전동결(검증됨),124.33,0.0,124.33
J041090,이러닝이용료,A,0.7,비계절ETS,115.60772380257603,0.0,115.60772380257603
J041100,학교보충교육비,A,1.4,비계절ETS,106.19371138948837,0.0,106.19371138948837
J041110,기타학원비,A,0.2,비계절ETS,109.16100997078199,0.0,109.16100997078199
J042010,취업학원비,A,2.0,비계절ETS,108.75420780263745,0.0,108.75420780263745
J042020,외국어학원비,A,0.5,비계절ETS,116.09623346746824,0.0,116.09623346746824
J042030,운동강습료,A,3.7,계절ETS,110.37402263269071,0.0,110.37402263269071
K011010,김치찌개백반,A,4.8,계절ETS,131.74500911270687,0.0,131.74500911270687
K011020,된장찌개백반,A,4.3,계절ETS,130.5447975755961,0.0,130.5447975755961
K011030,비빔밥,A,2.4,비계절ETS,133.90191198840583,0.0,133.90191198840583
K011040,설렁탕,A,2.0,비계절ETS,131.655310958276,0.0,131.655310958276
K011050,갈비탕,A,2.2,비계절ETS,137.8509619897412,0.0,137.8509619897412
K011060,삼계탕,A,2.2,계절ETS,127.02037486103643,-0.1391221387606786,127.10384814429284
K011070,해물찜,A,4.1,비계절ETS,118.50643070603002,0.0,118.50643070603002
K011080,해장국,A,5.0,계절ETS,135.14872570160895,0.0,135.14872570160895
K011090,불고기,A,1.1,비계절ETS,125.94511407513546,0.0,125.94511407513546
K011100,쇠고기(외식),A,8.3,비계절ETS,122.63271125392522,0.0,122.63271125392522
K011110,돼지갈비(외식),A,6.1,비계절ETS,128.23849280128752,0.0,128.23849280128752
K011120,삼겹살(외식),A,7.2,비계절ETS,126.25108176821227,0.0,126.25108176821227
K011130,오리고기(외식),A,1.5,비계절ETS,126.60518769876883,0.0,126.60518769876883
K011140,냉면,A,2.4,계절ETS,132.56027736518038,0.0,132.56027736518038
K011150,칼국수,A,2.7,비계절ETS,134.05282789803184,0.0,134.05282789803184
K011160,죽(외식),A,1.7,완전동결(검증됨),127.78,0.0,127.78
K011170,생선초밥,A,2.7,비계절ETS,120.82835031038948,0.0,120.82835031038948
K011180,생선회(외식),A,10.3,비계절ETS,139.37205534463408,0.0,139.37205534463408
K011190,자장면,A,2.2,비계절ETS,138.6795188915416,0.0,138.6795188915416
K011200,짬뽕,A,2.4,계절ETS,134.99926606715138,0.0,134.99926606715138
K011210,탕수육,A,2.1,비계절ETS,125.16530811953028,0.0,125.16530811953028
K011220,볶음밥,A,0.9,비계절ETS,133.5622354600347,0.0,133.5622354600347
K011230,돈가스,A,2.2,비계절ETS,133.09224434298085,0.0,133.09224434298085
K011240,스테이크,A,1.5,비계절ETS,122.15930107705677,0.0,122.15930107705677
K011250,스파게티,A,1.5,비계절ETS,121.72852432678718,0.0,121.72852432678718
K011260,라면(외식),A,0.7,비계절ETS,137.04054334013833,0.0,137.04054334013833
K011270,김밥,A,3.4,비계절ETS,145.89165989322757,0.0,145.89165989322757
K011280,떡볶이,A,3.1,비계절ETS,140.89267139536773,0.0,140.89267139536773
K011290,치킨,A,8.6,비계절ETS,132.40363371976926,0.0,132.40363371976926
K011300,햄버거,A,4.3,비계절ETS,142.45110863462205,0.0,142.45110863462205
