품목코드,품목명,Tier,가중치,모델,pred_2025-08,actual_2025-08,pred_2025-09,actual_2025-09,pred_2025-10,actual_2025-10,pred_2025-11,actual_2025-11,pred_2025-12,actual_2025-12,pred_2026-01,actual_2026-01,pred_2026-02,actual_2026-02,pred_2026-03,actual_2026-03,pred_2026-04,actual_2026-04,pred_2026-05,actual_2026-05,pred_2026-06,actual_2026-06,pred_2026-07,actual_2026-07
A019120,혼합조미료,A,0.3,비계절ETS,134.83493569089404,134.61,135.07693647397244,133.3,134.0138987909763,132.22,132.89220562932155,134.86,134.88917472576813,134.66,135.0846678606123,132.41,133.23701191832254,130.74,131.46372305111916,132.62,132.72652859624918,135.06,134.99093070178495,133.59,134.1639754239724,135.51,135.60348757487833,136.72
A019130,스프,A,0.3,비계절ETS,129.89713480927392,129.69,129.7694552068385,129.71,129.7842372647172,129.82,129.88964188012292,129.79,129.85836321121252,129.68,129.7443691643837,129.08,129.1420407147573,129.38,129.421750197366,129.67,129.71385890748263,129.93,129.97641039935291,129.73,129.78175311341525,128.5,128.55391674929604,129.84
A019140,이유식,A,0.3,비계절ETS,111.22264622707858,111.12,111.22212894863031,111.12,111.22158151525922,111.12,111.2210340662077,111.12,111.22048164785808,111.12,111.21993175295347,111.12,111.21938415552754,111.12,111.21884209965258,111.12,111.21830058138502,111.12,111.21776273358954,111.12,111.21722949462799,111.12,111.21669958703919,111.12
A019150,김치,A,1.3,비계절ETS,133.94351023634405,133.65,133.78436302717577,134.63,134.6504485345684,134.45,134.57465263799787,134.36,134.4854704966386,132.98,133.2333576050445,135.36,135.24476981865877,135.19,135.29823386620743,135.33,135.42884022589323,135.24,135.360976754254,135.49,135.60974464757308,135.5,135.60854771583072,134.06
A019160,밑반찬,A,3.1,비계절ETS,115.74307709795828,115.24,115.42499436433027,116.31,116.53490265329718,116.31,116.52003828074919,117.05,117.28457450432037,117.16,117.38464360266373,117.15,117.3595094328028,117.28,117.48276167900683,117.07,117.25058370449577,117.8,118.003226324226,118.13,118.33658647476545,118.04,118.22971012379844,118.18
A019170,냉동식품,A,1.9,비계절ETS,119.00299025543829,121.46,121.5967243390336,121.63,121.82765599588365,120.24,120.34597942050372,121.23,121.34803154746814,117.68,117.87665037247082,119.55,119.54407274467991,118.4,118.54297308992642,120.46,120.41575024148027,118.84,119.03019309549322,120.63,120.58076753395174,118.89,119.11160055405615,118.38
A019180,즉석식품,A,3.1,비계절ETS,123.9480560072882,125.97,125.8174973705521,122.34,122.89609900781804,122.69,122.6382629480412,121.96,121.96398130378947,125.76,125.22017859540215,125.98,126.0289674563846,126.36,126.46980418916056,125.55,125.78462635543904,126.1,126.12353746423607,127.2,127.14345262029934,127.79,127.8288546701996,127.25
A019190,편의점도시락,A,0.4,비계절ETS,117.59442573875013,117.3,117.57782153332012,117.3,117.56320554273161,117.3,117.5501992237049,118.57,118.8638397358068,118.57,118.84766810734291,118.57,118.83345323959229,118.57,118.82080793924356,118.57,118.80944391885718,118.57,118.79914011303774,118.57,118.78971527936194,118.57,118.78101013256156,118.57
A019200,삼각김밥,A,0.4,비계절ETS,113.20410068202011,113.26,113.51699868419257,113.26,113.49247998067953,113.29,113.50300470902462,113.85,114.09072810989464,114.12,114.36131175823513,114.8,115.07708597821004,115.12,115.39918823873174,115.19,115.44935205792139,115.77,116.055284695971,116.07,116.35506541556937,116.22,116.49184948170242,116.26
A021010,커피,A,2.6,비계절ETS,143.08802741522462,143.19,143.90077854715457,142.85,143.68642725704476,143.2,143.92604051680522,143.54,144.23236274747816,143.98,144.63958273867405,142.94,143.7509013324421,143.02,143.65793740192476,144.1,144.57721043655962,144.92,145.4193323831772,142.52,143.4095824404561,143.9,144.30200355093356,145.81
