품목명,Tier,가중치,모델,MAPE%,품목코드,대분류
갈비탕,A,2.2,비계절ETS,0.2027657025571262,K011050,11 음식및숙박
삼계탕,A,2.2,비계절ETS,0.1551386526064983,K011060,11 음식및숙박
해물찜,A,4.1,비계절ETS,0.0888897132063363,K011070,11 음식및숙박
해장국,A,5.0,비계절ETS,0.1781044753423921,K011080,11 음식및숙박
불고기,A,1.1,비계절ETS,0.1951187813206176,K011090,11 음식및숙박
쇠고기(외식),A,8.3,비계절ETS,0.1248000175776041,K011100,11 음식및숙박
돼지갈비(외식),A,6.1,비계절ETS,0.1333971848441026,K011110,11 음식및숙박
삼겹살(외식),A,7.2,비계절ETS,0.1140173977552928,K011120,11 음식및숙박
오리고기(외식),A,1.5,비계절ETS,0.2545586443995271,K011130,11 음식및숙박
냉면,A,2.4,비계절ETS,0.1602745411573303,K011140,11 음식및숙박
칼국수,A,2.7,비계절ETS,0.1048711229227829,K011150,11 음식및숙박
죽(외식),A,1.7,비계절ETS,0.3792162516709349,K011160,11 음식및숙박
생선초밥,A,2.7,비계절ETS,0.0999319589869919,K011170,11 음식및숙박
생선회(외식),A,10.3,비계절ETS,0.1818248640663985,K011180,11 음식및숙박
자장면,A,2.2,비계절ETS,0.1424381860239836,K011190,11 음식및숙박
짬뽕,A,2.4,비계절ETS,0.1788203711202191,K011200,11 음식및숙박
탕수육,A,2.1,비계절ETS,0.1049412156142131,K011210,11 음식및숙박
볶음밥,A,0.9,비계절ETS,0.1175933967365395,K011220,11 음식및숙박
돈가스,A,2.2,비계절ETS,0.1858051764490378,K011230,11 음식및숙박
스테이크,A,1.5,비계절ETS,0.1838895675196196,K011240,11 음식및숙박
스파게티,A,1.5,비계절ETS,0.1228378073093659,K011250,11 음식및숙박
라면(외식),A,0.7,비계절ETS,0.1580759699542133,K011260,11 음식및숙박
김밥,A,3.4,비계절ETS,0.1815670640193059,K011270,11 음식및숙박
떡볶이,A,3.1,비계절ETS,0.1502173171922119,K011280,11 음식및숙박
치킨,A,8.6,비계절ETS,0.2444834904210191,K011290,11 음식및숙박
햄버거,A,4.3,비계절ETS,1.5532794584776837,K011300,11 음식및숙박
피자,A,4.1,비계절ETS,0.0290811909808162,K011310,11 음식및숙박
쌀국수,A,0.6,비계절ETS,0.1176115365084222,K011320,11 음식및숙박
커피(외식),A,8.8,비계절ETS,0.1108255397690597,K011330,11 음식및숙박
기타음료(외식),A,0.5,비계절ETS,0.037678859851141,K011340,11 음식및숙박
소주(외식),A,2.5,비계절ETS,0.2673663182248046,K011350,11 음식및숙박
맥주(외식),A,4.8,비계절ETS,0.2050401769790013,K011360,11 음식및숙박
막걸리(외식),A,0.3,비계절ETS,0.1423289708971945,K011370,11 음식및숙박
구내식당식사비,A,11.9,비계절ETS,0.1583159218518653,K011380,11 음식및숙박
도시락,A,0.6,비계절ETS,0.8500496045981524,K011390,11 음식및숙박
호텔숙박료,A,2.1,비계절ETS,5.19921696217092,K021010,11 음식및숙박
여관숙박료,A,1.5,비계절ETS,0.3630577653682649,K021020,11 음식및숙박
콘도이용료,B,0.8,계절ETS,5.863581945825577,K021030,11 음식및숙박
학교기숙사비,A,0.9,비계절ETS,0.3363004247956029,K021040,11 음식및숙박
휴양시설이용료,A,1.4,비계절ETS,6.147992650588376,K021050,11 음식및숙박
목욕료,A,0.6,비계절ETS,0.1837258231527418,L011010,12 기타상품및서비스
