구분,년월,아파트%,연립다세대%,단독다가구%,단순합산%,CPI%
전세,2026-02,,,,,
전세,2026-03,-1.5977586422090462,3.9438842349360126,-8.90495012839665,-6.558824535669682,0.08528380555292703
전세,2026-04,-0.5986665413207026,2.3237482191038383,0.30452712400990123,2.029608801793037,0.10414694186706708
전세,2026-05,5.594308455906738,1.8285511746837013,0.7047378513199254,8.127597481910364,0.09458053532582777
전세,2026-06,-1.6544150025376458,-3.9451849244319326,-5.314131434024105,-10.913731360993683,0.10394028158366986
전세,2026-07,-0.0010797439889076443,4.322765550648078,3.713133382960665,8.034819189619835,0.21710402114405447
전세,2026-08,-2.905346748285975,-0.09055173424975527,-12.14956060730471,-15.145459089840442,0.146995501572178
월세,2026-02,,,,,
월세,2026-03,3.6161116423699458,16.724417159429006,-6.001290911867341,14.339237889931614,0.1236329053732721
월세,2026-04,0.050220574069603785,-6.221298647989926,9.0317084186748,2.860630344754478,0.13297872340425343
월세,2026-05,2.0786552637836575,-0.708540788969747,0.6250165692250009,1.9951310440389114,0.11383039271486428
월세,2026-06,-0.38425388547685957,7.329276538201479,2.157634047042145,9.102656699766765,0.094750805381838
월세,2026-07,-0.18459499647682787,-0.38094108753493616,1.1435041729640716,0.5779680889523076,0.17039000378644698
월세,2026-08,-9.737835978693177,-14.086731391585761,0.7937700878338338,-23.030797282445103,0.11962836578227609
