월,보정전_예측,보정후_예측,실제(공식),오차%_보정전,오차%_보정후
2025-08,116.86033641594088,116.8775008822062,116.45,0.3523713318513315,0.3671111053724374
2025-09,116.9052320241965,116.93789993395916,117.06,-0.13221251990731997,-0.10430554078322532
2025-10,116.90597820281167,116.9208494752648,117.42,-0.4377634109933014,-0.4250983859097253
2025-11,117.22199178135187,117.2172849860188,117.2,0.018764318559617715,0.014748281586001536
2025-12,117.50253589185479,117.48928768751031,117.57,-0.057382077183977476,-0.06865043164895848
2026-01,117.77748175262806,117.77051765742492,118.03,-0.21394412214855402,-0.21984439767439054
2026-02,118.11923946930573,118.12653315742209,118.4,-0.23712882659989898,-0.23096861704216018
2026-03,119.02920693825077,119.01934188738107,118.8,0.1929351332077181,0.18463121833423995
2026-04,119.3380412972908,119.37109022417356,119.37,-0.026772809507584896,0.0009133150486321529
2026-05,119.59579362909255,119.61822698805994,119.92,-0.27035221056324815,-0.2516452734656911
2026-06,119.96861965378392,119.99347576435039,119.99,-0.017818440050068232,0.002896711684638704
2026-07,119.99044660544085,120.00331702067882,119.77,0.1840582829096231,0.19480422533090533
