년월,RONE_전세,RONE_월세,CPI_전세,CPI_월세
2025-08,0.04,0.1,0.08567348881485332,0.07651109410864412
2025-09,0.1,0.13,0.02853338405935052,0.06689602446482529
2025-10,0.18,0.19,0.03803365978890562,0.07640148982906361
2025-11,0.24,0.23,0.10455279916357707,0.09542895314437858
2025-12,0.28,0.27,0.07595898214965108,0.1048717704261602
2026-01,0.27,0.26,0.06641366223908271,0.06666666666666017
2026-02,0.22,0.24,0.0568882146581988,0.0761397163795684
2026-03,0.28,0.29,0.08528380555292657,0.12363290537327194
2026-04,0.31,0.34,0.10414694186707009,0.13297872340425587
2026-05,0.35,0.35,0.09458053532582457,0.11383039271485919
2026-06,0.38,0.38,0.1039402815836714,0.09475080538184036
2026-07,0.38,0.38,0.2171040211440476,0.17039000378643754
