품목코드,품목명,Tier,가중치,pred,보정치,pred_corr
A011010,쌀,A,4.2,100.25576057511003,0.0,100.25576057511003
A011020,현미,A,0.4,113.66191058705888,0.0,113.66191058705888
A011030,찹쌀,A,0.5,120.01400003486872,0.0,120.01400003486872
A011040,보리쌀,A,0.2,171.25321683370777,0.0,171.25321683370777
A011050,콩,A,0.5,107.03927584583072,0.0,107.03927584583072
A011060,땅콩,A,0.1,122.10383786499332,0.0,122.10383786499332
A011070,혼식곡,A,0.4,117.80066525387151,0.0,117.80066525387151
A011080,밀가루,A,0.1,135.07538191769157,0.0,135.07538191769157
A011090,국수,A,0.7,157.82077668131814,0.0,157.82077668131814
A011100,라면,A,2.4,119.13118435419405,-0.42099737369623824,119.38378277841178
A011110,당면,A,0.2,136.00173038712236,0.0,136.00173038712236
A011120,두부,A,1.2,117.25379854998475,0.0,117.25379854998475
A011130,시리얼,A,0.4,128.59937452505173,0.0,128.59937452505173
A011140,부침가루,A,0.6,143.4517808450093,0.0,143.4517808450093
A011150,케이크,A,1.6,128.61,0.0,128.61
A011160,빵,A,6.8,136.42,0.0,136.42
A011170,떡,A,1.9,122.50901376623743,0.0,122.50901376623743
A011180,파스타면,A,0.1,131.91566065985765,0.0,131.91566065985765
A012010,국산쇠고기,A,8.6,106.72739833348155,0.0,106.72739833348155
A012020,수입쇠고기,A,3.1,137.5033859227259,0.0,137.5033859227259
A012030,돼지고기,A,9.8,118.55517289647644,0.0,118.55517289647644
A012040,닭고기,A,1.5,129.03709611520577,0.0,129.03709611520577
A012050,소시지,A,2.0,113.07483509457772,0.0,113.07483509457772
A012060,햄및베이컨,A,2.7,117.35633599803971,0.0,117.35633599803971
A012070,기타육류가공품,A,0.9,132.70203453355907,0.0,132.70203453355907
A013110,마른멸치,A,0.5,111.42588961844518,0.0,111.42588961844518
A013120,마른오징어,A,0.2,124.17599468697686,0.0,124.17599468697686
A013140,오징어채,A,0.2,134.75764379352162,-2.58810331132932,136.3105057803192
A013150,북어채,A,0.4,118.3795352990263,0.0,118.3795352990263
A013160,어묵,A,0.8,128.2312167694559,0.0,128.2312167694559
A013170,맛살,A,0.2,133.55365497150055,0.0,133.55365497150055
A013180,수산물통조림,A,0.7,122.89867177711977,0.0,122.89867177711977
A013190,젓갈,A,0.7,107.44959020010823,0.0,107.44959020010823
A014010,우유,A,3.4,124.29617926909053,0.18484587537272526,124.18527174386689
A014020,분유,A,0.5,109.44030097209104,0.0,109.44030097209104
A014030,치즈,A,0.7,139.93014795916213,0.0,139.93014795916213
A014040,발효유,A,2.0,123.67278669173619,0.0,123.67278669173619
A014050,달걀,A,3.0,132.8241868861727,0.4138996017176358,132.5758471251421
A015010,참기름,A,0.6,153.441578362928,0.0,153.441578362928
A015020,식용유,A,0.8,181.36077988802123,0.0,181.36077988802123
A016190,아몬드,A,0.2,102.7375838323777,0.0,102.7375838323777
A016200,과일가공품,A,1.0,141.71432724414987,0.0,141.71432724414987
A017250,고사리,A,0.1,123.40289047596903,0.0,123.40289047596903
A017270,단무지,A,0.2,113.39221978641304,0.0,113.39221978641304
A017280,김,A,0.5,150.13877906845184,0.0,150.13877906845184
A017290,맛김,A,0.5,128.85711884298806,1.1223351194897855,128.1837177712942
A017300,미역,A,0.3,121.4553978554572,0.0,121.4553978554572
A018010,초콜릿,A,0.5,140.31641531643805,0.8253938302678611,139.82117901827735
A018020,사탕,A,0.8,116.17485178844223,0.0,116.17485178844223
A018030,껌,A,0.1,116.26002602348389,0.0,116.26002602348389
A018040,아이스크림,A,2.6,123.78035522473996,0.0,123.78035522473996
A018050,비스킷,A,1.9,134.2423912652771,0.0,134.2423912652771
A018060,스낵과자,A,2.9,114.2657308555645,0.0,114.2657308555645
A018070,파이,A,0.6,113.42313532382875,0.0,113.42313532382875
A018080,설탕,A,0.3,147.56926322749712,0.0,147.56926322749712
A018090,잼,A,0.1,157.80229975666575,0.0,157.80229975666575
A018100,꿀,A,0.4,116.06563822259156,0.0,116.06563822259156
A018110,물엿,A,0.2,138.18575467945038,0.0,138.18575467945038
A019010,고춧가루,A,1.6,115.52,0.0,115.52
A019020,참깨,A,0.6,133.98601809142227,0.0,133.98601809142227
A019040,소금,A,0.2,176.9400232367282,0.0,176.9400232367282
A019050,간장,A,0.4,128.80892385193044,0.0,128.80892385193044
A019060,된장,A,0.4,127.62089027005553,0.0,127.62089027005553
A019070,양념소스,A,0.5,125.06448680330543,-3.5977120701204135,127.22311404537767
A019080,고추장,A,0.3,122.86170770982302,-1.0333790827231581,123.48173515945692
A019090,카레,A,0.2,130.74569930315573,0.0,130.74569930315573
A019100,식초,A,0.1,136.9551821286963,0.0,136.9551821286963
A019110,드레싱,A,0.2,153.11968534780118,0.0,153.11968534780118
A019120,혼합조미료,A,0.3,132.01134151593794,0.0,132.01134151593794
A019130,스프,A,0.3,129.83212372443055,0.3368013760586545,129.63004289879535
A019140,이유식,A,0.3,111.21476135505738,0.0,111.21476135505738
A019150,김치,A,1.3,136.70337000255756,-3.6900791769366066,138.91741750871952
A019160,밑반찬,A,3.1,113.05171186509794,0.0,113.05171186509794
A019170,냉동식품,A,1.9,116.97920286508418,0.0,116.97920286508418
A019180,즉석식품,A,3.1,122.45345727150435,0.0,122.45345727150435
A019190,편의점도시락,A,0.4,117.7415929453982,0.0,117.7415929453982
A019200,삼각김밥,A,0.4,111.12836513229205,0.10308756214970316,111.06651259500222
A021010,커피,A,2.6,134.37595145408275,0.0,134.37595145408275
A021020,차,A,0.9,129.11381886657017,-2.319999555616062,130.5058185999398
A022010,주스,A,1.4,129.8509924842252,0.24094726089598595,129.7064241276876
A022020,두유,A,0.8,126.39182213979937,0.17761258974905303,126.28525458594994
A022030,생수,A,1.3,114.19116823368134,0.0,114.19116823368134
A022040,기능성음료,A,0.5,116.15309208366219,-0.536609587095389,116.47505783591942
A022050,탄산음료,A,1.6,119.53713649411229,0.0,119.53713649411229
A022060,기타음료,A,0.6,124.22855780856571,-0.8049141364692479,124.71150629044726
B011010,소주,A,1.7,108.54094409980604,0.0,108.54094409980604
B011020,과실주,A,0.8,102.74111558206485,0.0,102.74111558206485
B011030,맥주,A,3.0,113.14645880799222,0.0,113.14645880799222
B011040,막걸리,A,0.5,123.07465973294129,0.0,123.07465973294129
B011050,양주,A,0.4,118.79052972043128,0.0,118.79052972043128
B011060,약주,A,0.1,105.33079086945827,0.0,105.33079086945827
C011010,남자외의,A,4.4,119.29,0.0,119.29
C011020,남자상의,A,1.5,110.72658597057602,0.1032876978066047,110.66461335189206
C011030,남자하의,A,1.3,121.46186830488529,0.2663367971916344,121.3020662265703
C011040,남자내의,A,0.7,109.27314477066744,0.0,109.27314477066744
C012010,여자외의,A,6.2,111.21141173381314,0.0,111.21141173381314
C012020,원피스,A,1.8,126.92,0.12821681246198105,126.84306991252281
C012030,여자상의,A,1.5,114.4418641948368,0.0,114.4418641948368
C012040,여자하의,A,2.4,119.04116763586993,0.0,119.04116763586993
C012050,여자내의,A,1.8,108.31803407183807,0.0,108.31803407183807
C013010,점퍼,A,3.3,113.26140699045519,0.0,113.26140699045519
C013020,티셔츠,A,4.6,124.01819028664748,0.2818239616733346,123.84909590964348
C013030,스웨터,A,0.6,119.7285898314679,0.0,119.7285898314679
C013040,청바지,A,1.6,118.39001351855838,0.22489015581837415,118.25507942506735
C013050,운동복,A,2.3,105.04,0.09934967633493841,104.98039019419905
C013060,등산복,A,0.5,103.46321772610463,0.0,103.46321772610463
C014010,유아동복,A,4.6,117.19855528047866,0.34698543811282906,116.99036401761096
C015010,양말,A,0.9,104.07428040399172,0.0,104.07428040399172
C015020,모자,A,0.6,113.34336689308623,0.06461381708960563,113.30459860283247
C015030,장갑,A,0.2,148.12744392707802,0.5919182992622657,147.77229294752067
C016010,의복수선료,A,0.2,122.25217174532317,0.0,122.25217174532317
C016020,세탁료,A,1.1,131.5564805803311,0.0,131.5564805803311
