품목코드,품목명,Tier,가중치,pred,pred_corr
A011010,쌀,A,4.2,100.26458687041229,100.26458687041229
A011020,현미,A,0.4,105.98356341283417,105.98356341283417
A011030,찹쌀,A,0.5,107.36999985166193,107.36999985166193
A011040,보리쌀,A,0.2,152.77575722993944,152.77575722993944
A011050,콩,A,0.5,105.90483289864095,105.90483289864095
A011060,땅콩,A,0.1,119.92318856822527,119.92318856822527
A011070,혼식곡,A,0.4,111.56803065182783,111.56803065182783
A011080,밀가루,A,0.1,138.15911619672804,138.15911619672804
A011090,국수,A,0.7,157.50480248439345,157.50480248439345
A011100,라면,A,2.4,119.1025280058911,119.1025280058911
A011110,당면,A,0.2,135.89060787628065,135.89060787628065
A011120,두부,A,1.2,115.80565261195083,115.80565261195083
A011130,시리얼,A,0.4,121.94367850456639,121.94367850456639
A011140,부침가루,A,0.6,140.5633649097387,140.5633649097387
A011150,케이크,A,1.6,126.44,126.44
A011160,빵,A,6.8,130.26,130.26
A011170,떡,A,1.9,121.97382065321821,121.97382065321821
A011180,파스타면,A,0.1,134.45808173017997,134.45808173017997
A012010,국산쇠고기,A,8.6,104.44434144707408,104.44434144707408
A012020,수입쇠고기,A,3.1,132.0813724118093,132.0813724118093
A012030,돼지고기,A,9.8,125.40617200932942,125.40617200932942
A012040,닭고기,A,1.5,124.80632239836895,124.80632239836895
A012050,소시지,A,2.0,114.87620905929337,114.87620905929337
A012060,햄및베이컨,A,2.7,116.25540131103399,116.25540131103399
A012070,기타육류가공품,A,0.9,132.80994187931068,132.80994187931068
A013110,마른멸치,A,0.5,111.95934887263259,111.95934887263259
A013120,마른오징어,A,0.2,121.45259921029107,121.45259921029107
A013140,오징어채,A,0.2,121.1923949769841,121.1923949769841
A013150,북어채,A,0.4,119.29041044412786,119.29041044412786
A013160,어묵,A,0.8,123.59588700952473,123.59588700952473
A013170,맛살,A,0.2,134.61734230801216,134.61734230801216
A013180,수산물통조림,A,0.7,122.4218051077537,122.4218051077537
A013190,젓갈,A,0.7,105.12402344698242,105.12402344698242
A014010,우유,A,3.4,123.96559291519067,123.96559291519067
A014020,분유,A,0.5,109.42760419976487,109.42760419976487
A014030,치즈,A,0.7,140.3517029496913,140.3517029496913
A014040,발효유,A,2.0,123.48789708635982,123.48789708635982
A014050,달걀,A,3.0,134.49697772671144,134.49697772671144
A015010,참기름,A,0.6,152.81808184187693,152.81808184187693
A015020,식용유,A,0.8,186.25354783048377,186.25354783048377
A016190,아몬드,A,0.2,95.98430897332776,95.98430897332776
A016200,과일가공품,A,1.0,136.4617673514725,136.4617673514725
A017250,고사리,A,0.1,124.66697220457036,124.66697220457036
A017270,단무지,A,0.2,112.04242997034547,112.04242997034547
A017280,김,A,0.5,149.18785326687217,149.18785326687217
A017290,맛김,A,0.5,132.48272574913187,132.48272574913187
A017300,미역,A,0.3,121.6135281398073,121.6135281398073
A018010,초콜릿,A,0.5,140.70946750936312,140.70946750936312
A018020,사탕,A,0.8,116.35977044559222,116.35977044559222
A018030,껌,A,0.1,116.45919205150068,116.45919205150068
A018040,아이스크림,A,2.6,122.71762035883211,122.71762035883211
A018050,비스킷,A,1.9,125.80558517688725,125.80558517688725
A018060,스낵과자,A,2.9,114.6252838210515,114.6252838210515
A018070,파이,A,0.6,112.29376502227433,112.29376502227433
A018080,설탕,A,0.3,147.0754186284534,147.0754186284534
A018090,잼,A,0.1,156.10240426878389,156.10240426878389
A018100,꿀,A,0.4,111.67769304832507,111.67769304832507
A018110,물엿,A,0.2,139.14788629213353,139.14788629213353
A019010,고춧가루,A,1.6,113.59,113.59
A019020,참깨,A,0.6,133.48228605684523,133.48228605684523
A019040,소금,A,0.2,174.33235698161818,174.33235698161818
A019050,간장,A,0.4,127.92554802230804,127.92554802230804
A019060,된장,A,0.4,126.81373218309731,126.81373218309731
A019070,양념소스,A,0.5,121.19292519349253,121.19292519349253
A019080,고추장,A,0.3,121.34756823654749,121.34756823654749
A019090,카레,A,0.2,131.021952833206,131.021952833206
A019100,식초,A,0.1,136.34889890643896,136.34889890643896
A019110,드레싱,A,0.2,150.9967950535922,150.9967950535922
A019120,혼합조미료,A,0.3,128.63732791950815,128.63732791950815
A019130,스프,A,0.3,130.97201985813734,130.97201985813734
A019140,이유식,A,0.3,111.01549994486899,111.01549994486899
A019150,김치,A,1.3,131.3877666366959,131.3877666366959
A019160,밑반찬,A,3.1,113.27260792301679,113.27260792301679
A019170,냉동식품,A,1.9,114.93204734914798,114.93204734914798
A019180,즉석식품,A,3.1,121.49099333210687,121.49099333210687
A019190,편의점도시락,A,0.4,113.2920246632842,113.2920246632842
A019200,삼각김밥,A,0.4,111.0486417450711,111.0486417450711
A021010,커피,A,2.6,124.56653673151905,124.56653673151905
A021020,차,A,0.9,127.08544338661636,127.08544338661636
A022010,주스,A,1.4,129.90971430987116,129.90971430987116
A022020,두유,A,0.8,126.18140715447323,126.18140715447323
A022030,생수,A,1.3,111.24227979291226,111.24227979291226
A022040,기능성음료,A,0.5,113.0912573022514,113.0912573022514
A022050,탄산음료,A,1.6,116.69869623997502,116.69869623997502
A022060,기타음료,A,0.6,122.83750973537123,122.83750973537123
B011010,소주,A,1.7,108.46192278412207,108.46192278412207
B011020,과실주,A,0.8,103.55574868688089,103.55574868688089
B011030,맥주,A,3.0,112.84170385173198,112.84170385173198
B011040,막걸리,A,0.5,123.04211358076999,123.04211358076999
B011050,양주,A,0.4,118.15955356895851,118.15955356895851
B011060,약주,A,0.1,104.78988797424981,104.78988797424981
C011010,남자외의,A,4.4,119.29,119.29
C011020,남자상의,A,1.5,110.72697253891847,110.72697253891847
C011030,남자하의,A,1.3,121.60812305709946,121.60812305709946
C011040,남자내의,A,0.7,109.43048713873256,109.43048713873256
C012010,여자외의,A,6.2,111.56184434403852,111.56184434403852
C012020,원피스,A,1.8,126.92,126.92
