품목,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07
0 총지수,62.456,62.647,62.962,62.709,62.393,62.709,62.962,63.277,64.098,64.035,63.656,63.908,64.604,64.919,65.488,65.74,65.677,65.866,65.992,66.245,66.182,66.182,65.804,65.93,66.308,66.624,67.003,67.382,67.634,67.571,67.382,67.824,68.204,68.013,68.077,68.391,68.835,69.213,70.034,69.908,69.782,69.592,69.53,69.845,70.477,70.539,70.413,70.73,71.172,71.487,72.181,72.181,72.119,72.119,72.561,73.191,73.191,73.191,72.75,72.877,73.594,73.892,74.338,74.413,74.338,74.114,74.413,74.636,75.008,74.859,74.561,74.785,75.231,75.381,75.827,75.902,76.05,75.902,76.199,76.645,76.868,76.496,76.125,76.348,76.496,77.017,77.464,77.761,77.836,77.836,78.134,78.208,78.655,78.803,78.803,79.101,79.472,79.771,80.515,80.962,81.63,82.151,82.747,82.598,82.673,82.598,82.375,82.375,82.45,83.045,83.64,83.862,83.862,83.788,84.086,84.384,84.459,84.235,84.384,84.682,85.351,85.523,85.696,86.041,86.128,86.041,86.214,86.647,87.337,87.337,86.906,87.251,88.288,88.892,89.238,89.325,89.497,89.67,90.102,90.707,90.62,90.448,90.534,90.879,91.242,91.588,91.614,91.605,91.769,91.639,91.432,91.855,92.512,92.339,92.011,92.175,92.728,93.038,92.952,92.823,92.823,92.71,92.909,93.238,93.419,93.134,93.116,93.229,93.73,93.98,94.153,94.214,94.369,94.248,94.386,94.551,94.49,94.205,94.015,94.006,94.643,94.587,94.596,94.625,94.89,94.909,95.08,95.213,94.966,94.966,94.786,95.07,95.232,95.64,95.393,95.573,95.63,95.611,95.431,95.677,96.247,96.379,96.237,96.342,97.366,97.632,97.565,97.442,97.546,97.338,97.499,98.058,98.172,98.077,97.347,97.698,98.106,98.855,98.751,98.931,98.979,98.779,98.59,99.462,100.221,100.041,99.33,98.988,98.884,99.311,99.121,99.481,99.652,99.491,99.187,99.425,99.794,100.041,99.481,99.719,100.09,100.16,99.94,99.5,99.44,99.71,99.63,100.19,100.74,100.18,100.09,100.33,101.04,101.58,101.84,101.98,102.05,102.05,102.26,102.75,103.17,103.35,103.87,104.04,104.85,105.42,106.1,106.83,107.5,108.21,108.73,108.63,108.82,109.16,109.07,109.26,110.07,110.33,110.52,110.77,111.13,111.16,111.29,112.28,112.85,113.27,112.68,112.73,113.17,113.78,113.95,114.01,114.1,113.84,114.13,114.54,114.65,114.69,114.4,114.91,115.71,116.08,116.29,116.38,116.27,116.31,116.52,116.45,117.06,117.42,117.2,117.57,118.03,118.4,118.8,119.37,119.92,119.99,119.77
01 식료품 및 비주류음료,48.264,48.697,48.457,47.547,46.733,46.781,47.307,47.786,50.037,49.032,47.02,47.068,48.313,48.792,49.989,50.372,49.702,50.277,50.946,52.192,51.665,51.474,49.893,50.421,51.474,52.91,52.384,52.671,53.101,52.671,51.905,53.58,54.874,52.527,52.049,52.958,54.011,54.537,55.591,55.017,54.155,53.293,53.293,54.537,57.123,57.603,56.693,56.693,57.651,58.368,59.614,59.423,58.8,58.609,59.518,61.816,61.959,61.385,59.47,59.423,60.61,61.902,62.087,62.394,61.717,60.61,61.41,61.717,62.948,62.149,59.871,60.856,62.025,61.779,61.841,61.656,61.102,60.548,60.918,63.256,63.872,62.517,60.856,61.779,62.087,63.502,62.948,63.132,62.702,62.333,63.132,63.256,65.102,65.225,63.502,63.809,63.994,64.549,64.425,65.41,65.655,65.532,66.763,67.932,68.609,68.055,68.179,69.286,70.764,71.009,72.178,73.348,72.855,70.824,71.378,71.932,71.747,71.316,70.209,71.316,73.039,73.878,74.41,75.553,75.172,74.182,74.563,76.467,80.351,80.504,77.914,77.914,80.504,82.103,81.874,81.189,80.351,80.961,82.484,84.997,84.768,82.788,82.56,83.779,85.287,84.989,85.827,85.5,85.355,84.883,84.304,85.363,88.478,87.061,84.921,85.538,87.29,87.754,86.902,86.992,86.094,85.112,85.728,87.731,87.754,85.79,84.434,84.738,85.705,86.581,86.81,86.733,86.741,86.36,86.635,87.336,87.914,86.201,85.911,86.422,87.795,88.385,87.549,87.461,88.737,88.473,88.244,88.825,88.649,87.769,86.607,87.998,88.711,91.062,90.023,90.067,89.133,87.742,87.734,88.94,93.271,91.986,90.621,91.581,94.346,94.434,93.606,92.611,92.312,91.643,91.907,94.645,95.825,93.465,90.859,91.951,93.324,96.027,94.486,94.962,94.073,92.866,93.148,98.026,101.424,98.748,95.675,95.842,95.789,96.441,95.508,96.318,95.816,94.768,93.923,94.821,97.304,97.497,94.988,95.974,97.16,96.66,98.06,97.65,98.45,98.68,99.15,101.8,104.79,104.85,101.24,101.51,103.39,105.69,105.84,105.35,105.16,104.56,104.75,106.2,107.87,106.72,107.25,107.85,109.34,109.63,109.55,110.29,111.35,111.32,112.99,114.56,116.06,114.72,112.46,113.53,115.37,115.91,116.46,115.9,115.99,116.3,117.3,120.53,122.46,122.85,119.8,120.56,122.2,123.96,124.22,122.75,121.9,120.68,121.54,122.99,124.72,124.53,121.32,123.61,125.13,126.45,127.26,126.48,124.78,124.74,125.75,128.96,128.82,128.88,127.08,128.01,128.75,129.12,127.91,126.84,126.79,127.27,126.94
01.1 식료품,47.924,48.304,48.066,47.117,46.262,46.357,46.927,47.403,49.73,48.685,46.595,46.595,47.973,48.399,49.634,50.062,49.302,49.919,50.585,51.914,51.345,51.202,49.492,50.062,51.154,52.627,52.105,52.389,52.817,52.389,51.629,53.339,54.717,52.246,51.771,52.721,53.766,54.336,55.429,54.764,53.862,53.006,53.006,54.289,56.948,57.471,56.522,56.522,57.566,58.279,59.561,59.324,58.659,58.469,59.419,61.842,61.936,61.318,59.324,59.276,60.565,61.855,62.04,62.347,61.61,60.443,61.303,61.61,62.9,62.04,59.706,60.688,61.916,61.672,61.672,61.487,60.934,60.321,60.688,63.206,63.76,62.347,60.565,61.61,61.916,63.392,62.838,62.9,62.408,61.979,62.838,62.961,64.865,64.989,63.206,63.514,63.699,64.251,64.006,64.926,65.172,65.05,66.34,67.445,68.182,67.568,67.691,68.858,70.394,70.639,71.684,72.912,72.36,70.209,70.762,71.377,71.131,70.701,69.533,70.639,72.486,73.395,73.925,75.137,74.682,73.622,74.076,76.046,80.212,80.288,77.485,77.485,80.212,81.878,81.651,80.894,79.833,80.439,82.03,84.68,84.453,82.332,82.03,83.317,84.908,84.574,85.468,85.12,84.961,84.453,83.855,84.961,88.203,86.657,84.362,85.006,86.839,87.324,86.393,86.521,85.536,84.498,85.135,87.278,87.369,85.257,83.825,84.142,85.143,86.074,86.256,86.203,86.165,85.756,86.044,86.794,87.43,85.559,85.226,85.839,87.239,87.825,86.933,86.828,88.14,87.939,87.702,88.28,88.052,87.152,85.892,87.405,88.148,90.641,89.53,89.591,88.664,87.134,87.178,88.463,93.011,91.611,90.177,91.148,94.095,94.209,93.36,92.39,92.119,91.314,91.568,94.454,95.669,93.186,90.536,91.725,93.063,95.94,94.244,94.838,93.85,92.53,92.862,98.03,101.581,98.843,95.485,95.669,95.512,96.229,95.276,96.185,95.59,94.462,93.553,94.497,97.191,97.322,94.76,95.809,96.98,96.5,97.97,97.49,98.34,98.59,99.09,101.91,105.12,105.16,101.25,101.6,103.55,106.05,106.16,105.67,105.46,104.82,104.98,106.54,108.31,107.02,107.5,108.09,109.63,109.8,109.72,110.38,111.55,111.47,113.32,115.04,116.57,115.1,112.66,113.71,115.46,115.82,116.3,115.68,115.84,116.06,117.13,120.68,122.71,123.09,119.81,120.65,122.38,124.3,124.72,123.06,122.1,120.91,121.57,123.16,125.05,124.74,121.24,123.52,125.02,126.51,127.28,126.44,124.7,124.48,125.46,128.94,128.83,128.79,126.84,127.84,128.59,128.99,127.81,126.55,126.55,127.05,126.71
01.2 비주류 음료,56.155,56.1,56.044,55.765,55.82,55.652,55.484,55.484,55.54,55.708,56.044,56.1,56.267,56.602,56.77,57.159,57.551,57.662,57.327,57.495,57.551,57.327,57.44,57.551,57.327,57.607,57.662,57.662,57.718,57.718,57.607,57.774,57.774,57.662,57.718,57.885,57.997,58.555,58.667,59.058,59.169,59.281,58.834,59.002,59.393,59.281,59.225,59.449,59.225,59.281,59.56,60.677,60.956,60.789,60.565,60.677,61.011,61.123,61.459,61.179,61.376,62.506,62.442,62.819,63.07,62.944,63.07,63.133,62.882,62.882,62.944,63.07,63.07,63.133,64.199,64.451,64.263,64.199,63.948,63.948,64.701,64.765,64.765,64.827,64.513,64.89,64.701,66.898,67.4,67.4,68.09,68.341,68.592,68.781,68.592,68.718,68.907,69.283,71.166,72.608,73.048,73.487,73.989,75.118,75.433,76.123,76.563,76.814,77.127,77.252,79.889,80.893,81.081,80.83,81.52,81.52,81.269,81.646,81.646,81.646,81.952,81.952,81.786,82.533,83.032,83.198,83.281,83.281,83.447,83.613,83.862,84.277,84.692,85.024,85.356,85.19,88.18,89.259,89.757,89.84,89.84,90.753,91.168,91.417,91.642,91.866,91.858,91.7,91.832,91.816,91.666,91.808,93.186,93.751,94.066,94.182,94.548,94.905,95.154,94.763,95.145,95.095,95.353,95.154,94.215,94.498,94.374,94.357,94.789,94.979,95.794,95.403,96.026,96.117,96.167,96.109,95.885,96.482,96.864,95.893,96.913,97.518,97.616,97.802,98.388,97.108,96.962,97.597,98.28,97.821,98.388,97.587,97.831,97.86,97.86,97.675,96.571,97.704,96.776,96.61,97.255,97.772,97.743,98.358,98.085,98.026,97.382,95.868,95.321,96.493,97.02,97.392,98.036,97.753,95.741,95.301,97.392,97.45,98.163,96.815,97.44,97.88,97.489,97.909,99.11,97.401,98.632,98.397,99.911,99.618,99.032,98.407,99.198,99.316,99.569,99.765,99.12,100.175,98.349,98.358,99.67,98.98,99.4,99.89,99.87,99.9,100.04,100.28,100.14,100.54,101.0,100.27,101.13,100.69,101.41,100.75,100.96,100.98,101.44,101.35,101.73,102.61,103.74,104.5,105.24,107.12,107.12,109.01,108.66,109.29,108.5,108.08,109.15,109.49,109.81,110.79,114.06,116.82,118.31,118.57,117.73,119.13,119.16,118.19,118.93,119.45,119.47,119.25,119.57,119.28,117.33,118.58,119.0,117.56,120.76,120.62,120.24,121.59,122.37,124.74,126.27,125.46,126.67,126.88,125.49,127.86,129.39,129.02,128.42,129.82,129.92,130.03,130.7,130.51,129.0,130.43,129.63,129.91,129.92
02 주류 및 담배,45.323,45.233,45.099,44.964,45.008,44.918,44.874,45.008,44.964,44.874,44.874,44.918,47.393,47.393,47.348,47.123,47.259,47.259,47.169,47.213,47.213,47.169,47.169,47.213,47.393,51.084,51.084,51.084,51.084,51.039,50.949,51.084,51.039,51.084,51.039,51.039,51.039,51.67,52.255,52.434,52.344,52.344,52.21,52.344,52.344,52.344,52.299,52.344,52.299,52.299,52.344,52.344,52.974,52.929,52.929,52.974,52.974,53.02,53.02,52.974,60.528,60.589,60.589,60.528,60.589,60.589,60.589,60.589,60.589,60.649,60.649,60.649,60.528,60.467,60.467,60.467,60.406,60.406,60.406,60.406,60.528,60.528,60.528,60.528,60.467,60.467,60.528,60.528,60.589,60.77,60.831,60.891,60.891,60.891,60.891,60.891,60.891,60.891,60.891,60.891,60.891,60.891,60.891,61.255,61.255,61.255,61.255,61.255,61.558,61.618,61.679,61.679,61.74,61.74,61.679,61.74,61.8,61.8,61.861,61.921,62.044,62.044,61.92,61.982,61.92,61.982,61.858,61.982,62.044,62.044,62.044,61.982,61.982,61.92,61.92,61.858,62.726,62.664,62.664,62.788,62.788,62.788,62.788,62.726,62.794,63.259,63.166,63.246,63.061,63.259,63.166,63.488,63.804,63.842,63.835,63.904,64.349,64.349,64.492,64.405,64.436,64.443,64.449,64.474,64.498,64.523,64.56,64.536,64.467,64.523,64.436,64.424,64.331,64.294,64.294,64.418,64.418,64.431,64.461,64.455,96.46,96.508,96.479,96.596,96.605,96.518,96.818,96.847,96.789,96.808,96.692,96.973,97.147,97.301,97.321,97.379,97.388,97.234,97.195,97.446,97.272,97.359,97.514,97.495,97.92,98.645,98.713,98.896,98.722,98.906,98.974,99.041,99.08,98.954,98.916,98.887,99.07,99.167,98.983,99.109,98.964,98.935,99.128,99.109,99.041,99.032,99.235,98.983,99.157,99.186,98.858,99.244,99.689,99.873,99.892,99.94,100.153,100.221,99.96,100.008,100.17,100.19,99.85,99.83,99.95,99.95,99.98,99.98,100.08,100.14,99.98,99.88,100.16,100.21,99.87,100.38,100.43,100.52,100.57,100.66,100.74,100.66,100.56,100.4,100.82,101.51,102.29,102.72,102.96,102.87,103.05,103.19,102.92,103.06,102.99,103.04,102.85,103.33,103.4,103.41,103.23,103.5,103.55,103.58,103.28,103.66,104.81,105.01,104.4,104.33,104.43,104.7,104.46,104.54,104.71,104.59,104.48,104.68,104.81,104.58,104.61,104.69,104.72,104.79,104.75,104.87,104.88,104.91,105.05,105.1,104.87,104.63,105.08,105.33,105.35,104.92,105.06,105.35,105.09
02.1 주류,73.102,72.886,72.453,72.02,72.237,71.948,71.804,72.165,72.092,71.732,71.732,71.948,71.444,71.37,71.299,70.722,71.01,71.01,70.793,70.938,71.01,70.722,70.866,70.938,71.444,71.948,71.876,71.948,71.804,71.804,71.587,71.876,71.804,71.876,71.804,71.732,71.732,73.607,75.412,75.918,75.772,75.7,75.339,75.772,75.772,75.7,75.556,75.629,75.556,75.556,75.629,75.629,77.577,77.505,77.505,77.577,77.649,77.721,77.649,77.649,78.034,78.19,78.112,77.956,78.034,78.19,78.19,78.268,78.346,78.425,78.425,78.425,77.877,77.721,77.721,77.487,77.331,77.408,77.408,77.408,77.799,77.799,77.799,77.799,77.643,77.721,77.799,77.799,78.034,79.207,79.363,79.519,79.598,79.754,79.754,79.598,79.754,79.675,79.754,79.754,79.754,79.754,79.754,81.397,81.552,81.552,81.63,81.552,82.882,83.273,83.585,83.742,83.82,83.742,83.664,83.976,84.133,84.21,84.446,84.915,85.274,85.274,84.848,85.019,84.933,85.104,84.593,85.104,85.274,85.359,85.274,85.104,85.019,84.848,84.933,84.508,84.678,84.338,84.508,84.933,85.104,84.933,84.933,84.763,84.772,84.712,84.38,84.678,83.963,84.712,84.389,85.639,86.831,86.985,86.967,87.223,88.941,88.941,89.503,89.163,89.29,89.333,89.35,89.427,89.546,89.631,89.776,89.69,89.419,89.648,89.308,89.256,89.325,89.214,89.223,89.682,89.682,89.724,89.852,89.835,89.567,89.729,89.621,89.982,90.009,89.756,90.64,90.73,90.55,90.613,90.279,91.127,91.641,92.093,92.156,92.336,92.372,91.903,91.795,92.553,92.011,92.3,92.751,92.688,94.168,96.197,96.396,96.883,96.414,96.919,97.1,97.316,97.415,97.063,96.955,96.856,97.388,97.659,97.127,97.487,97.072,96.982,97.56,97.497,97.298,97.28,97.866,97.145,97.632,97.722,96.784,97.884,99.147,99.644,99.698,99.833,100.456,100.609,99.878,100.023,100.44,100.5,99.6,99.56,99.88,99.88,99.96,99.95,100.22,100.36,99.95,99.69,100.42,100.54,99.66,101.0,101.12,101.37,101.48,101.72,101.94,101.72,101.47,101.04,102.31,104.05,106.02,107.11,107.71,107.49,107.96,108.32,107.62,107.98,107.8,107.92,107.42,108.64,108.84,108.86,108.4,109.08,109.22,109.29,108.51,109.48,112.39,112.91,111.34,111.21,111.43,112.14,111.52,111.71,112.15,111.85,111.55,112.09,112.39,111.82,111.9,112.09,112.17,112.33,112.61,112.91,112.93,113.0,113.37,113.49,112.9,112.3,113.44,114.06,114.12,113.02,113.4,114.11,113.47
02.2 담배,33.202,33.202,33.202,33.202,33.202,33.202,33.202,33.202,33.202,33.202,33.202,33.202,37.319,37.319,37.319,37.319,37.319,37.319,37.319,37.319,37.319,37.319,37.319,37.319,37.319,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,55.656,55.656,55.656,55.656,55.656,55.656,55.656,55.656,55.765,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.251,56.251,56.251,56.251,56.251,56.251,56.251,56.251,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77
03 의류 및 신발,61.69,61.751,61.751,61.69,61.876,62.313,62.375,62.438,62.438,63.31,62.5,63.684,63.746,63.746,62.687,63.808,64.369,64.369,64.182,64.369,64.432,64.681,64.12,65.428,65.428,65.303,65.428,65.553,65.926,66.051,65.802,66.051,66.175,67.173,67.298,67.796,67.921,68.107,68.295,68.295,68.731,68.794,68.731,68.917,69.042,68.794,67.485,68.855,68.794,68.98,69.105,69.166,68.794,68.794,68.544,68.669,68.669,68.731,67.485,68.855,68.925,68.925,68.925,68.995,69.342,69.342,69.342,69.342,69.342,70.036,70.175,70.175,70.175,70.382,70.382,70.382,71.355,71.423,71.355,71.423,71.423,71.909,72.465,72.465,72.465,72.535,72.535,72.535,73.089,73.089,73.367,73.367,73.367,73.576,73.924,74.13,74.13,74.062,74.13,74.201,74.963,75.033,75.172,75.242,75.31,75.381,76.075,76.769,76.838,77.046,77.184,76.907,78.92,79.406,79.476,79.198,79.614,79.684,80.864,80.933,80.747,80.666,80.666,80.666,80.828,81.315,81.396,81.396,81.477,81.396,80.909,82.371,82.452,82.533,82.614,82.695,83.669,83.75,84.156,84.237,84.237,83.831,86.022,86.022,85.99,86.736,86.761,86.403,87.832,88.417,88.408,88.408,88.417,88.018,89.479,89.479,89.455,89.641,89.618,88.733,89.925,90.153,89.593,90.161,90.721,90.697,93.277,93.196,93.172,93.18,93.31,93.277,93.74,94.316,94.251,94.276,94.308,94.373,95.298,95.216,95.013,94.831,94.889,94.498,95.117,95.117,95.165,95.27,95.642,95.279,96.347,96.633,96.023,96.757,96.757,96.795,97.243,97.252,96.557,97.252,97.272,97.357,97.329,97.758,97.252,97.853,97.882,96.967,98.234,98.358,97.691,98.387,98.444,98.444,98.396,99.073,98.501,99.092,99.178,99.187,99.206,99.226,99.111,99.111,99.178,99.178,99.511,99.55,98.901,99.521,99.226,98.959,99.054,99.102,99.111,99.111,99.149,99.321,99.893,99.893,99.62,99.78,99.79,99.38,99.94,99.94,100.26,100.25,100.27,100.17,100.27,100.33,100.19,100.24,100.25,100.2,100.36,100.36,100.38,100.38,100.39,100.49,101.71,101.74,102.08,102.21,102.25,102.22,103.42,103.47,103.59,103.69,103.71,103.84,106.93,107.15,107.41,107.48,107.85,107.84,111.55,111.45,111.59,111.68,111.68,112.31,113.5,113.57,113.61,113.63,113.65,113.59,114.3,114.31,114.38,114.44,114.44,114.79,115.48,115.49,115.46,115.86,115.87,115.92,116.23,116.46,116.46,116.48,116.48,117.24,118.17,118.19,118.24,118.28,118.3,118.4,119.45,119.52,119.71
03.1 의류,62.063,62.063,62.063,62.063,62.755,62.755,62.755,62.755,62.692,63.697,64.137,64.137,64.137,64.137,64.137,64.137,64.702,64.639,64.639,64.702,64.702,65.016,65.079,65.582,65.582,65.457,65.582,65.707,66.085,66.085,66.085,66.085,66.085,67.215,68.031,67.906,67.906,68.094,68.031,68.094,68.534,68.66,68.597,68.597,68.597,68.345,68.409,68.345,68.345,68.471,68.345,68.471,68.031,68.031,67.78,67.906,67.843,67.969,68.221,68.158,68.194,68.194,68.194,68.262,68.675,68.675,68.675,68.675,68.675,69.431,69.637,69.637,69.637,69.844,69.844,69.844,70.875,70.944,70.944,70.944,71.013,71.563,72.044,72.044,72.044,72.181,72.181,72.181,72.8,72.869,72.869,72.869,72.869,73.074,73.487,73.693,73.693,73.624,73.624,73.624,74.518,74.587,74.656,74.656,74.725,74.793,75.618,76.375,76.375,76.581,76.718,76.718,78.505,79.055,79.055,79.124,79.124,79.124,80.499,80.568,80.419,80.257,80.338,80.338,80.5,81.067,81.148,81.148,81.148,81.229,82.2,82.2,82.282,82.362,82.444,82.524,83.496,83.658,83.74,83.82,83.82,83.82,85.845,85.845,85.894,86.145,86.177,86.185,87.399,88.105,88.105,88.129,88.129,88.129,89.352,89.376,89.376,89.425,89.425,89.432,90.38,90.664,90.664,90.64,90.688,90.688,93.668,93.612,93.684,93.628,93.636,93.636,94.203,94.778,94.769,94.786,94.794,94.802,95.863,95.839,95.616,95.405,95.414,95.386,95.663,95.683,95.673,95.683,95.759,95.769,96.996,96.986,96.948,96.938,96.948,96.948,97.484,97.494,97.494,97.513,97.494,97.503,98.04,97.973,98.078,98.098,98.117,98.165,98.529,98.548,98.539,98.539,98.539,98.548,99.267,99.267,99.276,99.296,99.411,99.42,99.439,99.459,99.353,99.363,99.439,99.449,99.765,99.736,99.689,99.698,99.353,99.037,99.161,99.104,99.114,99.114,99.114,99.315,99.976,99.976,99.88,99.89,99.9,99.89,100.05,100.04,100.06,100.05,100.07,99.95,100.08,100.15,100.13,100.03,100.04,100.17,100.17,100.17,100.19,100.2,100.2,100.53,101.67,101.68,101.96,102.01,102.05,102.1,103.41,103.45,103.53,103.64,103.65,103.88,107.06,107.1,107.41,107.45,107.5,107.49,111.86,111.74,111.89,112.01,112.01,112.76,114.0,114.02,114.07,114.09,114.11,114.13,114.97,114.97,114.98,114.98,114.98,115.4,116.21,116.22,116.2,116.27,116.28,116.33,116.7,116.96,116.97,117.02,117.02,117.91,119.02,119.03,119.09,119.11,119.13,119.25,120.09,120.18,120.4
