품목코드,품목명,Tier,가중치,pred,보정치,pred_corr
A011010,쌀,A,4.2,116.4589590836567,0.0,116.4589590836567
A011020,현미,A,0.4,133.67841999649923,0.0,133.67841999649923
A011030,찹쌀,A,0.5,150.59199994754795,0.0,150.59199994754795
A011040,보리쌀,A,0.2,199.28118939129902,0.0,199.28118939129902
A011050,콩,A,0.5,108.24781515380266,0.0,108.24781515380266
A011060,땅콩,A,0.1,122.90542714145292,0.0,122.90542714145292
A011070,혼식곡,A,0.4,119.64186588207218,0.0,119.64186588207218
A011080,밀가루,A,0.1,136.17728001833794,0.0,136.17728001833794
A011090,국수,A,0.7,145.46512829523158,0.0,145.46512829523158
A011100,라면,A,2.4,125.58126571085306,0.0,125.58126571085306
A011110,당면,A,0.2,138.09680249477438,0.0,138.09680249477438
A011120,두부,A,1.2,109.99815174780983,0.0,109.99815174780983
A011130,시리얼,A,0.4,127.79202740764929,0.0,127.79202740764929
A011140,부침가루,A,0.6,144.40260665073384,0.0,144.40260665073384
A011150,케이크,A,1.6,131.87,0.28851373201958097,131.69689176078825
A011160,빵,A,6.8,138.65,0.4670399229651565,138.36977604622092
A011170,떡,A,1.9,126.14710712446971,0.0,126.14710712446971
A011180,파스타면,A,0.1,128.97179042180494,0.0,128.97179042180494
A012010,국산쇠고기,A,8.6,109.04440921429632,0.0,109.04440921429632
A012020,수입쇠고기,A,3.1,135.57165350635992,0.0,135.57165350635992
A012030,돼지고기,A,9.8,132.31241899490507,-2.9875290174739697,134.10493640538945
A012040,닭고기,A,1.5,132.7556365259529,0.0,132.7556365259529
A012050,소시지,A,2.0,120.11907635901619,0.0,120.11907635901619
A012060,햄및베이컨,A,2.7,121.93335212818467,0.0,121.93335212818467
A012070,기타육류가공품,A,0.9,132.88843994205718,0.0,132.88843994205718
A013110,마른멸치,A,0.5,111.44464489400616,0.0,111.44464489400616
A013120,마른오징어,A,0.2,125.74978399716564,0.0,125.74978399716564
A013140,오징어채,A,0.2,151.64305268447504,2.4444980989067298,150.176353825131
A013150,북어채,A,0.4,120.93960200133361,0.0,120.93960200133361
A013160,어묵,A,0.8,129.9943733546629,0.0,129.9943733546629
A013170,맛살,A,0.2,142.45577471145077,0.0,142.45577471145077
A013180,수산물통조림,A,0.7,124.0194705927111,0.0,124.0194705927111
A013190,젓갈,A,0.7,115.2481986574009,-0.6024901461819449,115.60969274511007
A014010,우유,A,3.4,124.49761663378808,0.0,124.49761663378808
A014020,분유,A,0.5,111.71943245233079,0.0,111.71943245233079
A014030,치즈,A,0.7,143.34538953319927,0.0,143.34538953319927
A014040,발효유,A,2.0,129.60081834992283,0.0,129.60081834992283
A014050,달걀,A,3.0,146.01629344550088,-2.2126442428660105,147.3438799912205
A015010,참기름,A,0.6,151.5085292669327,0.7716258369710071,151.04555376475008
A015020,식용유,A,0.8,163.91098618167265,0.0,163.91098618167265
A016190,아몬드,A,0.2,108.64181620614319,0.0,108.64181620614319
A016200,과일가공품,A,1.0,142.14790000756167,0.0,142.14790000756167
A017250,고사리,A,0.1,123.37694678969133,0.0,123.37694678969133
A017270,단무지,A,0.2,120.58718901888768,0.0,120.58718901888768
A017280,김,A,0.5,153.1268540188079,0.0,153.1268540188079
A017290,맛김,A,0.5,129.47003907330625,0.0,129.47003907330625
A017300,미역,A,0.3,132.2665666852498,0.0,132.2665666852498
A018010,초콜릿,A,0.5,165.20774217503592,0.0,165.20774217503592
A018020,사탕,A,0.8,115.83006686208228,0.0,115.83006686208228
A018030,껌,A,0.1,116.58192232125471,0.0,116.58192232125471
A018040,아이스크림,A,2.6,128.53556489626027,0.0,128.53556489626027
A018050,비스킷,A,1.9,133.70065668031512,0.0,133.70065668031512
A018060,스낵과자,A,2.9,119.24933598827292,0.0,119.24933598827292
A018070,파이,A,0.6,115.99454499550286,0.0,115.99454499550286
A018080,설탕,A,0.3,148.36251854929637,0.0,148.36251854929637
A018090,잼,A,0.1,173.47769940820666,0.0,173.47769940820666
A018100,꿀,A,0.4,116.25204620961469,0.0,116.25204620961469
A018110,물엿,A,0.2,140.72723547464315,0.0,140.72723547464315
A019010,고춧가루,A,1.6,114.51,0.0,114.51
A019020,참깨,A,0.6,134.49165685305752,0.2436805055392076,134.345448549734
A019040,소금,A,0.2,176.61609171085166,0.0,176.61609171085166
A019050,간장,A,0.4,130.01413433260043,0.0,130.01413433260043
A019060,된장,A,0.4,130.21894120041736,0.0,130.21894120041736
A019070,양념소스,A,0.5,140.55605791248323,-4.334189130984048,143.15657139107364
A019080,고추장,A,0.3,136.56248095787203,-2.8293144319145966,138.26006961702078
A019090,카레,A,0.2,132.04248419014186,0.0,132.04248419014186
A019100,식초,A,0.1,147.13113001808236,0.0,147.13113001808236
A019110,드레싱,A,0.2,161.05477732859165,0.0,161.05477732859165
A019120,혼합조미료,A,0.3,134.0138987909763,0.0,134.0138987909763
A019130,스프,A,0.3,129.7842372647172,0.12804519978151063,129.7074101448483
A019140,이유식,A,0.3,111.22158151525922,0.1025197547325926,111.16006966241966
A019150,김치,A,1.3,134.6504485345684,0.0,134.6504485345684
A019160,밑반찬,A,3.1,116.53490265329718,0.0,116.53490265329718
A019170,냉동식품,A,1.9,121.82765599588365,0.0,121.82765599588365
A019180,즉석식품,A,3.1,123.04374449950694,0.0,123.04374449950694
A019190,편의점도시락,A,0.4,117.56320554273161,0.33022540387890825,117.36507030040427
A019200,삼각김밥,A,0.4,113.49247998067953,0.0,113.49247998067953
