official,proxy,n_months,level_corr,mom_corr,mae_recent12
휘발유,오피넷 보통휘발유,319,0.9987255409678626,0.989832729220305,0.8635520194593198
경유,오피넷 자동차용경유,319,0.9996197154952631,0.9890171269509613,1.1471913697690113
등유,오피넷 실내등유,319,0.9992316892809545,0.9856920834281248,1.6989141780899004
자동차용LPG,오피넷 자동차부탄,307,0.9998718921338565,0.9964109543367488,0.44781512786508176
취사용LPG,오피넷 일반프로판,307,0.9996543056459842,0.9929928551543983,0.32289269972548834
부탄가스,오피넷 일반부탄,251,0.9614639658618622,0.19686037821722702,4.657641578136359
