품목코드,품목명,Tier,가중치,pred,pred_corr
A011010,쌀,A,4.2,97.9117719272547,97.9117719272547
A011020,현미,A,0.4,104.20333441393595,104.20333441393595
A011030,찹쌀,A,0.5,102.76599992997645,102.76599992997645
A011040,보리쌀,A,0.2,147.25164519880138,147.25164519880138
A011050,콩,A,0.5,105.88543284148574,105.88543284148574
A011060,땅콩,A,0.1,118.30146757127844,118.30146757127844
A011070,혼식곡,A,0.4,110.00350855819748,110.00350855819748
A011080,밀가루,A,0.1,132.0908722951566,132.0908722951566
A011090,국수,A,0.7,150.39527012800497,150.39527012800497
A011100,라면,A,2.4,118.05288341018627,118.05288341018627
A011110,당면,A,0.2,128.8570771881141,128.8570771881141
A011120,두부,A,1.2,117.89327278824061,117.89327278824061
A011130,시리얼,A,0.4,114.02140426283546,114.02140426283546
A011140,부침가루,A,0.6,135.1181641871309,135.1181641871309
A011150,케이크,A,1.6,124.57,124.57
A011160,빵,A,6.8,130.13,130.13
A011170,떡,A,1.9,121.81545262546699,121.81545262546699
A011180,파스타면,A,0.1,132.61106627031978,132.61106627031978
A012010,국산쇠고기,A,8.6,103.85936159172833,103.85936159172833
A012020,수입쇠고기,A,3.1,132.65358602575571,132.65358602575571
A012030,돼지고기,A,9.8,124.08557200251182,124.08557200251182
A012040,닭고기,A,1.5,130.11014401261184,130.11014401261184
A012050,소시지,A,2.0,113.97627711529532,113.97627711529532
A012060,햄및베이컨,A,2.7,114.18727158906042,114.18727158906042
A012070,기타육류가공품,A,0.9,131.25758072649137,131.25758072649137
A013110,마른멸치,A,0.5,111.29926823958542,111.29926823958542
A013120,마른오징어,A,0.2,120.86048080255479,120.86048080255479
A013140,오징어채,A,0.2,111.1185884580173,111.1185884580173
A013150,북어채,A,0.4,117.91176840193395,117.91176840193395
A013160,어묵,A,0.8,124.29343219469814,124.29343219469814
A013170,맛살,A,0.2,129.71803958702714,129.71803958702714
A013180,수산물통조림,A,0.7,121.56013837920057,121.56013837920057
A013190,젓갈,A,0.7,106.5625926149862,106.5625926149862
A014010,우유,A,3.4,123.78351776129692,123.78351776129692
A014020,분유,A,0.5,108.21811654372554,108.21811654372554
A014030,치즈,A,0.7,137.49621957265845,137.49621957265845
A014040,발효유,A,2.0,123.32308051260371,123.32308051260371
A014050,달걀,A,3.0,133.76788682255363,133.76788682255363
A015010,참기름,A,0.6,149.2557292268255,149.2557292268255
A015020,식용유,A,0.8,172.578604817577,172.578604817577
A016190,아몬드,A,0.2,97.5381205313929,97.5381205313929
A016200,과일가공품,A,1.0,138.43302790231814,138.43302790231814
A017250,고사리,A,0.1,124.78017060153785,124.78017060153785
A017270,단무지,A,0.2,107.96980607364908,107.96980607364908
A017280,김,A,0.5,144.00480970536836,144.00480970536836
A017290,맛김,A,0.5,129.3228753476314,129.3228753476314
A017300,미역,A,0.3,121.45093464420805,121.45093464420805
A018010,초콜릿,A,0.5,140.76312224456427,140.76312224456427
A018020,사탕,A,0.8,114.62872803538326,114.62872803538326
A018030,껌,A,0.1,115.71675844008449,115.71675844008449
A018040,아이스크림,A,2.6,122.62905016778603,122.62905016778603
A018050,비스킷,A,1.9,124.79898077362932,124.79898077362932
A018060,스낵과자,A,2.9,114.34715571214075,114.34715571214075
A018070,파이,A,0.6,113.65124175835385,113.65124175835385
A018080,설탕,A,0.3,146.8470690854812,146.8470690854812
A018090,잼,A,0.1,154.8774346681038,154.8774346681038
A018100,꿀,A,0.4,110.98248853705013,110.98248853705013
A018110,물엿,A,0.2,133.11320101361835,133.11320101361835
A019010,고춧가루,A,1.6,115.58,115.58
A019020,참깨,A,0.6,131.6084232482228,131.6084232482228
A019040,소금,A,0.2,177.29496044810793,177.29496044810793
A019050,간장,A,0.4,128.1032098284935,128.1032098284935
A019060,된장,A,0.4,121.2181842036635,121.2181842036635
A019070,양념소스,A,0.5,116.46090756658917,116.46090756658917
A019080,고추장,A,0.3,117.44911365825219,117.44911365825219
A019090,카레,A,0.2,131.25510799565967,131.25510799565967
A019100,식초,A,0.1,137.11831015642463,137.11831015642463
A019110,드레싱,A,0.2,151.56087826633882,151.56087826633882
A019120,혼합조미료,A,0.3,128.1351374940553,128.1351374940553
A019130,스프,A,0.3,130.99873071404446,130.99873071404446
A019140,이유식,A,0.3,109.63331496570747,109.63331496570747
A019150,김치,A,1.3,121.56315234090835,121.56315234090835
A019160,밑반찬,A,3.1,113.1748027473803,113.1748027473803
A019170,냉동식품,A,1.9,114.6127894985797,114.6127894985797
A019180,즉석식품,A,3.1,120.92960342517149,120.92960342517149
A019190,편의점도시락,A,0.4,113.28986515162357,113.28986515162357
A019200,삼각김밥,A,0.4,110.58924778458136,110.58924778458136
A021010,커피,A,2.6,123.866368419966,123.866368419966
A021020,차,A,0.9,123.0077941007821,123.0077941007821
A022010,주스,A,1.4,128.45913674539847,128.45913674539847
A022020,두유,A,0.8,125.43888100459495,125.43888100459495
A022030,생수,A,1.3,113.17125700368189,113.17125700368189
A022040,기능성음료,A,0.5,114.05704838362125,114.05704838362125
A022050,탄산음료,A,1.6,110.8373648061249,110.8373648061249
A022060,기타음료,A,0.6,121.47760113970166,121.47760113970166
B011010,소주,A,1.7,108.41258696497046,108.41258696497046
B011020,과실주,A,0.8,103.03506945870613,103.03506945870613
B011030,맥주,A,3.0,112.61503104863624,112.61503104863624
B011040,막걸리,A,0.5,122.92720406751116,122.92720406751116
B011050,양주,A,0.4,116.1586410460548,116.1586410460548
B011060,약주,A,0.1,104.57643576224115,104.57643576224115
C011010,남자외의,A,4.4,117.24,117.24
C011020,남자상의,A,1.5,110.81425590779067,110.81425590779067
C011030,남자하의,A,1.3,121.70316091005749,121.70316091005749
C011040,남자내의,A,0.7,108.4580711579513,108.4580711579513
C012010,여자외의,A,6.2,108.63679940962936,108.63679940962936
C012020,원피스,A,1.8,125.1,125.1
C012030,여자상의,A,1.5,113.61310888293346,113.61310888293346
C012040,여자하의,A,2.4,114.05048006459694,114.05048006459694
C012050,여자내의,A,1.8,107.40172023982515,107.40172023982515
C013010,점퍼,A,3.3,111.70612151993477,111.70612151993477
C013020,티셔츠,A,4.6,124.06749716835117,124.06749716835117
C013030,스웨터,A,0.6,118.79024382578314,118.79024382578314
C013040,청바지,A,1.6,118.60067492231346,118.60067492231346
C013050,운동복,A,2.3,105.04,105.04
C013060,등산복,A,0.5,103.46370862569283,103.46370862569283
C014010,유아동복,A,4.6,118.17543084407053,118.17543084407053
C015010,양말,A,0.9,104.0298593883758,104.0298593883758
C015020,모자,A,0.6,113.34515344198894,113.34515344198894
C015030,장갑,A,0.2,148.23195220623498,148.23195220623498
C016010,의복수선료,A,0.2,119.2074742361401,119.2074742361401
C016020,세탁료,A,1.1,127.30673499792465,127.30673499792465
C021010,아동화,A,0.9,115.34579160419247,115.34579160419247
C021020,구두,A,2.0,113.86,113.86
C021030,운동화,A,4.4,107.8,107.8
C021040,실내화,A,0.2,125.63981663957756,125.63981663957756
D011010,전세,A,54.2,104.65838214185544,104.65838214185544
D011020,월세,A,44.9,103.63951351901082,103.63951351901082
D031010,주택수선재료,A,3.4,119.84241526333956,119.84241526333956
D031020,설비수리비,A,5.9,119.12266332710375,119.12266332710375
D041010,상수도료,A,4.5,113.04093651491374,113.04093651491374
D042010,공동주택관리비,A,21.8,123.99727002006912,123.99727002006912
E011010,장롱,A,1.3,120.96,120.96
E011020,침대,A,2.7,125.3,125.3
E011030,거실장,A,0.4,122.6093490107816,122.6093490107816
E011040,소파,A,1.3,127.26581591952619,127.26581591952619
E011050,책상,A,0.4,131.34641491626718,131.34641491626718
E011060,의자,A,0.4,114.16929766885853,114.16929766885853
E011070,식탁,A,0.9,122.70398684287196,122.70398684287196
E011080,싱크대,A,1.3,147.2864645019101,147.2864645019101
E021010,침구,A,2.6,111.15,111.15
E021020,커튼,A,0.4,106.91773253826103,106.91773253826103
E031010,전기밥솥,A,0.5,103.59985156872699,103.59985156872699
E031020,가스레인지,A,0.4,99.22384170193118,99.22384170193118
E031030,전자레인지,A,0.1,96.92855256934811,96.92855256934811
E031040,전기레인지,A,0.2,106.21789030042882,106.21789030042882
E031050,냉장고,A,2.4,96.36868325317987,96.36868325317987
E031060,김치냉장고,A,1.1,107.55765067305421,107.55765067305421
E031070,에어컨,A,1.5,106.22272347732812,106.22272347732812
E031080,선풍기,A,0.4,93.28570643571425,93.28570643571425
E031090,공기청정기,A,0.6,94.65390066600587,94.65390066600587
E031100,세탁기,A,1.0,95.2700677062851,95.2700677062851
E031110,의류건조기,A,1.1,101.19763800552151,101.19763800552151
E031120,식기세척기,A,0.2,101.28587934820015,101.28587934820015
E031130,청소기,A,1.1,100.05032367009044,100.05032367009044
E031140,소형주방가전,A,0.8,107.18047167130707,107.18047167130707
E031150,보온매트,A,0.4,104.33331751936477,104.33331751936477
E032010,가전제품수리비,A,2.4,127.67209614079535,127.67209614079535
E032020,가전제품렌탈비,A,2.5,93.84515597817195,93.84515597817195
E041010,식기,A,0.8,121.31066831361515,121.31066831361515
E041020,컵,A,0.5,102.97735005473045,102.97735005473045
E041030,솥,A,0.2,115.4007640801591,115.4007640801591
E041040,프라이팬,A,0.6,118.02271534107273,118.02271534107273
E041050,냄비,A,0.5,117.22834439777556,117.22834439777556
E041060,수저,A,0.3,108.80130427691009,108.80130427691009
E041070,밀폐용기,A,0.7,124.12529554256137,124.12529554256137
E041080,부엌용용구,A,0.4,117.74024169319298,117.74024169319298
E051010,보일러,A,1.5,120.5134212163789,120.5134212163789
E051020,건전지,A,0.3,134.17691415985803,134.17691415985803
E051030,소형가사용품,A,1.3,108.28239742784753,108.28239742784753
E061010,세탁세제,A,1.7,132.07245910051583,132.07245910051583
E061020,섬유유연제,A,0.1,137.60960092672866,137.60960092672866
E061030,전구,A,0.2,103.40241387785636,103.40241387785636
E061040,부엌용세제,A,0.6,118.21410270287016,118.21410270287016
E061050,청소용세제,A,0.2,128.07917607741774,128.07917607741774
E061060,살충제,A,0.3,131.0008923575361,131.0008923575361
E061070,가정용비닐용품,A,0.6,130.7330714997305,130.7330714997305
E061080,키친타월,A,1.0,132.21502781182454,132.21502781182454
E061090,방향제,A,0.3,128.66783563482554,128.66783563482554
E061100,습기제거제,A,0.1,143.21999961540104,143.21999961540104
E062010,가사도우미료,A,2.4,117.05641345556796,117.05641345556796
E062020,간병도우미료,A,2.6,134.24761487620665,134.24761487620665
F011010,감기약,A,0.4,126.75236251782098,126.75236251782098
F011020,진통제,A,0.4,119.41933095504719,119.41933095504719
F011030,소화제,A,0.3,119.5020749288134,119.5020749288134
F011040,위장약,A,0.2,108.95219916917793,108.95219916917793
F011050,진해거담제,A,0.2,110.51691493553739,110.51691493553739
F011060,소염진통제,A,0.6,114.37908449301105,114.37908449301105
F011070,피부질환제,A,0.3,111.82160408030026,111.82160408030026
F011080,치과구강용약,A,0.3,112.06976134835377,112.06976134835377
F011090,조제약,A,5.8,94.81676617592284,94.81676617592284
F011100,한방약,A,2.7,130.167864473162,130.167864473162
F011110,인삼,A,0.3,97.18384503134256,97.18384503134256
F011120,홍삼,A,1.1,106.56239265528866,106.56239265528866
F011130,비타민제,A,1.2,112.23646747899065,112.23646747899065
F011140,건강기능식품,A,6.5,104.02804984018111,104.02804984018111
F011150,유산균,A,1.2,96.47,96.47
F011160,병원약품,A,3.5,94.62282493057265,94.62282493057265
F012010,종이기저귀,A,1.4,113.5703486470259,113.5703486470259
F012020,생리대,A,1.0,121.62125345607475,121.62125345607475
F012030,마스크,A,1.6,70.71351312411996,70.71351312411996
F012040,반창고,A,0.1,101.72576437716444,101.72576437716444
F012050,안경,A,1.0,101.10044615070282,101.10044615070282
F012060,콘택트렌즈,A,1.4,97.99868252764739,97.99868252764739
F012070,의료측정기,A,0.2,99.12759194049403,99.12759194049403
F012080,보청기,A,0.6,101.97643086186815,101.97643086186815
F012090,건강기기렌탈비,A,1.5,106.54497639683184,106.54497639683184
F012100,치료재료,A,1.5,104.31162803887868,104.31162803887868
F021020,건강검진비,A,1.2,105.9069830296919,105.9069830296919
F022020,치과보철료,A,6.8,101.94626036431403,101.94626036431403
F031020,병원검사료,A,1.1,61.34,61.34
G011010,소형승용차,A,1.0,105.02447103147844,105.02447103147844
G011020,중형승용차,A,1.0,104.61133208937542,104.61133208937542
G011030,대형승용차,A,3.2,111.94388904845447,111.94388904845447
G011040,경승용차,A,0.6,104.12960059013506,104.12960059013506
G011050,다목적승용차,A,7.7,110.74387043088097,110.74387043088097
G011060,수입승용차,A,9.3,108.20501178966026,108.20501178966026
G011070,전기동력차,A,5.1,104.51014266616619,104.51014266616619
G011080,자전거,A,0.5,132.3251719520265,132.3251719520265
G022010,자동차용품,A,0.9,108.55478194030735,108.55478194030735
G022020,블랙박스,A,0.2,102.84175852761909,102.84175852761909
G022030,자동차타이어,A,0.9,120.15762204419141,120.15762204419141
G022040,자동차수리비,A,6.3,114.62556938651913,114.62556938651913
G022050,엔진오일교체료,A,1.0,131.3077619298996,131.3077619298996
G022060,세차료,A,0.5,131.28889005393452,131.28889005393452
G023010,자동차학원비,A,0.5,112.87830423385394,112.87830423385394
G023020,주차료,A,1.2,109.3040123415396,109.3040123415396
G023040,승용차임차료,B,3.2,95.22793098082538,95.22793098082538
G023050,대리운전이용료,A,0.4,133.46088875334124,133.46088875334124
G023060,자동차검사료,A,0.3,100.0,100.0
G033010,국내항공료,B,1.0,110.64960297306418,110.64960297306418
G033030,여객선료,A,0.2,116.68289238086544,116.68289238086544
G034010,이삿짐운송료,A,1.0,126.29093857251759,126.29093857251759
G034020,택배이용료,A,1.9,112.38019339991233,112.38019339991233
H021010,휴대전화기,A,10.4,99.33799145507857,99.33799145507857
H031040,휴대전화기수리비,A,0.4,106.47994067719064,106.47994067719064
I011010,TV,A,1.9,89.31192227360552,89.31192227360552
I011020,영상음향기기,A,0.9,97.25840891265497,97.25840891265497
I012010,컴퓨터,A,3.0,90.3916479091157,90.3916479091157
I012020,컴퓨터수리비,A,0.1,165.43449568915682,165.43449568915682
I012030,휴대용멀티미디어기기,A,1.2,117.17942385936784,117.17942385936784
I012040,컴퓨터소모품,A,0.7,116.35655739188874,116.35655739188874
I012050,저장장치,A,0.1,132.5624154372092,132.5624154372092
I021010,악기,A,0.3,104.58234155414456,104.58234155414456
I021020,헬스기구,A,1.1,108.19578254113766,108.19578254113766
I031010,장난감,A,2.9,99.20373078123497,99.20373078123497
I031020,레저용품,A,1.6,112.66,112.66
I031030,운동용품,A,2.1,100.4867564449295,100.4867564449295
I031040,화초,A,0.7,129.6999998325109,129.6999998325109
I031050,원예용품,A,0.4,116.11525856677562,116.11525856677562
I031060,반려동물용품,A,3.3,117.38667895838869,117.38667895838869
I031070,반려동물관리비,A,2.6,110.97222833815803,110.97222833815803
I041010,수영장이용료,A,0.2,110.11858960005385,110.11858960005385
I041020,볼링장이용료,A,0.2,107.34479718605614,107.34479718605614
I041030,헬스클럽이용료,A,1.5,107.32549420380336,107.32549420380336
I041040,골프연습장이용료,A,2.3,105.0551265183966,105.0551265183966
I041050,골프장이용료,A,3.0,118.60386679396683,118.60386679396683
I041060,당구장이용료,A,0.5,107.0792513313222,107.0792513313222
I041070,노래방이용료,A,0.5,120.86720618204151,120.86720618204151
I041080,PC방이용료,A,0.3,112.93722454343506,112.93722454343506
I041090,놀이시설이용료,A,2.3,116.46904115488834,116.46904115488834
I041100,운동경기관람료,A,0.2,119.56703668065542,119.56703668065542
I042010,영화관람료,A,1.0,128.81,128.81
I042020,공연예술관람료,A,0.7,108.64672354391625,108.64672354391625
I042030,관람시설이용료,A,0.6,109.46445890239649,109.46445890239649
I042040,독서실비,A,0.8,100.02277499635436,100.02277499635436
I042050,문화강습료,A,0.9,113.88241157571478,113.88241157571478
I042060,온라인콘텐츠이용료,A,8.0,107.44,107.44
I042080,사진서비스료,A,1.7,118.60750601601951,118.60750601601951
I051010,유아용학습교재,A,0.3,112.44126200426021,112.44126200426021
I051020,초등학교학습서,A,0.6,109.23376850706768,109.23376850706768
I051030,중학교학습서,A,0.6,102.75633626648873,102.75633626648873
I051040,고등학교학습서,A,0.6,123.85968685189127,123.85968685189127
I051050,대학교재,A,0.2,99.2601519985934,99.2601519985934
I051060,서적,A,1.5,107.15770362180267,107.15770362180267
I052010,신문,A,0.4,120.45493581906588,120.45493581906588
I053010,종이문구,A,0.5,118.14866650965507,118.14866650965507
I053020,기타문구,A,0.1,125.68481918977302,125.68481918977302
I053030,필기구,A,0.4,115.60394367753723,115.60394367753723
I053040,회화용구,A,0.2,114.54901213571506,114.54901213571506
I061010,국내단체여행비,A,2.0,124.6451890487514,124.6451890487514
I061020,해외단체여행비,A,5.5,115.5418538841215,115.5418538841215
J041010,초등학생학원비,A,7.6,108.60738204063016,108.60738204063016
J041020,중학생학원비,A,13.8,108.20308211295946,108.20308211295946
J041030,고등학생학원비,A,13.8,106.86545394999798,106.86545394999798
J041040,음악학원비,A,3.0,115.0821421749339,115.0821421749339
J041050,미술학원비,A,2.6,116.69073070840496,116.69073070840496
J041060,운동학원비,A,5.7,116.68726352901176,116.68726352901176
J041070,전산학원비,A,0.5,111.44566264538285,111.44566264538285
J041080,가정학습지,A,3.5,117.84,117.84
J041090,이러닝이용료,A,0.7,98.58104446089833,98.58104446089833
