"품목코드","품목명","가중치","Tier","분류근거","세부"
"L011050","뷰티미용료","2.2000000000000002","A","일반 시장가격형",""
"L012010","면도기","0.4","A","일반 시장가격형",""
"L012020","헤어드라이어","0.7","A","일반 시장가격형",""
"L012030","칫솔","0.4","A","일반 시장가격형",""
"L012040","치약","0.5","A","일반 시장가격형",""
"L012050","비누","0.30000000000000004","A","일반 시장가격형",""
"L012060","샴푸","1","A","일반 시장가격형",""
"L012070","바디워시","0.5","A","일반 시장가격형",""
"L012080","화장지","1.3","A","일반 시장가격형",""
"L012090","기초화장품","4.5","A","일반 시장가격형",""
"L012100","기능성화장품","3.7","A","일반 시장가격형",""
"L012110","색조화장품","0.7","A","일반 시장가격형",""
"L012120","모발염색약","0.7","A","일반 시장가격형",""
"L012130","구강세정제","0.2","A","일반 시장가격형",""
"L021010","손목시계","0.6","A","일반 시장가격형",""
"L021020","장신구","1","A","일반 시장가격형",""
"L021030","가방","2.7","A","일반 시장가격형",""
"L021040","핸드백","1.4","A","일반 시장가격형",""
"L021050","우산","0.2","A","일반 시장가격형",""
"L021060","유모차","0.2","A","일반 시장가격형",""
"L021070","선글라스","0.4","A","일반 시장가격형",""
"L021080","지갑","0.5","A","일반 시장가격형",""
"L031010","산후조리원이용료","0.7","A","일반 시장가격형",""
"L031040","보험서비스료","8.6","A","일반 시장가격형",""
"L031050","자동차보험료","3.7","A","일반 시장가격형",""
"L031060","금융수수료","0.2","A","일반 시장가격형",""
"L031090","대입전형료","0.1","A","일반 시장가격형",""
"L031100","시험응시료","0.4","A","일반 시장가격형",""
"L031110","장례비","2.6","A","일반 시장가격형",""
"A013010","갈치","1.1000000000000001","B","신선식품지수 구성품목(신선어개)","신선어개"
"A013020","명태","0.7","B","신선식품지수 구성품목(신선어개)","신선어개"
"A013030","조기","0.9","B","신선식품지수 구성품목(신선어개)","신선어개"
"A013040","고등어","2","B","신선식품지수 구성품목(신선어개)","신선어개"
"A013050","오징어","1","B","신선식품지수 구성품목(신선어개)","신선어개"
"A013060","게","0.9","B","신선식품지수 구성품목(신선어개)","신선어개"
"A013070","굴","0.4","B","신선식품지수 구성품목(신선어개)","신선어개 / 고정계절품목 - 4월~9월 미출하"
"A013080","조개","0.6","B","신선식품지수 구성품목(신선어개)","신선어개"
"A013090","전복","0.5","B","신선식품지수 구성품목(신선어개)","신선어개"
"A013100","새우","0.7","B","신선식품지수 구성품목(신선어개)","신선어개"
"A013130","낙지","0.5","B","신선식품지수 구성품목(신선어개)","신선어개"
"A016010","사과","2.2999999999999998","B","신선식품지수 구성품목(신선과실)","신선과실"
"A016020","배","0.7","B","신선식품지수 구성품목(신선과실)","신선과실"
"A016030","복숭아","1","B","신선식품지수 구성품목(신선과실)","신선과실 / 고정계절품목 - 10월~익년6월 미출하"
"A016040","포도","1.4","B","신선식품지수 구성품목(신선과실)","신선과실 / 고정계절품목 - 11월~익년6월 미출하"
"A016050","밤","0.2","B","신선식품지수 구성품목(신선과실)","신선과실"
"A016060","감","0.5","B","신선식품지수 구성품목(신선과실)","신선과실 / 고정계절품목 - 4월~9월 미출하"
"A016070","귤","1.8","B","신선식품지수 구성품목(신선과실)","신선과실 / 고정계절품목 - 4월~9월 미출하"
"A016080","오렌지","0.4","B","신선식품지수 구성품목(신선과실)","신선과실 / 고정계절품목 - 7월~12월 미출하"
"A016090","참외","1","B","신선식품지수 구성품목(신선과실)","신선과실 / 고정계절품목 - 9월~익년2월 미출하"
"A016100","수박","1","B","신선식품지수 구성품목(신선과실)","신선과실 / 고정계절품목 - 9월~익년4월 미출하"
"A016110","딸기","1.5","B","신선식품지수 구성품목(신선과실)","신선과실 / 고정계절품목 - 6월~11월 미출하"
"A016120","바나나","0.8","B","신선식품지수 구성품목(신선과실)","신선과실"
"A016130","키위","0.4","B","신선식품지수 구성품목(신선과실)","신선과실"
"A016140","블루베리","0.4","B","신선식품지수 구성품목(신선과실)","신선과실"
"A016150","망고","0.4","B","신선식품지수 구성품목(신선과실)","신선과실"
"A016160","체리","0.3","B","신선식품지수 구성품목(신선과실)","신선과실 / 고정계절품목 - 3월~5월, 9월~11월 미출하"
"A016170","아보카도","0.1","B","신선식품지수 구성품목(신선과실)","신선과실"
"A016180","파인애플","0.2","B","신선식품지수 구성품목(신선과실)","신선과실"
"A017010","배추","1.3","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017020","상추","0.6","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017030","시금치","0.3","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017040","양배추","0.2","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017050","미나리","0.2","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017060","깻잎","0.2","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017070","부추","0.2","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017080","무","0.6","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017090","열무","0.2","B","신선식품지수 구성품목(신선채소)","신선채소 / 고정계절품목 - 11월~익년2월 미출하"
"A017100","당근","0.3","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017110","감자","0.6","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017120","고구마","1","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017130","도라지","0.1","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017140","콩나물","0.5","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017150","버섯","0.9","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017160","오이","0.6","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017170","풋고추","0.6","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017180","호박","0.5","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017190","가지","0.2","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017200","토마토","1.3","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017210","파","0.9","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017220","양파","0.7","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017230","마늘","1.3","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017240","브로콜리","0.2","B","신선식품지수 구성품목(신선채소)","신선채소"
"A017260","파프리카","0.6","B","신선식품지수 구성품목(신선채소)","신선채소"
"A019030","생강","0.1","B","신선식품지수 구성품목(신선채소)","신선채소"
"B021010","담배","9.3000000000000007","C","수동편입: 세제개편시에만 계단식 변동(정기개정형과 동일 성격)",""
"D041020","하수도료","3.1","C","품목성질=공공서비스(정기개정.계단식변동)",""
"D042020","쓰레기봉투료","0.7","C","품목성질=공공서비스(정기개정.계단식변동)",""
"D042030","정화조청소료","0.5","C","품목성질=공공서비스(정기개정.계단식변동)",""
"F021010","외래진료비","20.5","C","품목성질=공공서비스(정기개정.계단식변동)",""
"F021030","한방진료비","1","C","품목성질=공공서비스(정기개정.계단식변동)",""
"F021040","약국조제료","1.8","C","품목성질=공공서비스(정기개정.계단식변동)",""
"F022010","치과진료비","6.1","C","품목성질=공공서비스(정기개정.계단식변동)",""
"F031010","입원진료비","10.199999999999999","C","품목성질=공공서비스(정기개정.계단식변동)",""
"G023030","도로통행료","1.7","C","품목성질=공공서비스(정기개정.계단식변동)",""
"G031010","열차료","1.7","C","품목성질=공공서비스(정기개정.계단식변동)",""
"G031020","도시철도료","2.2000000000000002","C","품목성질=공공서비스(정기개정.계단식변동)",""
"G032010","시내버스료","6.8","C","품목성질=공공서비스(정기개정.계단식변동)",""
"G032020","시외버스료","1","C","품목성질=공공서비스(정기개정.계단식변동)",""
"G032030","택시료","3.2","C","품목성질=공공서비스(정기개정.계단식변동)",""
"G033020","국제항공료","2.9","C","품목성질=공공서비스(정기개정.계단식변동)",""
"H011010","우편료","0.1","C","품목성질=공공서비스(정기개정.계단식변동)",""
"H031010","유선전화료","0.4","C","품목성질=공공서비스(정기개정.계단식변동)",""
"H031020","휴대전화료","29.8","C","품목성질=공공서비스(정기개정.계단식변동)",""
"H031030","인터넷이용료","5.5","C","품목성질=공공서비스(정기개정.계단식변동)",""
"I042070","방송수신료","2.4","C","품목성질=공공서비스(정기개정.계단식변동)",""
"J011010","유치원납입금","1.8","C","품목성질=공공서비스(정기개정.계단식변동)",""
"J031010","전문대학납입금","1.1000000000000001","C","품목성질=공공서비스(정기개정.계단식변동)",""
"J031020","국공립대학교납입금","1.4","C","품목성질=공공서비스(정기개정.계단식변동)",""
"J031030","사립대학교납입금","8.6","C","품목성질=공공서비스(정기개정.계단식변동)",""
"J031040","국공립대학원납입금","0.4","C","품목성질=공공서비스(정기개정.계단식변동)",""
"J031050","사립대학원납입금","1.6","C","품목성질=공공서비스(정기개정.계단식변동)",""
"L031020","보육시설이용료","0.7","C","품목성질=공공서비스(정기개정.계단식변동)",""
"L031030","요양시설이용료","0.9","C","품목성질=공공서비스(정기개정.계단식변동)",""
"L031070","부동산중개수수료","0.8","C","품목성질=공공서비스(정기개정.계단식변동)",""
"L031080","행정수수료","1.1000000000000001","C","품목성질=공공서비스(정기개정.계단식변동)",""
"D051010","전기료","16.100000000000001","D","에너지 특수분류(원자재.환율 연동)",""
"D052010","도시가스","11.5","D","에너지 특수분류(원자재.환율 연동)",""
"D052020","취사용LPG","0.9","D","에너지 특수분류(원자재.환율 연동)",""
